p_bar,of_1,of_1_5,of_2,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,393.913088952472,392.594414378147,392.166690548511,390.938721002947,390.88532010078,390.812237393886,390.767594925357,390.774076575124,390.841193642504,390.972877160997,391.171455957337,391.439472630141,391.779742011985,392.192808332567,392.670651152916,393.025083705927,391.432655779135,389.919431653874,388.514773701763,387.214188138617,386.011491062482,384.89854451435,383.864749550488,382.896984365896,381.980433164165,381.100214743226,380.243317631557,379.399992063803,378.564158166035,377.732927235325,376.905706103327,376.083302152504,375.267215971008,374.459176663566,373.660870152429,372.873801164722,372.099239434348,371.338205813233,370.591484761712,367.087213868541,363.968928836713,361.204744828506,358.734563569465,356.473304906202,354.305959237323,352.092486144256,349.703761373854,347.079355055868,344.251035096328,341.306371910199,338.338016276895,335.417533515552,332.591792446389,329.888141819386,327.320542350528,324.894366109107,322.609642154989,320.463194219655,318.450028349613,316.564224863819,314.799540524757,313.149817121914,311.609270147778,310.172705146737,308.835698949562,307.594766458277,306.447573993956
1.01325,393.878653268811,392.532489204816,392.104736629172,390.887013482564,390.834509638226,390.761912797106,390.717497728313,390.724087348687,390.791290246888,390.923100312526,391.121885852204,391.390211725869,391.730896282757,392.144461442894,392.622844680433,392.977664500129,391.386692113136,389.874759184427,388.471445687772,387.172238574817,385.970916882295,384.859291594963,383.826704743652,382.859980366774,381.94427074972,381.064696509537,380.208279872931,379.36532192943,378.529793482125,377.698845209691,376.871909013515,376.049805164384,375.234038703225,374.426338173158,373.628386360036,372.841683791742,372.0674957938,371.306838999889,370.560493912276,367.057972459728,363.941001974443,361.177341641545,358.706451444529,356.442685881317,354.270596637835,352.050412411758,349.654393898284,347.023895967047,344.191605481854,341.244937791934,338.27596025781,335.35570652869,332.530686950143,329.828034451717,327.261584636946,324.836637584594,322.553180357331,320.408011783841,318.396123125746,316.511586128377,314.748153260574,313.099665331918,311.560339758411,310.124986824773,308.789191128545,307.549478719551,306.403531370877
2,392.202382735751,389.370031823883,388.867690400596,388.153877225445,388.149556917985,388.104568662243,388.073894395067,388.087427602685,388.160015873718,388.299203401056,388.509698193657,388.795395738578,389.159409095099,389.601261494364,390.110848143067,390.488182261826,388.978431520965,387.537578659789,386.207904624621,384.983531591883,383.855846291795,382.813611375687,381.842972056408,380.928248383429,380.053612430654,379.20505102974,378.371856585495,377.547106001197,376.727241052696,375.911194172093,375.099457287968,374.293334924803,373.494463432223,372.704478817336,371.924869327178,371.156900489077,370.401587754921,369.659721693468,368.931885288772,365.511029422624,362.442363195852,359.671527109265,357.111889728593,354.65436109502,352.181909083995,349.596330347501,346.847687103265,343.946355716146,340.947974591474,337.924222547403,334.939562884338,332.041660476171,329.261307001503,326.616008447882,324.113908620338,321.756938607553,319.543076107075,317.46790493232,315.525671487912,313.710017369077,312.014490544301,310.432914173839,308.959645396443,307.589807870947,306.319471452001,305.145847247291,304.067543780736
3,391.301348064594,387.531541666525,386.909578112207,386.466415205944,386.491798425897,386.465228392984,386.44454682556,386.463481293712,386.540215530142,386.684685442728,386.903228422959,387.200788868444,387.580807079758,388.042338743567,388.574216525118,388.968045131672,387.512817825818,386.118720835797,384.836936446764,383.660376113748,382.578530160147,381.578026421723,380.643132740834,379.757155945045,378.904447996671,378.072205647966,377.251423410058,376.436836222126,375.626155189381,374.819128480712,374.016666373674,373.220227274774,372.431415009528,371.651777597933,370.882634719842,370.125105616694,369.380043960455,368.648079403231,367.929633678473,364.543352263899,361.476305498318,358.657300997341,355.986353988437,353.354611728252,350.667762325211,347.867439859729,344.941330640982,341.918594493417,338.853427514307,335.805301916476,332.825087704056,329.949724075926,327.202759493067,324.597127179378,322.138157692345,319.826050721191,317.657704956545,315.628022605837,313.730820775155,311.959501652823,310.307515117356,308.768708809007,307.337590491989,306.009540675437,304.781009055038,303.649731315251,302.61501472326
4,390.706594155852,386.255806263279,385.511142806254,385.242878601104,385.289311854869,385.276455946129,385.263556122637,385.28690522824,385.367022798608,385.515671630167,385.740486730766,386.047273414537,386.43979534615,386.916883721266,387.466685497613,387.87408804916,386.460610814811,385.101798596053,383.855781158253,382.714394149904,381.665584285049,380.694354917594,379.783805679824,378.916879819117,378.078432535766,377.256760906526,376.444146883914,375.636431620629,374.832118980552,374.031400838797,373.235413982351,372.445657087257,371.6636913643,370.89093722772,370.12862881034,369.377733289268,368.638974387252,367.912857925885,367.199682955974,363.827009504683,360.742170943784,357.862144141185,355.08301463275,352.306728836572,349.463349507469,346.521492032641,343.487109765306,340.394900953977,337.294768904467,334.237701628524,331.266192528665,328.410741734385,325.690484579973,323.115519759357,320.689386361372,318.411149637047,316.27698011694,314.281307727475,312.417661825632,310.679275544616,309.059549249063,307.552376425733,306.15240224675,304.85523452643,303.657644253615,302.557791968158,301.555544627069
5,390.269885147847,385.285200027561,384.422468316399,384.278641181779,384.341149612085,384.339187517269,384.332671482853,384.359757278006,384.442761382454,384.594912156169,384.824953024434,385.139406036919,385.542380490055,386.03258896457,386.597704428204,387.016937727999,385.637712758196,384.307522648407,383.090235767529,381.97673042011,380.9536242775,380.004699094741,379.112278276049,378.259250411454,377.431068383387,376.617015955048,375.810355956034,375.007740484497,374.208209770577,373.412251534482,372.621105512045,371.836271256058,371.059263249942,370.291413034661,369.533829036539,368.787371009511,368.052658955477,367.330080290815,366.619825384702,363.249046525522,360.136520939813,357.191687293047,354.312873960266,351.41655877537,348.453633611416,345.410414364092,342.302234182805,339.164894409984,336.044027625867,332.984368149913,330.022596362017,327.184766782793,324.486950466872,321.937240947737,319.537885407538,317.287112975771,315.18054636066,313.212257061067,311.375549025558,309.663543733141,308.069608681266,306.587694057346,305.212575401824,303.940061464536,302.767209076715,301.692545246813,300.716402520727
6,389.928311197482,384.505528945634,383.530927003718,383.480745292075,383.556138339818,383.563165481164,383.562069779595,383.592384385357,383.677920534594,383.833115373722,384.06766300396,384.388750963018,384.800809582152,385.30250448964,385.881157822486,386.311034727686,384.961070777122,383.655090703948,382.461888601511,381.371465087864,380.369305060782,379.438226281937,378.560037945741,377.717747729945,376.897427354781,376.089189682228,375.28714407544,374.488522724622,373.692751623261,372.900517674038,372.11311649702,371.332056057951,370.558763482973,369.794489940392,369.04024628904,368.296791791973,367.564638428735,366.844094657154,366.135247012104,362.758931778883,359.613238334702,356.603579336686,353.634358125977,350.637165641741,347.579616190875,344.459688683254,341.297655673443,338.128744997198,334.994771151454,331.935641627281,328.983686762095,326.16164354752,323.4832898196,320.955181499663,318.578568525653,316.35102086318,314.267722670223,312.322456305208,310.508347068031,308.818427706279,307.246054283781,305.785233415445,304.43086983537,303.178958530299,302.026800521847,300.973247095514,300.019039064765
7,389.649643665611,383.856215116258,382.775968680693,382.798926727935,382.884959423047,382.899601994227,382.903207659845,382.936374706713,383.024164674466,383.182067064819,383.42060746216,383.74758001349,384.167727336477,384.679728164131,385.270625434118,385.710255048756,384.385981414406,383.101051246761,381.928602054345,380.857856164635,379.873299696631,378.956964087249,378.090364134834,377.256693896676,376.442626863084,375.639046281308,374.840690316809,374.045293376407,373.252557268417,372.463302532841,371.678881591969,370.900752458306,370.130283682514,369.368644105448,368.61674945837,367.875277527767,367.144650096059,366.425074080653,365.716563899113,362.329661974682,359.147714614707,356.074934789798,353.024035061047,349.940941244268,346.806349071798,343.626061033494,340.422881947285,337.230792269532,334.088272821023,331.031371287221,328.088988675416,325.281264669851,322.620154359037,320.110999109297,317.754228797738,315.546873576912,313.483752215063,311.558405284363,309.763810621962,308.092932065146,306.539121976073,305.09645711619,303.759951707268,302.525774662637,301.391453091392,300.356125373883,299.42089255253
8,389.415318188246,383.301318731909,382.121266311898,382.202820437642,382.297850240514,382.319073127494,382.326823712017,382.362544476524,382.452357609845,382.612714068281,382.854855999815,383.187137216076,383.614625141287,384.136017199823,384.7381630477,385.186876906458,383.885564755754,382.619292629711,381.465102839946,380.411476534648,379.442040507314,378.538193579113,377.681252102301,376.854693136171,376.045767639684,375.245996171365,374.450678173294,373.65793539965,372.867693155434,372.080867376684,371.298829654717,370.522999391581,369.754675669725,368.994959012409,368.244682490576,367.504429154026,366.774542295131,366.055148077112,365.346180832391,361.94510936492,358.725247953597,355.591840949548,352.467107359649,349.30993511767,346.111217859747,342.882033163313,339.646358917085,336.436672295012,333.288548203494,330.234843345389,327.301681778738,324.50707737486,321.861497759308,319.369272547691,317.030150503482,314.840701547432,312.79543153327,310.887673711465,309.110281398123,307.456159038592,305.918680993309,304.491971834285,303.171162799767,301.952581947797,300.833963189154,299.814704440395,298.896228486014
9,389.213729551553,382.817828230567,381.543272082685,381.672671859775,381.775431770283,381.802431274428,381.813876526887,381.851913415106,381.94357587494,382.106163206058,382.351598819319,382.688743300195,383.122968479472,383.653035921684,384.265627384307,384.722878139027,383.442388752325,382.192908044981,381.055006065416,380.016508312842,379.060279424317,378.167195700251,377.318482077609,376.497917633748,375.693291145213,374.896704473691,374.10392913234,373.313400707318,372.525224505473,371.740401136242,370.960281609247,370.186247463221,369.419549553114,368.661200005502,367.911958189495,367.172328540866,366.442577481144,365.722757329635,365.012732569747,361.594873221271,358.336336531564,355.145135540783,351.953469039266,348.731703058095,345.478657762417,342.208962864958,338.946978978935,335.723607545736,332.571875968846,329.521946015575,326.597615161015,323.815137866166,321.183716350474,318.706824785528,316.38362703959,314.210293692467,312.181057086466,310.289069501942,308.527074336765,306.887941723344,305.365050405591,303.952590087606,302.645799322725,301.441154989743,300.336581731874,299.331714181492,298.428265277707
