p_bar,of_1,of_1_5,of_2,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,2767.1708003412,3186.36147672801,3401.29465759626,3516.45635043334,3568.14632166614,3613.12848406057,3652.1392772755,3686.14876450156,3716.06356284351,3742.63671969613,3766.46206887098,3787.9888143952,3807.52786183351,3825.23671857455,3841.09089282663,3852.38949080618,3830.84129609667,3806.92352495173,3781.04387787908,3753.12629308019,3723.1431615155,3691.16167417405,3657.38416510039,3622.17179442158,3586.02944416474,3549.54484427387,3513.29697154161,3477.77201318647,3443.31796024241,3410.14104500551,3378.33024520815,3347.89155729363,3318.77864824436,3290.9163448713,3264.21638623571,3238.58715731088,3213.93930388173,3190.18841909885,3167.25662139897,3062.61051903023,2970.16798656831,2885.69948892589,2806.5104066992,2730.97696986413,2658.48341774849,2589.50277899915,2525.40183484097,2467.65607266777,2416.94751092047,2372.94934803411,2334.7430576687,2301.2798741474,2271.62103105644,2245.00443850459,2220.83427462976,2198.64873732508,2178.08720942928,2158.86337946395,2140.74439133138,2123.53523151057,2107.06703808405,2091.18816526631,2075.7570573198,2060.63611225194,2045.68581244398,2030.75820836825,2015.68918300628
1.01325,2767.84574679378,3187.61284601788,3402.76630174915,3518.16957183901,3569.91503437871,3614.95758961516,3654.02749521,3688.0916837125,3718.05556553833,3744.67184229366,3768.53422345265,3790.0916446636,3809.65438988168,3827.37899578877,3843.24012635332,3854.53060951763,3832.93699818569,3808.96421968288,3783.02467050265,3755.04322771626,3724.99381761219,3692.94596073546,3659.10500390275,3623.835297504,3587.6442475523,3551.12066533621,3514.84294236771,3479.29547144229,3444.8240201919,3411.63279858374,3379.80925932345,3349.35839868633,3320.2333026558,3292.35850660767,3265.64563869674,3240.00307637929,3215.34151232517,3191.57660957185,3168.63056547903,3063.91239976097,2971.40140920944,2886.87428848766,2807.64364744881,2732.09594488726,2659.62683265899,2590.71384689803,2526.71084666145,2469.06588109841,2418.43778375559,2374.49212191398,2336.31372743953,2302.86035546153,2273.19902563509,2246.57183719078,2222.38578831304,2200.18093335511,2179.59787100813,2160.35108342665,2142.20822097756,2124.97457268514,2108.48142600025,2092.57716208538,2077.12014719233,2061.972603783,2046.99473783127,2032.03820767628,2016.93835948743
2,2800.33375120728,3250.75574223015,3479.03334421366,3607.90945540995,3662.51569569597,3710.72933149874,3752.95045501317,3789.95959478855,3822.57911406023,3851.52878774524,3877.38430947506,3900.57053043642,3921.3559203865,3939.84019879369,3955.95411182462,3966.62529641156,3942.51049307597,3915.4591204291,3886.18458970434,3854.68160697356,3821.02930107004,3785.44292386479,3748.29939779727,3710.12344973103,3671.52652842266,3633.11479183392,3595.40377579434,3558.76910049981,3523.44033344851,3489.52479628433,3457.04065516831,3425.94920887666,3396.17925194224,3367.64382844771,3340.25092655846,3313.90969825586,3288.533893476,3264.04333692212,3240.36437026104,3132.01366570365,3036.23645027362,2949.20504672228,2868.68236237311,2793.54088728716,2723.47380511086,2658.71092689618,2599.68053886246,2546.65544882189,2499.517275878,2457.76000596405,2420.66353662685,2387.4745967076,2357.51205911737,2330.20359994313,2305.08442503458,2281.78113001069,2259.99240566421,2239.4710894692,2220.00948817885,2201.4272982622,2183.56224917074,2166.2626058088,2149.38082037143,2132.76772357386,2116.26632830471,2099.70442395357,2082.88467076102
3,2817.43336854195,3286.72776051468,3524.55107982217,3662.51417746727,3718.8220466629,3768.97050680956,3813.15896277358,3852.03593526529,3886.35339385187,3916.79553259884,3943.91416049055,3968.10787938941,3989.60932176389,4008.47751241245,4024.61543398657,4034.68945919061,4008.89370773761,3979.76907761933,3948.27196852084,3914.4645266528,3878.51561888014,3840.75024787712,3801.65473133371,3761.83403933012,3721.92779313152,3682.51590559945,3644.05078467797,3606.83426388659,3571.03013047532,3536.69641474901,3503.81903977192,3472.3400277373,3442.1785005244,3413.24352991856,3385.44283612819,3358.68691127039,3332.89201099213,3307.98082546541,3283.88282856852,3173.56046817096,3076.25635455197,2988.45020735144,2908.16700570727,2834.37670829916,2766.57777257838,2704.53986562707,2648.15769159121,2597.3008955226,2551.67354764181,2510.78470336918,2474.02750355528,2440.78120087847,2410.47912343206,2382.63614041495,2356.85036273577,2332.79269505373,2310.1925283031,2288.82357578476,2268.4912749387,2249.02264031632,2230.25777886005,2212.04310680532,2194.22542943306,2176.64616648826,2159.13487019797,2141.50099827361,2123.52258661498
4,2828.52844308385,3311.32988593179,3556.74589353152,3701.70989077376,3759.2252909756,3810.76463873849,3856.38745569029,3896.64030022428,3932.215491194,3963.76322573605,3991.81131073654,4016.73264404567,4038.72861956035,4057.82505206334,4073.90342721198,4083.42310976661,4056.34583357499,4025.63414643962,3992.45166838914,3956.92298643293,3919.29414562765,3879.97546584337,3839.52806609153,3798.60026032999,3757.8328684326,3717.7712953002,3678.81565178875,3641.21486438645,3605.08951843326,3570.4672222003,3537.31460800314,3505.56301624637,3475.1264377268,3445.91266713452,3417.82948957441,3390.78933008713,3364.71041012885,3339.51782571744,3315.14347631492,3203.5968842546,3105.52722302556,3017.63791898428,2938.06080152075,2865.66866875012,2799.67411150171,2739.50441681182,2684.77675974574,2635.19530025562,2590.41139370462,2549.96530954752,2513.32280839798,2479.94258237507,2449.32672996367,2421.04386368817,2394.73194047496,2370.09066530158,2346.86978732843,2324.85684431901,2303.86604230489,2283.72872398855,2264.28584420914,2245.38147506164,2226.85717732684,2208.54624281389,2190.26692027325,2171.81348581223,2152.94353176973
5,2836.54797893839,3329.82615243967,3581.609132099,3732.351196805,3790.80492403261,3843.4330336929,3890.18987726321,3931.53879825379,3968.12012755653,4000.55244065999,4029.3399793229,4054.83140215177,4077.19946699392,4096.44175644803,4112.42121387295,4121.42341967127,4093.29802396786,4061.28675095118,4026.73584274351,3989.82781190933,3950.87602127768,3910.35966392579,3868.8930038091,3827.14767056858,3785.75411718561,3745.22364151139,3705.91272699818,3668.03032585249,3631.66583307953,3596.82581404249,3563.46427407127,3531.50580821618,3500.86125880895,3471.43779157594,3443.14429892348,3415.89459587944,3389.60893296474,3364.21434529035,3339.64488533784,3227.2961067404,3128.87504743178,3041.23594228134,2962.51038712105,2891.39347782346,2826.83356692673,2768.02762732462,2714.44269583699,2665.70685226378,2621.45672555932,2581.26198947791,2544.63973262264,2511.10303925206,2480.20152911407,2451.54159228098,2424.78978483584,2399.66685829235,2375.93761468511,2353.39983448859,2331.87397442618,2311.1943800213,2291.20195237756,2271.73827479422,2252.64002656832,2233.73326304314,2214.82631470587,2195.70027552979,2176.09516299272
6,2842.72640074202,3344.52964566588,3601.82576599151,3757.53051412712,3816.75285161669,3870.27703942155,3917.97402780264,3960.23721073181,3997.66054309363,4030.83319644633,4060.23670446288,4086.19660362276,4108.85928561958,4128.19713767201,4144.05636824701,4152.57188613285,4123.55343765741,4090.43506475236,4054.72764613081,4016.66754738159,3976.62753564222,3935.14330985113,3892.86795624031,3850.4845217428,3808.60790870865,3767.71708257606,3728.13251659999,3690.03076597462,3653.47828509858,3618.46574624408,3584.93822999023,3552.81555963878,3522.00688677997,3492.41933603086,3463.96276325732,3436.55247767813,3410.1104558817,3384.56567788125,3359.85392525935,3246.97443883278,3148.45534382022,3061.2405153354,2983.39182112994,2913.40287285899,2850.00433981808,2792.24119134457,2739.49679925174,2691.36277721017,2647.475040568,2607.42871911091,2570.77958311297,2537.08103251606,2505.91828896516,2476.92633294474,2449.79380227045,2424.25790074242,2400.09528194923,2377.11176163313,2355.13259321445,2333.99413232963,2313.5368514924,2293.59977808386,2274.01499879667,2254.60197556914,2235.16018611718,2215.45897075127,2195.22273757989
7,2847.69262861488,3356.65868345253,3618.83344069576,3778.91283155351,3838.7872203519,3893.07354439786,3941.57487791221,3984.62407121823,4022.77339607693,4056.58436814375,4086.51675691271,4112.87400957312,4135.777956431,4155.17789147171,4170.90464318741,4178.9591895047,4149.159163368,4115.07299238638,4078.36190062405,4039.31269012475,3998.35107801944,3956.05952286934,3913.12037846064,3870.22002509844,3827.95570451688,3786.77652337838,3746.97206549323,3708.69319687606,3671.98751340487,3636.8339904293,3603.1705318798,3570.91400903396,3539.97239594521,3510.25309368442,3481.66700459659,3454.13083731043,3427.5681865306,3401.90970216675,3377.09295704304,3263.8712920553,3165.41953484747,3078.72110513854,3001.72547931483,2932.72797329342,2870.28759207238,2813.34973207145,2761.25075526331,2713.5653802459,2669.93448213889,2629.97500598652,2593.27316205347,2559.41389559221,2528.01038846157,2498.72054125403,2471.2507538753,2445.35168571241,2420.80971097432,2397.43719363199,2375.06318368671,2353.52543686928,2332.66372551256,2312.31447641166,2292.30550465656,2272.45018764217,2252.53991084377,2232.33337217741,2211.54088071017
8,2851.80746807468,3366.93202080793,3633.49228956466,3797.49950535186,3857.94078846833,3912.89086524565,3962.09580062011,4005.83549652249,4044.62419290954,4078.997264463,4109.39367329754,4136.09573262762,4159.20190103947,4178.64041484363,4194.22725424207,4201.84300075799,4171.34563950533,4136.3976850897,4098.79897277673,4058.88375485024,4017.12513621832,3974.14504784145,3930.64719215552,3887.3167529136,3844.73213536935,3803.31544695978,3763.32946085256,3724.90348962226,3688.07000363952,3652.79857172056,3619.02177401262,3586.65412108292,3555.60298649347,3525.77620016411,3497.08571918399,3469.44965025429,3442.79307814196,3417.04819338211,3392.15403780886,3278.72788211464,3180.4555745274,3094.31989768291,3018.13363448418,2950.00912885309,2888.372794787,2832.10535199096,2780.5176144397,2733.17772236149,2689.7338146921,2649.8216122872,2613.05214362638,2579.03589580829,2547.40892622255,2517.84801991823,2490.07445637506,2463.85020829972,2438.969851351,2415.25123145467,2392.52647821648,2370.63429274654,2349.41360818388,2328.69825421861,2308.31199029607,2288.06254377082,2267.73383636711,2247.07479580062,2225.78284001119
9,2855.29557172579,3375.80816809763,3646.35802777916,3813.94042737455,3874.88368387378,3930.42196770602,3980.25284923339,4024.60900381248,4063.96972865942,4098.84573808376,4129.65587566976,4156.66214353358,4179.94099830476,4199.40070685354,4214.84323357539,4222.03928574139,4190.91092853554,4155.18492591872,4116.79016069765,4076.10532828927,4033.64656774073,3990.06899059051,3946.09193501082,3902.39636275642,3859.54159911911,3817.924987034,3777.78593822798,3739.23538553548,3702.29372025366,3666.92206366829,3633.04940014531,3600.5883504195,3569.44593271562,3539.5306024101,3510.75535947123,3483.03961422256,3456.30985427245,3430.49968412514,3405.54951648167,3292.02284405515,3194.00763824224,3108.45417391162,3033.0267808371,2965.67453241011,2904.7228097159,2849.01122560026,2797.83804917527,2750.77055077521,2707.46499682092,2667.5733231351,2630.72733060866,2596.55887397815,2564.72314343873,2534.91295057842,2506.8623056758,2480.34292389831,2455.15644996418,2431.12540759071,2408.08447941104,2385.87297088355,2364.3288332305,2343.28338236065,2322.55650627357,2301.95063556471,2281.24274647944,2260.17271557554,2238.42605957696
