p_bar,of_1,of_1_5,of_2,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1.19530626491173,1.23566968411362,1.26816957438145,1.29259836865598,1.29639956136507,1.30005834466892,1.30364325414745,1.30718641852069,1.31070111045344,1.31419211474198,1.31766087853167,1.32110776263896,1.3245324903921,1.32793290459736,1.3313021914368,1.33446189424087,1.33559517101211,1.33672393632034,1.33788216789913,1.33906873183438,1.34027916502264,1.34150511998977,1.34273375629886,1.34394799011882,1.34512821813331,1.34625526076989,1.34731356564194,1.34829330288056,1.34919072111995,1.35000708951099,1.350747052476,1.35141708891106,1.35202435553678,1.35257596287511,1.35307858069095,1.35353826213264,1.35396039958651,1.35434974085148,1.3547104385226,1.35619690635613,1.35735811414196,1.35836361646267,1.35929698274931,1.36017678065759,1.36095610000789,1.3615240772378,1.3617411481277,1.36151288707229,1.36084269606978,1.35981326838139,1.35853296671319,1.35709866541328,1.35558393030251,1.35404045249215,1.35250316048302,1.35099519181821,1.3495316754686,1.34812242949264,1.34677384814179,1.34549016928704,1.34427436510162,1.34312876939676,1.34205554381366,1.3410570566143,1.34013623502714,1.33929693681293,1.33854442975553
1.01325,1.19528252012374,1.23561621302276,1.26810177312236,1.2925292756651,1.29633169886225,1.29999113354101,1.30357631735099,1.30711955808734,1.31063424733028,1.31412524066859,1.31759402486433,1.321040981173,1.32446584044584,1.32786644406366,1.33123597879963,1.33439581501861,1.33553015574272,1.3366598465728,1.33781907211893,1.33900666031267,1.34021808602076,1.34144492181219,1.34267424102975,1.34388888943114,1.34506923565051,1.34619612866462,1.34725409219974,1.34823339211847,1.34913036357029,1.34994633704076,1.35068599109196,1.35135581743014,1.35196297185375,1.35251455653967,1.35301722971687,1.35347703227787,1.35389934492071,1.35428890485251,1.35464985515615,1.35613783140275,1.35730048856242,1.35830676108797,1.35923953517436,1.36011650972685,1.36088997878977,1.36144910134344,1.36165585935778,1.36141823673449,1.36074122373431,1.35970768106764,1.35842538108203,1.35699051978608,1.35547614444528,1.3539336005738,1.35239759667206,1.35089113184493,1.34942924759707,1.34802170666699,1.34667486917751,1.34539295318725,1.34417892141768,1.34303510615897,1.34196367405259,1.34096700419592,1.34004804059008,1.33921066433004,1.33846017493483
2,1.19413524556522,1.23289456741092,1.26456253557403,1.28890607470242,1.29277319469265,1.29646865188779,1.30006981347408,1.30361797718329,1.30713287637583,1.31062335546697,1.31409329955494,1.31754440722392,1.32097708189451,1.32438953077678,1.32777527490421,1.3309450021427,1.33214036532204,1.33332205340216,1.3345363483036,1.33577956667429,1.33704335816098,1.33831472292286,1.33957630251834,1.34080800221563,1.34198992210121,1.34310554812303,1.34414397138233,1.34510037933817,1.3459751298827,1.3467721795145,1.34749752924374,1.34815802394545,1.34876063182689,1.34931194215101,1.3498179914407,1.3502841837959,1.35071528537699,1.35111549071891,1.35148847887903,1.35304339952705,1.35425499980259,1.35525517528442,1.35608645139937,1.35672809106252,1.3571185361391,1.35718700728957,1.35688898513385,1.35622906115393,1.35525885012388,1.35405527204696,1.35269686117006,1.35125005353398,1.34976536425691,1.34827888097188,1.34681540660599,1.34539155326602,1.34401825199255,1.34270265747237,1.34144949929634,1.34026207738169,1.33914296081181,1.33809450527096,1.33711923547946,1.33622022262304,1.33540142861637,1.33466812909215,1.33402750253305
3,1.19352536316793,1.23132069047098,1.2624261018903,1.28669744061026,1.29060286033657,1.29432120797557,1.29793324690171,1.30148501164515,1.30500021473165,1.30849037118794,1.31196107673153,1.31541518281875,1.31885384002661,1.32227585490483,1.32567526423446,1.32885470330682,1.33009257663074,1.33130938698708,1.33255990104209,1.33383837895487,1.33513361994098,1.33642962730937,1.33770669892412,1.33894391729453,1.34012244987449,1.34122831194258,1.34225363685228,1.34319632107523,1.34405862158982,1.34484558073389,1.34556360834205,1.34621954997769,1.34682009393735,1.34737149827769,1.34787937370108,1.34834875687754,1.34878404705286,1.34918909559817,1.34956725412503,1.35114378215482,1.35234838053306,1.35328584617004,1.35397695955922,1.35439619644973,1.35450537098308,1.35428004013859,1.35372331146535,1.35286852774952,1.35177248731533,1.35050194098519,1.34912048791099,1.34768101553446,1.34622383464818,1.34477792277291,1.34336329148574,1.34199336059842,1.34067695397269,1.33941985238814,1.33822594899556,1.33709810282619,1.33603874909434,1.33505035806611,1.33413580170867,1.33329869267888,1.33254375658754,1.33187730446991,1.33130789553436
4,1.19312528869982,1.23023237761081,1.26090331103237,1.28510969280725,1.28904134413684,1.29277607730009,1.29639612109437,1.29995060978359,1.30346599814346,1.30695584265095,1.31042711744749,1.3138836765374,1.31732738583728,1.32075772483096,1.32416923269125,1.32735794185281,1.32862906018927,1.32987271455548,1.33115031704371,1.33245438586972,1.33377148327588,1.33508344871076,1.33636926923587,1.33760803879719,1.33878223029825,1.33987993351174,1.34089545032744,1.34182839247417,1.34268215036932,1.34346228435954,1.34417538108518,1.34482818244614,1.3454271609096,1.34597825274614,1.34648682603172,1.34695759533752,1.34739468644071,1.34780169986265,1.34818174974776,1.34975923182865,1.35093353426825,1.35179031455329,1.35234211676239,1.35257406729963,1.3524759098675,1.35205532826903,1.35133885067446,1.35036974429376,1.34920324928736,1.34789831465925,1.34650926438997,1.34508092527008,1.34364746477915,1.34223351413107,1.34085608586236,1.33952655955173,1.33825238989688,1.33703846699208,1.33588815286672,1.33480404400167,1.33378853730945,1.33284424648334,1.3319743479625,1.33118291417855,1.33047529845883,1.32985863857584,1.32934259951141
5,1.19283272875733,1.22940657347333,1.25971999682466,1.28386663499846,1.28781770835641,1.29156501081707,1.29519129851997,1.29874790470671,1.30226337417479,1.30575289343956,1.30922463565113,1.31268330720016,1.31613150489679,1.31956935490215,1.32299189308009,1.32618946312976,1.32748824071139,1.32875382268864,1.33005313319103,1.33137718162653,1.33271066633517,1.33403387087589,1.33532501923278,1.33656357030546,1.33773328974745,1.33882401717406,1.33983164198042,1.34075700198917,1.3416041977886,1.34237911630217,1.34308836952628,1.34373857551138,1.34433602473231,1.34488642399085,1.34539487229228,1.34586585553735,1.34630328798764,1.34671054722074,1.34709054799991,1.34865730544022,1.3497895215708,1.35056018302646,1.3509824373832,1.35105786248712,1.35080063495505,1.35023947705133,1.3494130095622,1.34836783107714,1.34715632303708,1.34583146167615,1.34444113230529,1.34302463476886,1.34161191263495,1.34022455711263,1.33887745006827,1.33758050068594,1.33634016816016,1.33516069722132,1.33404507128661,1.33299572315205,1.33201505257487,1.33110582365253,1.33027149012821,1.32951652094522,1.32884681677405,1.32827022151697,1.32779731991645
6,1.19260456798563,1.22874466895284,1.25875261814572,1.28284356249974,1.2868097518849,1.29056709513652,1.29419844269221,1.29775671154622,1.30127218218999,1.30476137135775,1.30823349099967,1.31169405851973,1.31514635089311,1.31859112467401,1.32202388590014,1.32522995642777,1.32655260608403,1.32783680668418,1.3291542359688,1.33049455561739,1.33184091464513,1.33317242285415,1.33446688965281,1.33570431623538,1.33686969101453,1.33795427157487,1.33895528628533,1.33987440201091,1.34071621804219,1.34148681761739,1.34219278917499,1.34284066349834,1.34343651390822,1.34398585241452,1.34449356979387,1.34496395006627,1.34540070470948,1.34580705629323,1.34618573641911,1.34773432813629,1.34881804716409,1.34950238554072,1.34980661702818,1.34975007353721,1.34936661190154,1.34869863262184,1.3477911529304,1.34669145368556,1.34544892503722,1.34411185288078,1.34272330912204,1.34131849354671,1.33992421578612,1.33855975788148,1.33723837887301,1.33596885218374,1.33475686427253,1.33360616161355,1.33251944421168,1.33149903405786,1.33054736117446,1.3296673342055,1.3288626709482,1.32813819965036,1.3275002853501,1.32695739317482,1.32652091481156
7,1.19241882903164,1.22819446068485,1.25793477041719,1.28197335747133,1.28595167597703,1.28971726414344,1.29335280565048,1.29691241647061,1.3004278079895,1.30391666243822,1.3073891039385,1.31085140142464,1.31430748092378,1.31775873008543,1.32120108525167,1.32441531770082,1.3257590992282,1.32705951833043,1.32839246737077,1.32974642950285,1.33110322182428,1.33244103582932,1.33373755167396,1.33497335311158,1.3361345516724,1.33721368608555,1.3382089447867,1.33912270789145,1.33995990884684,1.34072674100182,1.34142978756682,1.34207542400666,1.34266956523812,1.34321754048171,1.34372404973681,1.34419321219244,1.34462857099025,1.34503317185424,1.34540961536922,1.34693499962683,1.34796674071762,1.34856695443202,1.34876430897556,1.34859520754192,1.34810880002006,1.34735647045566,1.34638653867656,1.34524579585289,1.34398083012917,1.34263614503016,1.34125102032155,1.33985746491689,1.33847981254102,1.33713553817962,1.33583658330628,1.3345908083526,1.33340327373506,1.33227732547889,1.3312154429207,1.33021987330507,1.32929308694646,1.32843815325261,1.32765901289036,1.3269608238724,1.32635037628968,1.32583668455915,1.32543185531847
8,1.19226290149468,1.22772502881237,1.2572266236128,1.28121563213721,1.28520391951167,1.28897641840461,1.29261549804931,1.29617619670287,1.29969143316471,1.30317995767159,1.30665267956121,1.31011656834281,1.31357620861536,1.31703355303311,1.32048498984192,1.323707111478,1.32506989781721,1.32638469759516,1.32773121830862,1.32909684682348,1.3304622759704,1.33180499681638,1.3331026724553,1.33433655915306,1.33549380660856,1.33656799222921,1.33755814719769,1.33846718400212,1.33930029796143,1.3400637456425,1.34076406222836,1.34140749722314,1.34199980404275,1.34254615842466,1.34305109591558,1.34351856282854,1.34395195680356,1.34435418083561,1.34472769799279,1.34622633292477,1.34720436139071,1.34772375699271,1.34782438516046,1.34755814303793,1.34698595540341,1.34616508082899,1.34514539212547,1.3439726593041,1.34269093315436,1.34134156650512,1.33996078209111,1.33857798562434,1.33721550356577,1.33588931691783,1.33461028522146,1.33338550438784,1.33221951244524,1.3311153242392,1.33007524272633,1.32910145974193,1.32819651751933,1.32736361137791,1.32660690828764,1.32593186478126,1.32534565728562,1.32485779652169,1.32448103103209
9,1.19212892815525,1.22731660251659,1.25660236741464,1.28054419503687,1.28454080607117,1.2883191928916,1.29196128821279,1.29552288024594,1.29903791482137,1.30252608769023,1.30599906043524,1.30946444631247,1.31292744064664,1.31639057920213,1.31985065548904,1.32308041107519,1.32446052229396,1.3257882620998,1.32714679807958,1.32852255724775,1.32989525541526,1.33124183548504,1.33254007091451,1.33377188221484,1.33492535980986,1.33599500627374,1.33698054929399,1.33788532115469,1.33871472080865,1.33947505841879,1.34017277344905,1.34081400112258,1.3414043696145,1.34194888409381,1.34245193477584,1.34291732259373,1.34334830766101,1.34374766426755,1.34411773620098,1.34558707303071,1.34651075276943,1.34695311884716,1.34696601807286,1.34661504991986,1.34597013049632,1.3450922989797,1.34403196921563,1.34283365237032,1.34153912116481,1.34018705800511,1.33881112566777,1.33743858989098,1.33609007665906,1.33478031310713,1.33351923975655,1.3323133000854,1.33116658629471,1.33008183380425,1.32906119704997,1.32810685118655,1.32722138519883,1.32640813723889,1.3256714816737,1.32501715138825,1.32445267748817,1.32398802363039,1.32363652082327
10,1.19201171508849,1.22695577045926,1.25604433230327,1.27994106107215,1.28394471743976,1.2877281778079,1.29137287257782,1.29493519463195,1.29844998822634,1.30193778941402,1.30541099580019,1.30887779153859,1.31234397400638,1.31581263484381,1.3192809862228,1.32251814521272,1.3239142026286,1.32525371309117,1.32662302065837,1.32800769364521,1.32938658111832,1.33073622067501,1.33203456665221,1.33326418800866,1.3344140849361,1.33547952600945,1.33646083938908,1.33736170173367,1.33818768420632,1.33894508931112,1.33964027759787,1.34027929213758,1.34086760687417,1.34141009173575,1.34191099767999,1.34237399226768,1.34280221009067,1.34319830890928,1.34356452579349,1.34500272491265,1.34587212765345,1.34624138831361,1.34617448046735,1.34574891202122,1.34504142351765,1.34411542832999,1.34302125227267,1.34180206659589,1.34049759699457,1.33914422684787,1.33777344533955,1.33641068059871,1.335075133985,1.33378042942473,1.33253573116597,1.3313469016609,1.33021765101211,1.32915046990223,1.32814740919459,1.32721061222045,1.32634273746668,1.32554725699505,1.32482874089621,1.32419317954222,1.32364843204355,1.32320487897271,1.32287638398548
11,1.19190765832744,1.22663303450753,1.25553988715439,1.27939336672587,1.28340303276378,1.2871909033553,1.29083785992454,1.29440077669851,1.29791530132745,1.30140273554145,1.30487612251656,1.30834426557944,1.31181349333919,1.31528745813095,1.31876374916492,1.32200810196636,1.32341896222976,1.32476926520576,1.32614832033473,1.3275409004652,1.32892511109293,1.33027718285258,1.33157530135635,1.33280269937761,1.33394916223755,1.33501067438824,1.33598807030041,1.33688531102847,1.33770808592091,1.33846268388709,1.33915540960687,1.33979217607109,1.34037833526425,1.3409186253396,1.34141716808198,1.34187750800702,1.34230266470516,1.34269519020821,1.34305722629683,1.34446296293282,1.34527864511032,1.34557866687342,1.34543890723522,1.34494710224865,1.34418514179622,1.34321781965598,1.34209501932999,1.34085854493406,1.33954628230794,1.33819260829713,1.33682713241197,1.33547369745996,1.33415025489868,1.33286948039217,1.33163984061983,1.33046669712294,1.32935341548626,1.32830229230987,1.3273152664821,1.3263944786152,1.32554265466989,1.32476339639975,1.32406145930789,1.32344307495237,1.3229164078755,1.32249222471419,1.32218487926376
12,1.19181416388458,1.22634145474429,1.25507968972972,1.27889156545908,1.2829064106418,1.28669814163415,1.29034706998533,1.29391046692067,1.29742469410342,1.30091175649347,1.30438531293603,1.30785472806015,1.31132687620915,1.3148059449905,1.31828988720399,1.321541241825,1.32296594106735,1.32432619923009,1.32571413866235,1.32711379503903,1.32850261911698,1.32985662100732,1.33115426384509,1.33237941048654,1.33352257724219,1.33458039834558,1.33555411538083,1.33644797232521,1.33726770184199,1.33801960231772,1.33870989487727,1.33934437871132,1.33992828855567,1.34046623899757,1.34096223143759,1.34141969645438,1.34184154805146,1.34223024240419,1.34258783643649,1.34396016572696,1.3447229989486,1.34495751376327,1.34475101506663,1.34419996299674,1.34339009282765,1.34238689671801,1.34123957026901,1.3399885944841,1.33867018543644,1.33731694857088,1.33595684585409,1.33461232986256,1.3333002458446,1.33203244621232,1.33081676068665,1.32965810960282,1.32855955612578,1.3275232150238,1.32655094268061,1.3256448807504,1.32480782348514,1.32404350062091,1.32335684139749,1.32275430529302,1.32224434261163,1.32183807941734,1.32155032288091
