p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,559.381322029152,559.44275467505,507.320149336634,472.374106875685,449.101871346026,433.085067393049,421.617772925445,413.06270071843,411.60669137719,410.2212292509,408.901289093394,407.642327963594,406.440220518152,405.291215521403,404.191894798511,403.13913710443,402.130086347558,401.162123648461,400.232842759317,399.34002842156,398.481637286729,397.655781071756,396.860711661649,396.094807909993,395.35656392093,394.644578625183,393.957543927387,393.294243456215,390.296369895729,387.748177832563,385.562018610955,383.671642808646,382.0259187354,380.584698748586,379.315971520269,378.193902364195,377.197397329749,376.309066263629,375.514447435547,374.801420898464,374.159758383351,373.580773657031,373.057047868604,372.582213799409,372.15077247591,371.757965641411,371.399651856057,371.072214942953,370.772486200669,370.497680085027,370.24534042405,370.013295296063,369.799618981372,369.602599732836,369.420712359645
1.01325,559.268565499386,559.44258935957,507.31781781558,472.359518575669,449.072377131945,433.044619268267,421.570845006228,413.01258381628,411.556210645897,410.170454726372,408.850283237792,407.591146510436,406.38891315108,405.239826521656,404.140463631768,403.087698948579,402.078672564837,401.110762205924,400.181558602386,399.288843805109,398.430572068265,397.604852970816,396.809936489254,396.044199771663,395.306135396364,394.594340927488,393.907507023765,393.244416222075,390.247693086747,387.700760200164,385.515912195327,383.626864481939,381.982463134258,380.542546363459,379.275093662484,378.154264635647,377.158961803366,376.271792978721,375.478295441079,374.766348977458,374.125725562788,373.547739568058,373.024973000327,372.551058991148,372.120501702111,371.728542194264,371.371040933105,371.044383056174,370.745401174897,370.471311053888,370.21965781257,369.988270795443,369.775225517785,369.578811431999,369.397504508159
2,553.06260836561,559.425301534467,507.214412618852,471.678119977918,447.630728672317,431.011009266095,419.171535896291,410.426699724141,408.94842402608,407.54474971728,406.210233953751,404.93994696917,403.729418125043,402.574583896752,401.471749069455,400.417546997097,399.408893128404,398.442974045472,397.517206962736,396.629219159403,395.776826970103,394.958015945992,394.170926429764,393.413837039987,392.685152152346,391.98339028969,391.3071737494,390.65521951291,387.720124979578,385.241214450179,383.127495723442,381.310642357447,379.738212542273,378.369214091056,377.171100362286,376.117691395776,375.18768220284,374.363559366791,373.630801199148,372.977273753067,372.392756084806,371.868600701778,371.397439518897,370.972964657642,370.589750500661,370.243111403961,369.92897978959,369.643819314396,369.384539550992,369.148432877102,368.933119894542,368.736503821024,368.556732080212,368.392163809781,368.241342261409
3,548.986594320619,559.39744992183,507.166411840812,471.33623569651,446.851945424737,429.858723142119,417.771574666485,408.893022678266,407.398397958907,405.981128653553,404.635497485365,403.356324434464,402.138909674103,400.978983897247,399.872663367203,398.816409517767,397.80699282521,396.841458386685,395.917109379085,395.031455188983,394.182218223216,393.367300574552,392.584757905253,391.832802131808,391.109775011393,390.414138901031,389.744468222024,389.099429418461,386.20320219978,383.76778645429,381.699847184199,379.929602687097,378.40368952714,377.080524798355,375.927181600472,374.917238219884,374.029239653566,373.245587327134,372.551716963569,371.935480385283,371.386673697951,370.896672390356,370.458148774853,370.064833692303,369.711355151671,369.393079890415,369.105999480116,368.846630348603,368.611939664203,368.399276248375,368.206314245045,368.031010754124,367.871564858004,367.72638551049,367.59406381997
4,545.913968844949,559.359181247729,507.137403875471,471.120760885348,446.337864787539,429.073068281985,416.796740389703,407.811956336133,406.304013171349,404.875558287464,403.520675860748,402.233998006894,401.010651381435,399.846207691089,398.736638507426,397.678274184011,396.667764637633,395.702054884015,394.778342823027,393.894060985175,393.046851099837,392.234543241762,391.455140619732,390.706789633733,389.987785804413,389.296549708847,388.631607111637,387.991596607046,385.123945356918,382.720812365656,380.686997108417,378.95155802453,377.460396934936,376.171459209925,375.051519505961,374.073960204114,373.217209653618,372.463601977746,371.798540879219,371.209871011586,370.687398928582,370.222523055207,369.80794439836,369.437437917041,369.105670062755,368.808054646851,368.540621982527,368.299940978964,368.083021240491,367.887257670985,367.7103695828,367.550356356939,367.40545839476,367.274124603771,367.154983741182
5,543.423751801188,559.31066835741,507.117403955033,470.968178066124,445.961503452381,428.483576283852,416.053010866727,406.978911412842,405.459554295389,404.021450662649,402.658525414908,401.365260037554,400.136640597459,398.968108966403,397.85551769881,396.795086593573,395.783373492495,394.817228546093,393.893771566268,393.010363059526,392.164580033465,391.354194444466,390.577154014265,389.831565159727,389.115677800145,388.427875091804,387.766648104077,387.130605294906,384.285701478099,381.908462529925,379.902102869636,378.194701697546,376.731540348926,375.47016675621,374.377101463307,373.425564829274,372.59388720006,371.864347342473,371.222323552291,370.655656154464,370.154162282218,369.709261458195,369.313683138656,368.96123572742,368.646622382665,368.365292804523,368.113322684125,367.887320459816,367.684329810473,367.501786913181,367.337448944715,367.189351675959,367.055770472147,366.935187403441,366.826263399083
6,541.318124524048,559.252202906408,507.102511319909,470.852456533674,445.668611383136,428.015616459271,415.454337697068,406.302584676039,404.773151606865,403.326485982725,401.956381559002,400.657194278665,399.423791907677,398.251506183676,397.136086115179,396.073664256103,395.060708117627,394.093992911522,393.170569043412,392.287734430471,391.443009730099,390.634116219389,389.858956069464,389.115594766153,388.402245448408,387.717254949208,387.059091348542,386.426332864558,383.600402689827,381.244890462574,379.261628051365,377.577835341865,376.138250549111,374.900074594821,373.82960451411,372.899924968086,372.089277802709,371.379896695433,370.757138134313,370.208840655907,369.724832163037,369.296552089247,368.916756117776,368.579283140235,368.278869511181,368.010999682004,367.771784753287,367.557866013914,367.366330511832,367.194639903651,367.04058757591,366.902241220031,366.777906767305,366.666095430022,366.565495822786
7,539.487199663813,559.184116825401,507.090833422728,470.760606442966,445.431229754745,427.629984651853,414.955029817544,405.734242908769,404.195736439657,402.741327936234,401.364700329889,400.060102221758,398.822299285367,397.646525759438,396.528446948402,395.464108600524,394.449905166242,393.482543877976,392.559013533545,391.676556372447,390.832642834732,390.02494896862,389.251336245329,388.509833544599,387.798621085781,387.116016094751,386.460460015061,385.830507089333,383.020887193021,380.684157658613,378.720906347933,377.057579191817,375.638430701808,374.420351804757,373.369441862048,372.458661516983,371.66617807276,370.974183778409,370.368019060116,369.835521827704,369.366530097934,368.952502703573,368.586219923041,368.261548929013,367.973256652438,367.71685896492,367.488500493866,367.28485267179,367.103034479324,366.940541593517,366.795197573744,366.665093380685,366.548565047495,366.444149737972,366.350560652431
8,537.863185098965,559.106773429575,507.08135479497,470.685298002451,445.233171773422,427.303596075277,414.527938997037,405.244797202676,403.698002989762,402.236496511841,400.853865308785,399.544264518091,398.302370117397,397.123331550027,396.002735164783,394.936553573803,393.921114157086,392.953062945638,392.029333131732,391.147116597535,390.303838287982,389.497133219013,388.724825897342,387.984911926088,387.275541578026,386.595005130533,385.941719771842,385.314217905077,382.518933793598,380.198786893981,378.253232901331,376.608016538872,375.20695051648,374.006644389877,372.97301859988,372.078922040372,371.302455319247,370.625774889074,370.034206781052,369.515589005182,369.059771481335,368.658231038656,368.303771264405,367.990286420071,367.712570983553,367.466170780762,367.247260341031,367.052540723156,366.879159964285,366.724641978065,366.586834926575,366.463863648547,366.354080807625,366.256049835305,366.168506111786
9,536.401140157339,559.02058821451,507.073442532148,470.622028946494,445.064276617485,427.021752984868,414.1556266729,404.815492222863,403.261046358637,401.792966054284,400.404755608568,399.090487666387,397.844758338176,396.662641039951,395.539650926369,394.471694375607,393.455037802587,392.486271442838,391.562277671869,390.680202260235,389.837428426253,389.031553503004,388.260368013943,387.521836943133,386.814082989603,386.135371604013,385.484097619747,384.858773305133,382.076290343261,379.771019602973,377.841362928916,376.212422188253,374.827603514302,373.643258009398,372.625142232806,371.746003183353,370.983881139005,370.320900692252,369.74237571108,369.236145795333,368.792072043649,368.401649080648,368.057702748706,367.754151898501,367.485818809814,367.248276518186,367.037727445239,366.850900693478,366.684970320187,366.537486759949,366.406323202167,366.289625833692,366.185777863762,366.093356143789,366.01111906382
