p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1064.01384055424,1442.11163217081,2046.38993270077,2428.28421353772,2644.80233262855,2759.0345034285,2814.69133010396,2838.77728072554,2841.26169475976,2843.17201132551,2844.57406572357,2845.52549285573,2846.07677351184,2846.27219845722,2846.15069354245,2845.74653232243,2845.08995019154,2844.20767303872,2843.12337208991,2841.8580553234,2840.43040450238,2838.85706566596,2837.15289982166,2835.33119961154,2833.40387687821,2831.38162532601,2829.27404499624,2827.08982802287,2815.26792328274,2802.43578315145,2789.05835028868,2775.43277281749,2761.75305249639,2748.14786231228,2734.70317922626,2721.4765249582,2708.50601608951,2695.81633292285,2683.42271603923,2671.33369960375,2659.55301197459,2648.08091781552,2636.91517891018,2626.05179965819,2615.48534047095,2605.20959193549,2595.21769310248,2585.50224629883,2576.05570234742,2566.87032857585,2557.93834029472,2549.25197105371,2540.80352601983,2532.58542234212,2524.59021941776
1.01325,1064.67684179139,1442.11273117749,2046.4418398803,2428.61916395372,2645.50186596378,2760.01611894698,2815.84574254362,2840.02148937099,2842.51694361227,2844.43653343883,2845.84628302287,2846.80399683551,2847.36030689333,2847.55963859515,2847.44103746162,2847.03888332634,2846.38350594441,2845.50171499868,2844.4172561665,2843.15120363095,2841.72229808816,2840.14723810018,2838.44093154682,2836.61671295911,2834.6865316707,2832.6611149925,2830.550092962,2828.36218513167,2816.51886388793,2803.66189493307,2790.25765756741,2776.60421610962,2762.89617293379,2749.26260464714,2735.7897631763,2722.53536034029,2709.53764435365,2696.82138602556,2684.40188719131,2672.28772189288,2660.48264254498,2648.98692601259,2637.79833731347,2626.91286473665,2616.32509622695,2606.02877421527,2596.01703367813,2586.28245887734,2576.8174811294,2567.61434705348,2558.66525050086,2549.96240312284,2541.49808800034,2533.26470021097,2525.25477725678
2,1100.47482945275,1442.21769545523,2048.74240499756,2444.26880747982,2679.73183518779,2809.46138433928,2874.99665431239,2904.35526490966,2907.49777963732,2909.96376872793,2911.82978247109,2913.16309837579,2914.02286630168,2914.46114692599,2914.52379136358,2914.25125183047,2913.67925568319,2912.83942577281,2911.75978947437,2910.46523400236,2908.97788906939,2907.31750110951,2905.50167719505,2903.54617201466,2901.46510163145,2899.27113591157,2896.97566524828,2894.58894970163,2881.5812378077,2867.36408797089,2852.48677464276,2837.30011942649,2822.03333590972,2806.83865698436,2791.81808832739,2777.04022416734,2762.55081861103,2748.3797559872,2734.54578095808,2721.05968051155,2707.92646187181,2695.14701281389,2682.71917623555,2670.6385882477,2658.89928498713,2647.494196221,2636.41535194471,2625.65424708837,2615.20209691594,2605.04986988558,2595.18844522865,2585.60870177817,2576.3015862066,2567.25816522903,2558.46966523644
3,1123.33635707599,1442.37928093026,2049.80815543831,2452.12371119766,2698.25270649156,2837.55906362649,2909.62827146168,2942.63847879895,2946.24803437903,2949.11157494134,2951.3125363957,2952.9245276735,2954.01246322134,2954.63360553932,2954.83849967343,2954.67180315104,2954.17301797298,2953.37710634514,2952.3151673145,2951.01473046735,2949.50034598505,2947.79389453131,2945.91489839028,2943.88083471751,2941.70735791533,2939.4085176729,2936.99696026007,2934.48402612419,2920.7253898938,2905.62012674468,2889.77625094206,2873.58188229078,2857.29059322058,2841.070891709,2825.03581326893,2809.26151338662,2793.79890315915,2778.68137403547,2763.92995094997,2749.55681581577,2735.56776239992,2721.96393613119,2708.74310457791,2695.90049802696,2683.42959706595,2671.32256221168,2659.57071867685,2648.16450039711,2637.09420492871,2626.34981798978,2615.92116738839,2605.79812791206,2595.97063384436,2586.42875485905,2577.16274172702
4,1140.28295258504,1442.59950041449,2050.45070847732,2457.07483815383,2710.48953223644,2856.75043360689,2933.79549503311,2969.68090569809,2973.66455101519,2976.84816611101,2979.32033666303,2981.15944483666,2982.43479717922,2983.20765958826,2983.53221083078,2983.45638725298,2983.02260997839,2982.26857467963,2981.22766249064,2979.92957305269,2978.40074746302,2976.66476263098,2974.74268774317,2972.65333417532,2970.41359275,2968.03861830936,2965.54201353222,2962.9360455563,2948.61759850783,2932.84451557275,2916.27151186299,2899.31629432699,2882.25169897608,2865.2590395567,2848.46010696603,2831.93686866345,2815.74426801546,2799.91836428763,2784.48189376365,2769.44805203753,2754.82313122812,2740.60839140278,2726.80140997464,2713.39706883195,2700.38828581481,2687.76658338912,2675.52246036804,2663.64571619863,2652.12566755439,2640.95149734304,2630.11220950057,2619.59681536057,2609.39441399104,2599.49426831157,2589.88582473617
5,1153.85735117264,1442.87799249903,2050.89244395155,2460.58078142659,2719.45334363394,2871.16794982742,2952.26256982734,2990.5517693773,2994.85240381324,2998.30833124457,3001.0122176115,3003.0462856317,3004.48340899525,3005.38813826954,3005.817646565,3005.82255512565,3005.44783608917,3004.73330694672,3003.71436560106,3002.4224958453,3000.88573854845,2999.12910453696,2997.17493583575,2995.04322145316,2992.75187333621,2990.3169819267,2987.75296905923,2985.07285996882,2970.30418282125,2953.99043528368,2936.82573004444,2919.25273000484,2901.56048609882,2883.9410692143,2866.52352673973,2849.39470676368,2832.61285968875,2816.21621598636,2800.22887602006,2784.66481175464,2769.53065886505,2754.82770011978,2740.55329787009,2726.70194308135,2713.26603459871,2700.23646398377,2687.60309901859,2675.35502981993,2663.480787505,2651.96882468023,2640.80740509356,2629.9848031306,2619.48939601731,2609.30973433609,2599.43459539343
6,1165.23391454212,1443.2135384568,2051.22028118507,2463.23952763542,2726.43218472986,2882.62400043695,2967.1463864989,3007.5172199779,3012.09549711846,3015.79071607426,3018.69891281167,3020.90552171129,3022.48642811526,3023.50897340687,3024.03285845259,3024.1111418961,3023.79081931299,3023.11365485014,3022.11677262259,3020.83320886919,3019.29239888379,3017.52060506499,3015.54129249918,3013.37545800132,3011.04191826769,3008.55756204835,3005.93757094626,3003.19561280622,2988.0484562778,2971.27765063335,2953.61183332594,2935.51546047818,2917.29171294512,2899.14201564482,2881.20164925475,2863.56179171538,2846.28341008938,2829.40661706944,2812.9566177488,2796.94801022129,2781.38767044991,2766.27684426693,2751.61265258141,2737.38919574626,2723.59837449059,2710.23050707428,2697.27483784514,2684.71978346744,2672.5532690436,2660.76300165062,2649.33660246132,2638.26168818877,2627.52599501088,2617.11745273408,2607.02424070663
7,1175.05668135177,1443.60434453982,2051.47625864174,2465.34955017771,2732.09013922555,2892.07192086478,2979.57260487306,3021.78851135081,3026.61532907032,3030.52535549053,3033.61748435019,3035.97990376993,3037.69110486764,3038.82082557629,3039.43111560372,3039.57699195706,3039.30735617218,3038.66567083733,3037.6905943545,3036.41654560818,3034.87420379067,3033.09094924005,3031.09125121587,3028.89700841606,3026.52784766186,3024.00138574772,3021.33345897431,3018.53832440311,3003.06353287961,2985.89520974367,2967.79293317762,2949.24059334952,2930.55400213233,2911.94290954965,2893.54815959892,2875.46465789597,2857.75583739712,2840.4633836337,2823.61348255644,2807.221234773,2791.29366289754,2775.83194264972,2760.83293699545,2746.29035854256,2732.19562815662,2718.53856549945,2705.30769766391,2692.49091441201,2680.0756142221,2668.04877414124,2656.39745957928,2645.10863745916,2634.16949151598,2623.56739241838,2613.28998286027
8,1183.71885715781,1444.04830358876,2051.68324407147,2467.07929639219,2736.81196289489,2900.07348616843,2990.21083484854,3034.08944319279,3039.14222324486,3043.24802338581,3046.50820473869,3049.01335965085,3050.84427412186,3052.0728396279,3052.76311451247,3052.97195608747,3052.74995021185,3052.14209064506,3051.18842226127,3049.92461578303,3048.38247839219,3046.59040544392,3044.57377883358,3042.3553175489,3039.95538570143,3037.39226296733,3034.68238194019,3031.84053645221,3016.07620931017,2998.55513260579,2980.06502433165,2961.10748535795,2942.00977015802,2922.9891627696,2904.1915243814,2885.71510592157,2867.62553601335,2849.96589994798,2832.76320965178,2816.03296619839,2799.78232297842,2784.01233815423,2768.71960585076,2753.89747127574,2739.53686372365,2725.62709782677,2712.15614945098,2699.11133907685,2686.47949186845,2674.24700704182,2662.40036377434,2650.92605978545,2639.81066505869,2629.04106863328,2618.60442485942
9,1191.47899969082,1444.54309541702,2051.85522977063,2468.53224670759,2740.83928902505,2906.98673270241,2999.49142258819,3044.88712916279,3050.14773876086,3054.43399958616,3057.84943226341,3060.48675663565,3062.4288067446,3063.74940871507,3064.51443535016,3064.78241320918,3064.60546130175,3064.02997105356,3063.09725581353,3061.8441337204,3060.30344739429,3058.50452504556,3056.47358812966,3054.23411080848,3051.80713635062,3049.21155531464,3046.46434998612,3043.58080912634,3027.55659188706,3009.7177504503,2990.8778720649,2971.55487639429,2952.08652854682,2932.69701583359,2913.53678120269,2894.7071160863,2876.27563066374,2858.28665937366,2840.76793625955,2823.7353056326,2807.19598899978,2791.15091279886,2775.59639526653,2760.52538731374,2745.9283972145,2731.79423160873,2718.1103429125,2704.86353200104,2692.04005390178,2679.62578244211,2667.60667469255,2655.96869204158,2644.69799736255,2633.78092233546,2623.20420221122
10,1198.5165816964,1445.08612418681,2052.00113658822,2469.77605092741,2744.33314033025,2913.0533901827,3007.70722945914,3054.50056092507,3059.95405077706,3064.40812811921,3067.96822354428,3070.72895924616,3072.77497580211,3074.18197543749,3075.01736607899,3075.34124351531,3075.20713597367,3074.6627230576,3073.75048979728,3072.50831608363,3070.97000405109,3069.16574736356,3067.12254709394,3064.86457917035,3062.4135183421,3059.78882340919,3057.00798813885,3054.08675788263,3037.82647498197,3019.69798094274,3000.53898895491,2980.88259642517,2961.07625754945,2941.35056988239,2921.86020140694,2902.70919967454,2883.96708554897,2865.6792153698,2847.87399560789,2830.56755792814,2813.76715774901,2797.47357225565,2781.68283920672,2766.3875367437,2751.57773753874,2737.24177211513,2723.36659364632,2709.93847552483,2696.94319594911,2684.36610648562,2672.19267462848,2660.40838580093,2648.99891719349,2637.9502732025,2627.24864021781
11,1204.96151294602,1445.67461686403,2052.12699534989,2470.85720120538,2747.40582628168,2918.44405149026,3015.06632502294,3063.15723632412,3068.79102538733,3073.40226330163,3077.0980840294,3079.97482499926,3082.11880330304,3083.60733474049,3084.50934229392,3084.88633615588,3084.7931499823,3084.27865982682,3083.38644129174,3082.1553642288,3080.62012665639,3078.81173120496,3076.75790833201,3074.48349097826,3072.01074542651,3069.35966299303,3066.5482169167,3063.59258847327,3047.11579190932,3028.72082712095,3009.26802022148,2989.30463331956,2969.18722826814,2949.15235818894,2929.35861754283,2909.91263468032,2890.8855942991,2872.32387262189,2854.25644492904,2836.69968418368,2819.66085193524,2803.1405623914,2787.13457001412,2771.63508583499,2756.63175916,2742.11246167294,2728.06366847847,2714.47116707559,2701.3202578467,2688.5958035098,2676.28281398384,2664.36632727942,2652.83159161888,2641.6641501365,2630.84993276815
