p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1.29509617617555,1.30827700660864,1.26107897405713,1.23569765369104,1.22127715682911,1.21261123446678,1.20714014946833,1.20349979453547,1.20291976465601,1.20237885346677,1.20187365547855,1.20140115017835,1.20095864567697,1.20054373827564,1.20015427595532,1.19978832689046,1.19944415231622,1.1991201831017,1.19881499954511,1.19852731389425,1.19825595520968,1.19799985622989,1.19775804194902,1.19752961966202,1.19731377026821,1.1971097406559,1.19691683432907,1.19673441418429,1.19596032685747,1.195375427221,1.19493712336935,1.19461437271332,1.1943839460066,1.19422808693139,1.19413296394031,1.19408765181029,1.19408340136205,1.19411312918418,1.1941710467129,1.19425238440336,1.19435318437757,1.19447014204402,1.19460048352818,1.19474185916812,1.19489230686917,1.19505013618774,1.19521391390522,1.19538241596713,1.19555459522899,1.19572955432816,1.19590652348961,1.19608484194484,1.19626394235255,1.19644333767396,1.19662261006787
1.01325,1.29498215001874,1.30827682615162,1.26107628861252,1.23568316387812,1.2212495790527,1.21257425223369,1.20709751793281,1.20345420868685,1.20287380954478,1.2023325855587,1.20182712515386,1.20135440242817,1.20091172067834,1.20049667192806,1.2001071003623,1.19974107078906,1.19939684145717,1.19907284058695,1.19876764612472,1.19847996822812,1.19820863409806,1.19795257481616,1.19771081389827,1.19748245731835,1.19726668479336,1.19706274215084,1.1968699319236,1.19668761617276,1.19591415078199,1.19532999123918,1.19489249992372,1.19457060482285,1.1943410571148,1.19418608706849,1.19409185384042,1.19404742553858,1.19404404805985,1.19407463456928,1.19413339395948,1.19421555485622,1.19431715808873,1.19443489818544,1.19456600071433,1.19470812018734,1.19485928222318,1.19501780760003,1.19518225983212,1.1953514151497,1.19552422676583,1.19569979773998,1.19587735876735,1.19605624958596,1.19623590338745,1.19641583368433,1.19659562319815
2,1.2888348463356,1.30825822914284,1.26095727630363,1.2350082377466,1.21990871974711,1.21072798753352,1.20493591424,1.20112337734884,1.20052154084761,1.1999620744698,1.19944123604861,1.19895569678779,1.19850249069277,1.19807896755653,1.19768275755001,1.19731173641575,1.19696398795879,1.19663779144777,1.19633159030564,1.19604397495833,1.19577366491884,1.19551949792172,1.19528041183928,1.1950554367173,1.19484368429874,1.19464433946188,1.19445665360413,1.19427993435504,1.19354013736988,1.19299636340897,1.19260335089403,1.19232834129462,1.19214696833097,1.19204069673199,1.19199515629529,1.19199903434705,1.19204329464496,1.19212066991263,1.19222522098704,1.19235207779974,1.19249720740824,1.19265726049488,1.1928294350826,1.19301137866208,1.19320110911161,1.19339695157507,1.19359748732926,1.19380151307673,1.19400800639873,1.19421609819668,1.19442504951692,1.19463423227031,1.19484311307389,1.19505123964848,1.19525822932002
3,1.28491599052016,1.30822844998639,1.26090211143136,1.23467098005936,1.21919011939301,1.2096931138641,1.20369060439844,1.19976014797593,1.19914304092519,1.19857049393814,1.19803854546878,1.19754366751263,1.19708271280483,1.19665286921554,1.19625161947147,1.19587670575159,1.19552609867474,1.19519796775844,1.19489066934163,1.19460270363557,1.19433271868215,1.19407948563689,1.19384187932685,1.19361887846035,1.19340954689371,1.19321302654379,1.19302853084522,1.19285533147361,1.19213709387387,1.19161952459652,1.19125551745103,1.19101113192174,1.19086121964998,1.19078671255763,1.19077287144241,1.19080812277316,1.1908832543278,1.19099085066167,1.19112488551551,1.19128042198832,1.19145338805247,1.19164040581211,1.19183866167293,1.19204579575644,1.19225983247568,1.19247910750827,1.19270221310618,1.19292797375934,1.19315538421034,1.19338359142672,1.19361189483598,1.19383968647899,1.19406645947517,1.1942917882454,1.19451531675411
4,1.28201312899819,1.30818755866297,1.26086881292065,1.23445889648424,1.21871794212221,1.20899207476929,1.20283019158861,1.19880751898915,1.19817828320586,1.19759529653623,1.19705443776225,1.19655202955311,1.19608478620894,1.19564977360904,1.19524436025317,1.19486618650537,1.19451312897093,1.19418328220864,1.19387492014452,1.19358648368572,1.19331655974371,1.19306386481181,1.19282723260093,1.19260559331147,1.19239797505162,1.1922034876342,1.19202130844902,1.19185068682474,1.19114844926166,1.19065050190344,1.19030828754148,1.19008692769861,1.18996066422071,1.18991000849887,1.18991993424462,1.18997866362005,1.19007684174765,1.1902069521766,1.19036289835308,1.19053969588798,1.19073324247987,1.19094014311001,1.19115757531047,1.1913831839759,1.19161499829012,1.19185136710732,1.19209089853104,1.19233242763251,1.1925749775735,1.19281771607805,1.1930599545438,1.19330110836137,1.19354070261868,1.19377832822399,1.19401364773719
5,1.27968875651574,1.30813572591686,1.26084588279637,1.23430894094866,1.21837335078907,1.20846846679559,1.2021773999689,1.19807801254893,1.19743855671663,1.19684674314712,1.19629832229707,1.19578949757462,1.19531687388537,1.19487741262868,1.19446839088576,1.19408736255971,1.19373213539398,1.19340072887177,1.19309135776906,1.19280240795188,1.1925324169859,1.19228005713608,1.19204412046402,1.19182350576005,1.1916172070764,1.1914243055616,1.19124395284839,1.19107537514038,1.19038595014837,1.18990384405617,1.18957926205855,1.18937654820126,1.18926942232776,1.18923804998428,1.18926715607336,1.18934480793636,1.18946152760087,1.18960971644829,1.18978322162842,1.18997702163247,1.19018699147681,1.19040972450223,1.19064239485854,1.19088265062738,1.19112852906076,1.19137838913518,1.19163085699369,1.19188478401858,1.19213920412114,1.192393313174,1.19264643850758,1.19289801994179,1.19314759268239,1.19339477296353,1.19363924595064
6,1.27774115708233,1.30807324890621,1.26082883007702,1.23419533878286,1.21810581513184,1.20805425477423,1.20165418431889,1.19748862109208,1.19684025406976,1.19624072035252,1.19568566617736,1.19517119492934,1.19469381831742,1.19425041155475,1.19383817043823,1.19345458347001,1.193097386706,1.19276454279485,1.19245421342248,1.1921647367249,1.19189460738453,1.19164245918074,1.19140704963023,1.19118724653365,1.19098201609762,1.19079041254733,1.19061156895771,1.19044468917945,1.18976600789147,1.18929725787119,1.18898757347233,1.18880061533647,1.18870965450974,1.18869455403536,1.18873983920234,1.18883342137676,1.18896572730655,1.18912907719585,1.18931728944645,1.18952530486466,1.18974898082772,1.18998490247377,1.19023024311958,1.19048265537543,1.19074018520714,1.19100120340024,1.19126435014553,1.19152849091918,1.19179268139382,1.19205612966918,1.19231818260006,1.1925782978132,1.1928360281854,1.19309100732918,1.19334293737696
7,1.27605982988773,1.30800048311817,1.26081547856336,1.23410525110955,1.21788939159822,1.20771386931698,1.20121933034464,1.19699529837951,1.19633898337795,1.19573254670832,1.19517154578593,1.19465199879914,1.19417033707438,1.19372335891818,1.19330819705586,1.1929222709251,1.19256326100493,1.19222907784311,1.19191783607197,1.19162783142048,1.1913575204368,1.19110550261371,1.19087050467128,1.19065136672555,1.1904470301224,1.19025652673016,1.19007896950895,1.18991354419579,1.18924413594416,1.18878697870745,1.18849024673935,1.18831698883085,1.18824007761243,1.18823910748865,1.18829841988906,1.1884057990586,1.18855158273717,1.18872804314673,1.18892894055253,1.18914918991381,1.18938464839893,1.18963188948038,1.18988808717961,1.19015089959658,1.1904183817639,1.19068891590886,1.19096115656219,1.19123398370006,1.1915064662749,1.19177783306967,1.19204744658685,1.19231477774823,1.19257939714684,1.19284095416071,1.19309916624419
8,1.27457735341659,1.30791782371531,1.2608046561731,1.23403143991751,1.21770909836481,1.20742644471397,1.20084845894632,1.19657187838175,1.19590835977751,1.19529565238668,1.19472923714919,1.19420505807031,1.19371947588084,1.19326922258501,1.19285136967475,1.19246328006592,1.19210258268351,1.19176714122434,1.19145502790618,1.19116450016401,1.1908939800342,1.19064203595213,1.1904073667046,1.1901887872922,1.18998521647715,1.18979566581344,1.18961922997726,1.18945507823648,1.18879384866372,1.18834696076477,1.18806171760434,1.18790061457369,1.18783616229709,1.1878477124152,1.18791944077983,1.18803901766171,1.18819670245592,1.18838471423637,1.18859677841452,1.18882779678747,1.18907360138747,1.18933076793851,1.18959647095773,1.18986836911689,1.19014453976472,1.19042337025859,1.19070352829843,1.1909839080372,1.19126359323717,1.19154182794598,1.1918179884198,1.19209156517154,1.19236213905912,1.19262937551164,1.19289300599455
9,1.27324942696893,1.30782571749464,1.26079563626976,1.23396946709572,1.21755555220536,1.20717873950021,1.20052596559355,1.1962015575372,1.19553143108887,1.1949129597554,1.19434155769007,1.19381310341224,1.19332389480752,1.19287060446275,1.19245024869442,1.19206013927425,1.19169785830755,1.19136122682398,1.19104827831989,1.19075723520421,1.19048648790057,1.1902345763566,1.19000017371211,1.18978207188929,1.18957916888542,1.18939045756701,1.18921501578455,1.18905199764628,1.18839809288464,1.18796044425656,1.18768554759648,1.18753539164654,1.18748215497901,1.18750496710968,1.18758785287361,1.18771837904792,1.18788673431808,1.1880850902327,1.18830714146048,1.18854777139745,1.18880280284798,1.18906880916404,1.18934296900749,1.18962295315623,1.18990683523787,1.19019302029354,1.19048018879398,1.19076723872592,1.19105328560292,1.19133757972975,1.19161951162508,1.19189858449687,1.19217439739684,1.19244662467254,1.19271501226035
