p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,544.529313595594,571.947340148302,521.456617383889,485.594073912268,460.207530088482,442.128809678839,429.026485758749,419.331552209078,417.700190544873,416.154440385319,414.688173817801,413.295753938084,411.972022270703,410.712248332666,409.512099020561,408.367605272924,407.275130372535,406.231340192955,405.233175564206,404.277826825385,403.362710550741,402.485448377435,401.643847824397,400.835884968593,400.05968883384,399.31352734376,398.595794694134,397.905000006245,394.809758226466,392.215164086596,390.018191848459,388.142436754734,386.529847826255,385.135395231436,383.923550762088,382.865863275341,381.939260323451,381.124826057834,380.406904495744,379.772429474028,379.210417483276,378.711570323035,378.267978805698,377.872875354234,377.520443581887,377.205663681617,376.924186883186,376.672232729663,376.44650440931,376.24411851574,376.06254643096,375.899565139123,375.753215747238,375.621769876459,375.503693551266
1.01325,544.406747944918,571.934338231953,521.456361009598,485.590188411219,460.194228691025,442.104506174933,428.992916067327,419.291537565121,417.659226627515,416.112630053608,414.645613932636,413.252534922917,411.92822814971,410.667956749371,409.467381425872,408.322527198985,407.22975176214,406.185715760668,405.187355170557,404.231855850912,403.316630260205,402.439296267949,401.597657953489,400.789688260048,400.013513360532,399.267398587461,398.549735783252,397.85903193215,394.76449718371,392.170908102333,389.975121653554,388.100658031357,386.489413555912,385.096336277605,383.885864756375,382.829535958384,381.904266645441,381.091133462177,380.374475254946,379.741222400971,379.180389199321,378.682676193859,378.240173689763,377.846114144035,377.494681632733,377.180857136318,376.900292923166,376.649209754626,376.424312173326,376.222718218992,376.04190077985,375.879638379192,375.733973674433,375.603179838242,375.485724404828
2,537.711282810099,570.707972389219,521.444965447932,485.416572323635,459.575983957211,440.933547600412,427.330758707158,417.271649013367,415.585266554759,413.990097970319,412.479748548362,411.04829320878,409.690254618574,408.400579088937,407.174614439479,406.008068701579,404.897005645664,403.837803027048,402.827133491839,401.861932600294,400.939378851681,400.056881558582,399.21204996802,398.402675673379,397.626727482956,396.882319211904,396.167707179451,395.48127498794,392.422817685575,389.882658207097,387.750824604476,385.946451755469,384.408567160799,383.090193023206,381.95447147035,380.972035671208,380.119178427102,379.376545319158,378.72818477908,378.160828446775,377.663374431923,377.226465836713,376.842168551317,376.503729631189,376.205370545815,375.942128174019,375.709724413376,375.504459593244,375.323124720901,375.162928767507,375.021438067137,374.896525547479,374.786327996712,374.689209941248,374.603732993322
3,533.365702340709,569.233160981876,521.439499845936,485.335146556288,459.268197304791,440.315906253957,426.413506149464,416.119246031638,414.395791724921,412.766919033005,411.226152210094,409.76744917567,408.385188637996,407.074154346565,405.829516675654,404.646812137093,403.521921308597,402.451046103263,401.430683956677,400.457619963502,399.528874148406,398.641713395712,397.793614255121,396.982248457259,396.205468522552,395.461284905644,394.7478550762,394.063478699252,391.025844955223,388.518951509521,386.427897258686,384.668663568982,383.178205361252,381.90816709566,380.820756041327,379.885965417579,379.079649091557,378.382154232121,377.777328555431,377.251785189071,376.794351641681,376.395632992375,376.047703639794,375.743829605932,375.478273571055,375.246124597564,375.043165432057,374.865763095486,374.710778903716,374.575494004105,374.45754740876,374.354884170062,374.265711844654,374.188463772925,374.121767994038
4,530.115763739765,567.75942514161,521.435973339436,485.285712214085,459.075102665209,439.914512816266,425.799537512015,415.329771776825,413.577821902017,411.922819764561,410.358277248946,408.878106697624,407.476614268958,406.148490492436,404.888797791194,403.692952571716,402.55671799723,401.476169726631,400.44768559047,399.467922685803,398.533796992112,397.642463507161,396.791297211511,395.977878355259,395.199961962582,394.45548290256,393.742527239514,393.059322502429,390.035979852908,387.553310559793,385.492467812231,383.766890486342,382.311876477132,381.077961344392,380.026608528355,379.127304673104,378.355560236787,377.691491589127,377.118797867635,376.624002395382,376.195883302776,375.825037785453,375.503549355655,375.2247049184,374.982810125296,374.773002616957,374.591119709626,374.433586720173,374.297325229163,374.179677263658,374.078342299754,373.991324666095,373.916889443308,373.853525344211,373.79991336087
5,527.497559202868,566.365194985561,521.433314885277,485.251570413173,458.938810251537,439.624041779493,425.345415832049,414.73526868478,412.959998960422,411.283468169254,409.699208766988,408.201124015267,406.783485660664,405.440926859901,404.168443830508,402.961371495876,401.815378707149,400.726450319103,399.690869787892,398.705200790273,397.766268431196,396.871140511945,396.017109232257,395.201673600895,394.42252274356,393.677520224917,392.964692657915,392.282203100174,389.269579629556,386.806048491495,384.769400997074,383.070910587684,381.64446148825,380.439651656391,379.417315120256,378.54651354067,377.802471301334,377.165117144443,376.618030972837,376.14766776811,375.742772622339,375.393938771335,375.093259519351,374.834059783123,374.610680336972,374.418299838733,374.25280845785,374.110683856259,373.988900962539,373.884855059802,373.796297974429,373.721284888889,373.6581298261,373.605368253051,373.561725558814
6,525.294335705608,565.068093939978,521.431110459012,485.226138987699,458.83569537329,439.400048214529,424.989129981941,414.261952034819,412.466872964736,410.77195069552,409.170755810537,407.657203429437,406.225551521355,404.870408797658,403.586717945776,402.369757031124,401.215127459753,400.118741287368,399.076806423698,398.0858103537,397.142502972974,396.243879064772,395.387160854341,394.569780980037,393.789366130147,393.04372151555,392.330816282823,391.648767871878,388.644622286497,386.196955087453,384.180586394504,382.504887027578,381.102495742741,379.922191081624,378.924253637302,378.077377331617,377.356540959674,376.741513643299,376.215776763398,375.765730399382,375.380097753865,375.049472547977,374.76596550464,374.52293088038,374.314744913351,374.13663644585,373.984533749224,373.854965224115,373.744953958132,373.651942861159,373.573730196438,373.508415925437,373.454356882488,373.410129183842,373.374496601891
7,523.386248901918,563.865517013283,521.42916174183,485.20622911005,458.754010123876,439.219879167504,424.698439245041,413.870951149038,412.058619986172,410.347602087857,408.731515954707,407.204301369143,405.760219482389,404.393864020138,403.100146864737,401.874303142837,400.711882276973,399.60873811611,398.561016598475,397.565141511031,396.61779894968,395.715921041188,394.85666941016,394.0374187841,393.255741037604,392.509389894021,391.796284503825,391.114503308805,388.117301307042,385.683194538046,383.684338431318,382.028385121276,380.646853719184,379.487784480352,378.510966604949,377.684766522837,376.983946962805,376.388138529743,375.880739031594,375.448104382961,375.078942018169,374.763850442308,374.494959652866,374.265653211775,374.070343537738,373.904298733623,373.763497020877,373.644502943925,373.544386546668,373.460633980851,373.3910853834,373.333880853605,373.28741538837,373.250301156686,373.221335815604
8,521.69964281043,562.748897253315,521.427360264637,485.190080757863,458.687143012597,439.070518028,424.454523709189,413.539328788356,411.711700901498,409.986350082938,408.356948222906,406.817465607363,405.36218340336,403.985684673509,402.682864390663,401.448926622645,400.279380280026,399.170031969441,398.116975937464,397.116581789722,396.165480550793,395.26054964247,394.398897298632,393.57784685284,392.794921245325,392.047826242003,391.334442917274,390.652804208579,387.661431902244,385.239179017445,383.255773763898,381.617287030889,380.254217379016,379.113932285638,378.155774970646,377.347816414826,376.664626116186,376.085712438023,375.594401078286,375.177011605646,374.822240782202,374.520694761789,374.264524010517,374.047141583481,373.862994788077,373.707390063315,373.576344425815,373.466470988648,373.374872407474,373.299077322068,373.236964548099,373.18670978209,373.146742908926,373.115708542451,373.092434712701
9,520.185832039974,561.70865606414,521.425641046919,485.176631928822,458.631041793301,438.943855216898,424.245516055784,413.252447632448,411.411071719056,409.672789294979,408.0313285547,406.480697671718,405.015198235433,403.629417242802,402.318239394644,401.076846522033,399.900715930999,398.785615520888,397.727595911881,396.722980038673,395.76835077272,394.860537153386,393.996599769757,393.173815763715,392.389663839005,391.641807747804,390.9280891991,390.246504169623,387.260114803934,384.848404378978,382.878846097586,381.256050324307,379.909572665766,378.786159874414,377.8447456795,377.053131303791,376.385711297017,375.821884765852,375.344914395666,374.941089606231,374.599100320634,374.309562502527,374.064647855817,373.85779845319,373.68349564921,373.537082781503,373.414615138949,373.312741863324,373.228611106659,373.15978048742,373.1041662432,373.059978347665,373.025677794889,372.999938724368,372.981616711354
