p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1020.64942992485,1176.19629366253,1745.45533009723,2143.02074113198,2407.92994161757,2573.75691171124,2671.44113406075,2724.67042390066,2731.60519872482,2737.57486825131,2742.67593423159,2746.99568301779,2750.61278626488,2753.59796499632,2756.01466125185,2757.91970461762,2759.36395421941,2760.39290441777,2761.04724714795,2761.36338750133,2761.37391182675,2761.10800949114,2760.59185064841,2759.84892307577,2758.90033150118,2757.76506291935,2756.46022136574,2755.0012354285,2745.83824111115,2734.44026229807,2721.6420399542,2707.98170599906,2693.81618728569,2679.38795157692,2664.86509525985,2650.36599829679,2635.9750092554,2621.75266419067,2607.74250610843,2593.97573224338,2580.47446266681,2567.25392036135,2554.32416882167,2541.69137836953,2529.35862327672,2517.32659938813,2505.59414534494,2494.15864709679,2483.01635525465,2472.16263676139,2461.59217637605,2451.2991392131,2441.27730269827,2431.5201852471,2422.02104970823
1.01325,1021.311034065,1176.27117010066,1745.46085108917,2143.10750738314,2408.23594115187,2574.33187266724,2672.25147391071,2725.64799547749,2732.60773416371,2738.59978938296,2743.72081541829,2748.05825978069,2751.69095786048,2754.68979260539,2757.11836284073,2759.03364754754,2760.48664644619,2761.52298493574,2762.1834761662,2762.50463670283,2762.51915495003,2762.25631338967,2761.74236691825,2761.00088029646,2760.05302810114,2758.91786065084,2757.6125393776,2756.15254488197,2746.97808048541,2735.56090672762,2722.73860214423,2709.05112204305,2694.85659127659,2680.39832380165,2665.84496175403,2651.31530027224,2636.89398126511,2622.64175447475,2608.60231886105,2594.80698502874,2581.27795435549,2568.03050553974,2555.07473908379,2542.41684691636,2530.05991273834,2518.0046321631,2506.24983606214,2494.79289647001,2483.63004543134,2472.75662766756,2462.16730300008,2451.85620962458,2441.817096685,2432.0434536108,2422.52851338035
2,1056.8993262215,1183.3333032093,1745.70298422088,2146.98381359665,2422.4637121338,2602.06649552837,2712.44423302353,2775.09822722945,2783.47277173458,2790.74150500618,2797.00759572524,2802.36587142258,2806.90305698945,2810.69812715476,2813.8227485453,2816.34174592534,2818.31365621754,2819.79122987828,2820.82196676669,2821.44855671549,2821.70942148128,2821.63910559748,2821.26867905762,2820.62609160509,2819.73654464211,2818.62272091421,2817.30509334219,2815.80215068031,2806.04065286006,2793.58971849156,2779.45243144661,2764.27495052691,2748.48562053655,2732.37540990502,2716.14609510079,2699.93991120076,2683.85832826565,2667.97425752342,2652.34019427271,2636.99369628997,2621.96132897422,2607.26143080787,2592.90574324953,2578.90143062372,2565.25179164452,2551.95719042496,2539.0156995226,2526.42360287276,2514.17579352404,2502.26609115714,2490.68749752137,2479.43240316469,2468.49275547465,2457.86019564811,2447.52617046922
3,1079.49891308037,1191.82212845144,1745.81415612329,2148.80056872664,2429.55019654734,2616.71759540194,2734.68365577075,2803.40442931761,2812.7431378429,2820.89115092376,2827.95369950011,2834.02863958088,2839.20643213568,2843.57026212704,2847.19627694811,2850.15390548083,2852.50626070239,2854.31056253052,2855.61857193338,2856.47711607437,2856.92839409292,2857.01051743291,2856.75785337316,2856.20140177212,2855.36914909216,2854.28631839731,2852.97572454421,2851.4579932995,2841.35747267932,2828.25043825118,2813.2589109891,2797.10566510987,2780.2693901044,2763.07516285885,2745.7482968811,2728.44755763254,2711.28614349652,2694.34530524654,2677.68340948456,2661.34211351462,2645.35068668623,2629.72902772441,2614.48990174085,2599.64055095731,2585.18407701533,2571.12022985495,2557.44619235813,2544.15715541418,2531.24677374317,2518.70753017442,2506.53102860682,2494.70823067479,2483.22964746835,2472.0854950183,2461.26582033249
4,1096.19192934781,1200.29881969946,1745.88163832273,2149.90252193707,2433.99660863034,2626.24676131867,2749.59354479467,2822.8364749128,2832.9142564207,2841.74154976613,2849.42389992696,2856.06037142887,2861.74334498981,2866.55845760412,2870.58467521328,2873.89445713454,2876.55411259979,2878.62401376742,2880.15905614306,2881.2090374596,2881.81906279923,2882.02994280802,2881.87858066211,2881.39834270986,2880.61935585051,2879.56888851449,2878.27159292522,2876.74977841718,2866.41774284519,2852.82708747631,2837.19543753241,2820.30702389517,2802.68105402203,2784.66973718656,2766.51711337442,2748.39497868262,2730.42569096648,2712.69689486611,2695.27139474842,2678.19381725001,2661.49528551361,2645.196782899,2629.31149269221,2613.84653066172,2598.80459936616,2584.18474844035,2569.98326371502,2556.19430041709,2542.81038515889,2529.82281674576,2517.22198784835,2504.99764401703,2493.1390925669,2481.63537101282,2470.47538264292
5,1109.52842678208,1208.31243474329,1745.92884355479,2150.6628930028,2437.13518123913,2633.14631159444,2760.63395331522,2837.49166421155,2848.17334865892,2857.55918668555,2865.75419296374,2872.85770392101,2878.96304339961,2884.15730037522,2888.52136350585,2892.12984086096,2895.05132219093,2897.3486048936,2899.0790023183,2900.29469019941,2901.04307305615,2901.36715671512,2901.30591567583,2900.89464756219,2900.16530930011,2899.14683174076,2897.86542407674,2896.34478900213,2885.84013800987,2871.8640357901,2855.71548035027,2838.23107392566,2819.96440367993,2801.29073310888,2782.46986308664,2763.68449515806,2745.06455808357,2726.70295462299,2708.66603479575,2691.00074747574,2673.73962435742,2656.90421921345,2640.50793603059,2624.55782248422,2609.05590776863,2594.00051939889,2579.38709370814,2565.20881101743,2551.45716180907,2538.12237738654,2525.19377455467,2512.66003213545,2500.50941290322,2488.72994152287,2477.30954678944
6,1120.68256957357,1215.76244065932,1745.96482187132,2151.22864100709,2439.50963643617,2638.46867614406,2769.30314175576,2849.17329950926,2860.36749092605,2870.22986828414,2878.86446276708,2886.3703415106,2892.8411528682,2898.36492879842,2903.02375313235,2906.89382450531,2910.04550299875,2912.54347812111,2914.44701021759,2915.81022399047,2916.6824350548,2917.10849346956,2917.12913143573,2916.78130544618,2916.09852590855,2915.11116954809,2913.84677172772,2912.33026440532,2901.69014453819,2887.3924820998,2870.80788976761,2852.81914525502,2834.01004373621,2814.77615174414,2795.39092676464,2776.04655273818,2756.87946989309,2737.98702528247,2719.43852574461,2701.28277591693,2683.5533866866,2666.27236222021,2649.45311848814,2633.10238742154,2617.22162644087,2601.80848187336,2586.85747909485,2572.36090803756,2558.30929989499,2544.69191098929,2531.4970865293,2518.71255105225,2506.32564067974,2494.32348818526,2482.69316998312
7,1130.29684356641,1222.66486682206,1745.99390817867,2151.67101015502,2441.3904613995,2642.750954084,2776.3810121489,2858.8327222092,2870.47298505565,2880.7520522741,2889.77271674024,2897.6334427823,2904.42784267442,2910.24441202409,2915.1660795312,2919.27020278458,2922.62852025076,2925.30724568166,2927.36724595062,2928.86428295941,2929.84929992234,2930.36873476308,2930.46484633311,2930.1760422002,2929.53719957579,2928.57997339783,2927.33305324664,2925.82257102696,2915.07243646559,2900.49823658029,2883.53509595735,2865.10736446972,2845.82603002318,2826.10478309711,2806.22934566491,2786.40028531534,2766.75976717644,2747.40899859717,2728.41980896459,2709.84255003208,2691.7116616071,2674.04944560483,2656.86922554312,2640.17735257009,2623.97469016004,2608.2581863704,2593.02158824734,2578.25624735704,2563.9518304173,2550.09669459849,2536.67829685841,2523.68349610615,2511.09879349892,2498.91052299399,2487.10500172773
8,1138.76278825649,1229.06978591216,1746.01847346401,2152.02932301404,2442.92990932454,2646.30170789824,2782.32302484475,2867.03195486863,2879.06756958568,2889.71746836294,2899.08306171543,2907.26196557219,2914.34759147876,2920.42851009468,2925.58823383406,2929.90497031369,2933.45154589302,2936.29542135297,2938.49881163623,2940.11887780928,2941.20797340969,2941.81392715276,2941.98034656452,2941.74693000293,2941.14977735677,2940.22165702419,2938.99243349095,2937.48913435847,2926.64749109649,2911.83032075577,2894.53177875655,2875.71422680306,2856.01349637061,2835.85978861314,2815.54994745474,2795.2920977907,2775.23352308412,2755.4788420273,2736.10207448163,2717.15487572205,2698.67234218191,2680.67695522035,2663.18187211747,2646.19303715064,2629.71070814893,2613.7311145386,2598.24722701996,2583.24964528561,2568.72710902158,2554.66717041732,2541.05649080351,2527.8810922142,2515.1267345364,2502.77902718793,2490.82360177152
9,1146.33744754347,1235.03288945398,1746.03993821654,2152.32730701728,2444.22131114003,2649.31332112417,2787.41716885257,2874.12999660902,2886.52083927176,2897.50516940415,2907.18293701783,2915.65080022533,2923.00170219559,2929.32416289326,2934.70201743406,2939.21410340038,2942.93410518932,2945.93051422478,2948.26669026083,2950.00100529136,2951.18705065481,2951.87388891554,2952.10633440615,2951.9252478709,2951.36783673649,2950.46791181347,2949.25632164353,2947.76100323104,2936.84185136646,2921.80776424735,2904.20750171753,2885.03856905039,2864.95979833999,2844.41659408383,2823.71600975782,2803.07306641612,2782.63968138011,2762.52352716941,2742.80055129914,2723.5235232014,2704.72805953019,2686.43673261219,2668.66247970688,2651.41080676883,2634.68137489571,2618.46972444004,2602.76807438162,2587.56621419856,2572.85218129008,2558.6126558146,2544.8335448862,2531.50018025581,2518.59760170516,2506.11075499934,2494.02464627915
