p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1.27770684450596,1.32342380198006,1.27253998226393,1.24321205073479,1.22531030236583,1.2139780712164,1.20659907000227,1.20168736465585,1.2009136314887,1.2001956340128,1.19952855330007,1.1989080308401,1.19833014190186,1.19779134563702,1.19728845015942,1.19681857754258,1.19637913152394,1.19596776798801,1.19558236820314,1.19522101471191,1.19488196972427,1.19456365583211,1.19426463884768,1.19398361256762,1.193719385256,1.19347086768619,1.19323706254469,1.1930170550402,1.19209676943829,1.19141944860525,1.19092729162509,1.19057922154518,1.19034514057666,1.19020240550689,1.19013361513508,1.19012514610037,1.19016616647391,1.19024794995419,1.19036338659196,1.19050662920636,1.19067282950208,1.19085793922864,1.191058559461,1.19127182221574,1.19149529764966,1.19172692046839,1.1919649307058,1.19220782550711,1.19245431975837,1.19270331360126,1.19295386538594,1.19320516903603,1.19345653500476,1.19370737516281,1.19395718503146
1.01325,1.27759961644165,1.32340965473773,1.27253964617422,1.24320780375763,1.22529712873641,1.21395510761439,1.20656800639771,1.20165063925146,1.20087606038183,1.20015730312763,1.19948954325272,1.19886841666047,1.19828999310446,1.1977507263014,1.19724741913723,1.1967771887286,1.19633743416588,1.19592580701556,1.19554018456142,1.19517864568907,1.19483944926608,1.19452101483908,1.19422190545215,1.19394081238953,1.19367654163701,1.19342800190867,1.19319419401776,1.19297420148161,1.19205420752212,1.19137744251192,1.19088601312374,1.19053878279059,1.19030561175825,1.19016383638999,1.19009602927454,1.19008855535267,1.19013057233724,1.19021334611079,1.1903297608996,1.19047396499674,1.19064110669637,1.19082713518628,1.19102864965607,1.19124278077584,1.19146709780052,1.19169953492286,1.19193833187543,1.19218198584063,1.19242921188959,1.19267891053237,1.19293014060769,1.19318209662946,1.19343408971994,1.19368553248261,1.19393592120072
2,1.27181802162503,1.32207531278013,1.27252478784783,1.24301821079084,1.22468645858462,1.21285389014557,1.2050398322522,1.19981102364947,1.19898886976652,1.19822711638574,1.19752070556146,1.19686502367422,1.1962558707708,1.19568942978634,1.19516223820781,1.19467114929867,1.19421331709173,1.19378615983814,1.19338733844927,1.19301472870202,1.19266640044988,1.19234060463395,1.19203574802071,1.19175037767422,1.1914831731093,1.19123292346789,1.1909985223972,1.19077895610321,1.18987356065399,1.18922654950526,1.18877468105847,1.18847336187966,1.18829015167631,1.18820080593441,1.18818679082994,1.1882336655385,1.18832999679914,1.18846660922763,1.18863605821104,1.18883223958994,1.18905011812403,1.18928549785951,1.18953489737068,1.18979537525924,1.19006446120597,1.19034007042512,1.19062044038717,1.19090407940198,1.1911897244743,1.19147630648529,1.19176292122851,1.19204880516953,1.19233331505036,1.19261591064933,1.19289614014901
3,1.26813057368427,1.32047121562343,1.2725177800084,1.24292942248041,1.22438363517963,1.21227713613286,1.20420470059752,1.19877372274461,1.19791949876557,1.19712846668021,1.19639548905247,1.19571584507347,1.19508520744219,1.19449961848359,1.19395546307114,1.19344945323936,1.19297858943002,1.19254014500479,1.19213163902028,1.19175082216622,1.19139563819736,1.19106422353831,1.1907548790141,1.19046605579698,1.19019634203362,1.18994444540737,1.18970918222107,1.18948947242772,1.18859214041442,1.18796383982781,1.18753750004931,1.18726606432685,1.18711545174919,1.18706029907153,1.1870812873518,1.18716341302641,1.18729483285396,1.18746607065594,1.18766945851019,1.18789873393193,1.18814874512898,1.1884152211998,1.18869461387851,1.18898395832956,1.18928077106496,1.18958296817278,1.18988879893513,1.19019679197827,1.19050571112614,1.19081451893474,1.19112234637406,1.19142846747825,1.19173227804665,1.19203327767303,1.19233105452849
4,1.26539816449524,1.31886931721869,1.27251335677737,1.24287556930292,1.22419406398367,1.21190382298664,1.20364889558686,1.19806810875408,1.1971894682072,1.19637597621007,1.19562247535406,1.19492419884413,1.19427675267023,1.19367609696701,1.19311852627024,1.19260064740531,1.19211936348859,1.19167184450694,1.19125551100998,1.19086801209584,1.19050720551853,1.1901711396402,1.18985803295998,1.18956626417932,1.18929434645193,1.18904092670418,1.1888047649637,1.18858472530836,1.18769269615885,1.18707809750554,1.18667080877948,1.18642179957607,1.18629568269165,1.18626620388653,1.18631342358594,1.18642189644594,1.18657945110239,1.18677639506175,1.18700488731259,1.18725854623322,1.18753213566512,1.1878213340472,1.18812256035937,1.18843283126939,1.18874966331559,1.18907098122491,1.18939505087495,1.18972042347064,1.19004588979552,1.19037044244795,1.19069324447555,1.19101360318555,1.19133094817835,1.19164481285237,1.19195481878038
5,1.26320984417069,1.31735507865967,1.27251010577252,1.24283840168711,1.22406044912239,1.2116344101718,1.20323942675197,1.19753940060057,1.19664090743961,1.1958090421625,1.19503865619251,1.19432496814978,1.19366354973607,1.19305030991233,1.1924814837141,1.19195360851279,1.19146351009301,1.19100828267504,1.19058526967041,1.19019204440536,1.18982639154296,1.1894862890024,1.18916989094093,1.18887551179144,1.18860161145136,1.18834678164624,1.18810973530105,1.18788928761296,1.18700106752686,1.18639733687562,1.18600538556159,1.18577450804056,1.18566820924808,1.18565948220083,1.1857278654266,1.18585754460751,1.18603609439526,1.18625361883153,1.18650214873066,1.18677520009913,1.1870674883251,1.1873746470248,1.18769307269019,1.18801977803946,1.18835228425648,1.18868852506989,1.18902678650187,1.18936564271963,1.18970391058874,1.19004061084041,1.1903749358586,1.1907062228194,1.19103393121101,1.19135762394123,1.19167695141683
6,1.26137607989257,1.31594765076213,1.27250748089243,1.24281073519765,1.22395946741562,1.21142707788655,1.20291913934723,1.19712007231115,1.19620479607586,1.19535731789767,1.19457251359197,1.19384560532163,1.19317214896253,1.19254802677097,1.19196942874769,1.19143284255916,1.19093503724185,1.19047304671437,1.19004415252709,1.18964586628961,1.18927591216345,1.18893220975638,1.18861285768059,1.18831611796347,1.18804040143264,1.18778425414139,1.18754634485577,1.18732545145048,1.18644011521804,1.18584541989446,1.18546637566708,1.18525080854825,1.18516125071677,1.18517003863711,1.18525625510155,1.18540376693267,1.18559992257189,1.185834665827,1.1860999153069,1.18638911933947,1.18669692935165,1.18701895623788,1.18735158311184,1.187691821256,1.18803718649799,1.18838565184015,1.18873550868239,1.18908535545655,1.18943403397281,1.18978059130632,1.19012424681024,1.19046436480708,1.19080043163355,1.19113203645443,1.19145885511859
7,1.25979300656592,1.31464409674855,1.27250522056692,1.24278908934008,1.22387953884579,1.21126057694188,1.20265844355122,1.19677473468797,1.19584489735878,1.19498381223124,1.19418638836769,1.19344786265285,1.19276378889092,1.19213003092356,1.19154275407445,1.19099840689409,1.19049371439157,1.19002566210724,1.18959148078858,1.18918863038348,1.18881478376004,1.18846781052152,1.18814576122182,1.18784685221606,1.18756945131157,1.18731206432462,1.18707332056151,1.18685196921189,1.18596888960913,1.18538193571747,1.18501407514444,1.18481181122187,1.18473680342141,1.18476079965523,1.18486247773508,1.18502542172347,1.18523678130801,1.18548636101399,1.18576598335035,1.18606903252287,1.18639011981662,1.18672483418818,1.18706955047875,1.1874212859949,1.18777757118159,1.18813636388834,1.18849600904948,1.18885511343218,1.18921254416638,1.18956737300678,1.18991884435348,1.19026634739716,1.19060939288356,1.19094759366966,1.19128064840895
8,1.25839722286483,1.31343498134943,1.27250318173893,1.24277154394002,1.22381415467429,1.21112272745999,1.20244013113628,1.19648258856974,1.19553988011963,1.19466671898947,1.19385805260295,1.19310913873102,1.19241554201714,1.19177311582109,1.19117800317373,1.19062663090151,1.19011568743482,1.18964211888809,1.18920311354961,1.1887960873902,1.18841866899989,1.18806868434155,1.18774414165921,1.18744321681351,1.1871642392478,1.18690567683442,1.18666613078545,1.18644431353686,1.18556304089968,1.18498286723796,1.18462490457688,1.18443443359051,1.18437232878707,1.18440979977892,1.18452515760521,1.18470173168814,1.18492649408111,1.18518912609783,1.18548136644393,1.18579654507619,1.18612923946645,1.18647502216824,1.18683026343954,1.18719198106857,1.18755772371704,1.18792547366914,1.18829357317359,1.18866066382552,1.18902563119154,1.1893875638051,1.18974573985791,1.19009957211923,1.19044859040846,1.1907924291927,1.19113080781206
9,1.2571470432823,1.31230977337182,1.27250127871022,1.24275694072135,1.22375933042204,1.21100595548722,1.20225337350917,1.19623040878218,1.19527616242566,1.19439213704268,1.19357332130187,1.19281499988076,1.19211274803213,1.19146242170271,1.19086015382086,1.19030234670242,1.18978566346598,1.18930701776058,1.18886356195322,1.18845267409338,1.18807194404478,1.18771915918191,1.18739228986974,1.18708947587545,1.18680901186072,1.18654933290728,1.18630900970854,1.18608672606678,1.18520692183192,1.18463278812134,1.18428371122375,1.18410386367486,1.18405337283908,1.18410296392762,1.18423060975726,1.18441940756075,1.18465616859102,1.18493046379164,1.18523395769858,1.18555993245037,1.18590293870971,1.18625853595633,1.18662309262748,1.18699363273006,1.1873677171107,1.18774334421066,1.18811887524449,1.18849297122791,1.18886454324654,1.18923270573856,1.18959674962633,1.18995610849753,1.19031033622103,1.19065908714844,1.19100209956563
