p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,468.059517723021,489.631467414645,433.309781858282,391.916927365923,364.103402363584,345.772191153674,342.89454915512,340.215724710805,337.714281425759,335.371733869432,333.17221064489,331.102072149178,329.149580150738,327.304578030064,325.558233562305,323.902822580064,322.331551171044,320.8384101731,319.418056131958,318.065711677778,316.777092949075,315.548331721532,314.375927422902,313.256699012643,312.187745953541,311.166415133986,310.190274921119,309.257084540831,308.364775963808,307.511443499272,306.695318702865,305.914759506537,305.168237999981,304.454329604792,303.771705115924,303.119115194637,300.268147191019,298.018420853789,296.274133165628,294.956355021614,293.99560853112,293.327701039343,292.892542990916,292.635253261471,292.508184513049,292.472429471019,292.498063900349,292.563221775543,292.65257115827,292.755685687265,292.865647141676,292.977957011034,293.08975203888,293.199258364083,293.305423450301,293.407665027972,293.505707343894,293.599476131635,293.68901638308,293.774448692628,293.855949329119,293.933698791394,294.00790290909
1.01325,467.969373136101,489.58072530824,433.309297195225,391.909059256222,364.081073872895,345.739386339106,342.860568340624,340.180834812158,337.678704504163,335.335661673858,333.135805003746,331.065469002123,329.112893719878,327.26790442574,325.521653920835,323.866405694953,322.295355666901,320.802486287311,319.382447169029,318.030455179598,316.742221706185,315.513874520464,314.341909705754,313.223143406754,312.154672706584,311.133842471788,310.158219363641,309.225561112464,308.333798356353,307.481024318703,306.665469565649,305.885491146998,305.13956035588,304.426251884222,303.744235859196,303.092262276177,300.244472924971,297.998029281373,296.25703723958,294.942455163747,293.984678225815,293.319394498795,292.886432079871,292.630882819045,292.505128020554,292.470325752197,292.496630401873,292.562249998142,292.651913414212,292.755240087313,292.865344492986,292.977750701628,293.089610762376,293.199161092802,293.305356031314,293.407617915314,293.505674093084,293.599452348936,293.688999101275,293.774435854028,293.855939616449,293.933691257054,294.007896911625
2,462.994966391891,486.237027632934,433.287667164432,391.548364448239,362.993747496599,344.075006486775,341.128143210846,338.394728502979,335.851526681762,333.478256301189,331.257380741871,329.173805015566,327.214544803967,325.368396981021,323.625659003461,321.977886487295,320.417688619056,318.938571192655,317.534776204159,316.201193874914,314.933255503869,313.726859791313,312.578309081457,311.484256192304,310.441659821644,309.4477469241,308.499980778442,307.596033721573,306.733763728528,305.911194178223,305.126496271442,304.377973668087,303.664048990653,302.983253808744,302.334210269929,301.715633622977,299.039811082256,296.969949334363,295.404467173693,294.257663461883,293.452972867177,292.920218954099,292.595865819439,292.424784553282,292.36179424337,292.371966372943,292.429656447256,292.516803460859,292.621080500634,292.73428036047,292.851047080314,292.967953267665,293.082858712504,293.194477110711,293.302079249151,293.405300230833,293.504016422719,293.5982466184,293.688105414473,293.773761875238,293.85541462385,293.933275970034,294.007560102236
3,459.715943627981,483.775014064177,433.277274174787,391.372555462591,362.410169411735,343.116583462225,340.121697501414,337.349587185397,334.776104905985,332.379929749794,330.142503455215,328.047797072651,326.081994571624,324.233185349908,322.491076658567,320.846727054505,319.29233704841,317.82106963484,316.426888437145,315.104445233753,313.848975108133,312.656212483714,311.522324069278,310.44384060872,309.41762428379,308.440817057958,307.510808925007,306.62520849449,305.781817792223,304.978610544109,304.213713353364,303.485389293101,302.792023525722,302.132110632139,301.504243391034,300.907102795163,298.341260499449,296.383095530752,294.926639636377,293.881497198133,293.166802035709,292.709415526572,292.444840372879,292.318919466066,292.288709948204,292.321978679416,292.39561576021,292.493637550478,292.605287994688,292.72347395689,292.843615531287,292.962810741508,293.079273376251,293.1919544793,293.300284424113,293.404006130227,293.503067451435,293.597537169577,293.6875632608,293.77333755633,293.855074226466,293.932994945586,294.007324145413
4,457.238924000182,481.875599392487,433.270654612741,391.263556309352,362.026665296033,342.455398794786,339.422842135229,336.619938892709,334.022014561284,331.607057090796,329.355777446102,327.251447201133,325.279627708047,323.427869758405,321.685409288109,320.042919910433,318.492278749439,317.026374319727,315.638948969545,314.324467528671,313.078008918288,311.895176621254,310.77202452048,309.704995216363,308.69086847195,307.7267202374,306.809876411745,305.937896531984,305.10853701475,304.319730870259,303.569567895816,302.856277442907,302.178213341314,301.533840641269,300.921723896716,300.340516763306,297.856151076253,295.979989867448,294.602479412395,293.629640963544,292.977636404499,292.571634150641,292.347003727456,292.250751196228,292.241802178649,292.289920053736,292.373757654277,292.478721501922,292.595077333545,292.716450523595,292.838754381066,292.959420791299,293.076887798532,293.190257080678,293.299060449694,293.403109509174,293.502397904251,293.597026381075,293.687164371862,293.773018375254,293.854812598379,293.932774420618,294.007135288095
5,455.228493083313,480.312130982052,433.265800312276,391.187212444322,361.746859905806,341.954664272888,338.890778793455,336.061979454476,333.443279294406,331.012175176637,328.748820978202,326.635937012023,324.658577638321,322.803842473652,321.060592284477,319.419178486776,317.871194535391,316.409307812288,315.027071510251,313.718792627952,312.479418065044,311.304440462418,310.189820202089,309.13192056358,308.127453573554,307.173434551997,306.267143746835,305.406096022051,304.588003781307,303.810767357608,303.072444593288,302.371235433391,301.705466269387,301.073576194362,300.474104878496,299.905681833339,297.486491649879,295.675415731997,294.359865897924,293.442975358062,292.838719352145,292.47123967572,292.276131474189,292.201553226607,292.208004711464,292.266820089228,292.357984685801,292.467930003083,292.587662133229,292.711328160544,292.835189677057,292.956918501217,293.07511290817,293.188982174323,293.29812892327,293.402419562346,293.501875143822,293.59662125139,293.686842802054,293.772756897016,293.854593695976,293.932589707961,294.006975332069
6,453.526709546822,478.97471861633,433.26192742276,391.129763611721,361.529712656988,341.554057958441,338.463200529452,335.61189580459,332.97498270916,330.529597682095,328.255453276761,326.134816412579,324.1523177492,322.294670914701,320.550409605759,318.909599657899,317.363613633665,315.90490513828,314.526867868165,313.223670797736,311.990145227709,310.821686633437,309.714173336214,308.663898908113,307.667515756551,306.72198780819,305.82455061113,304.972677502151,304.164053073187,303.396538881013,302.668166797949,301.977110396558,301.321671390599,300.700265471923,300.1114098385,299.553712166514,297.18904827712,295.432056913972,294.167496455113,293.296110682952,292.73019772629,292.393269856856,292.221321125756,292.163599572147,292.181955212582,292.249007987469,292.345803887899,292.459576102793,292.581903862005,292.707334289999,292.832396812031,292.95494653371,293.073704339212,293.187961952801,293.297377951297,293.401855862529,293.501442833122,293.596281907703,293.686569956212,293.772532274529,293.854404759276,293.932427588603,294.00683376808
7,452.045670390524,477.80104084033,433.25866193312,391.084439802193,361.354129009115,341.221718556029,338.107086751238,335.235793528255,332.582581489878,330.124321913583,327.840369073733,325.712607462292,323.725297963671,321.864826772853,320.119436952201,318.478940573212,316.934497945491,315.478401232291,314.103881037949,312.804988232766,311.576450544253,310.413576299484,309.312170142265,308.268462987052,307.279053581185,306.340859523714,305.451075996573,304.607140801342,303.806704569673,303.047607559259,302.327848107934,301.645578306924,300.999077282778,300.386739274581,299.807060858931,299.25862967497,296.940955589694,295.230284554637,294.009027880483,293.175900605358,292.641881624996,292.330107990537,292.177062582417,292.13300628158,292.160967138895,292.234647835928,292.335968906503,292.452815835706,292.577231013642,292.70407957725,292.8301118386,292.95332461091,293.07253846317,293.187111207465,293.296746311612,293.401377167938,293.501071894197,293.595987605471,293.686330814507,293.772333434999,293.854235997488,293.932281654881,294.006704096215
8,450.731092634451,476.752041705645,433.255805621242,391.047450540021,361.207923882891,340.938779492152,337.802848475302,334.913515361484,332.24549974379,329.77547261763,327.482492553827,325.34811566946,323.356279295708,321.493078328312,319.746488948376,318.106105662555,316.562898458597,315.108992504217,313.737494172102,312.442334154776,311.218148669534,310.06016660658,308.964125388429,307.926198704854,306.942936239953,306.011213178121,305.128187688602,304.291264934477,303.498066434141,302.746403832158,302.034258594921,301.359753108578,300.72114813088,300.116817999821,299.545240152388,299.004983632693,296.728663397657,295.05852896887,293.874884572693,293.07469555703,292.567883950992,292.27738519072,292.140210800032,292.107565316962,292.14351694122,292.222699648326,292.327773763545,292.447170809092,292.573318409602,292.701346390801,292.828184388009,292.951949785235,293.071544475478,293.186380975993,293.29619994404,293.400959569904,293.500745370979,293.595726162308,293.68611648252,293.772153758307,293.854082381314,293.932147990804,294.006586132966
9,449.546931079637,475.801528207711,433.253231735378,391.016488398547,361.083463666909,340.693173695658,337.537917745353,334.632108303685,331.950499885209,329.469604442492,327.168237259422,325.027668751391,323.03154988667,321.165709700715,319.417888109038,317.777475269702,316.235264908696,314.78324025883,313.414381673321,312.122519160424,310.902196818328,309.748572901289,308.657322764585,307.624567213008,306.646810542609,305.72088865516,304.843925395873,304.013295616486,303.226593756156,302.481606967177,301.77629200191,301.10875742068,300.47723720626,299.880089546427,299.315773961271,298.782842094314,296.543492320225,294.90941089819,293.758989311803,292.987671250212,292.504514086206,292.232375376272,292.108813600667,292.085910411628,292.128663645394,292.212521596008,292.320782656067,292.442345499198,292.569965399925,292.698996757602,292.826521136791,292.950758024122,293.070678222992,293.185740632449,293.295717464349,293.400587998654,293.500452518946,293.595489809268,293.685921245698,293.771988955194,293.853940621924,293.932024011057,294.006476253893
