p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1072.67097700335,1158.55034690336,1859.5255819517,2360.18272605728,2652.46856228449,2775.26026666345,2786.48136728468,2794.76284310981,2800.5922066859,2804.37386733886,2806.43966659527,2807.06046287117,2806.45705899442,2804.80964917977,2802.26569797886,2798.94633426228,2794.95147460467,2790.36390187356,2785.25250493205,2779.6748358002,2773.6792311976,2767.30634959574,2760.59055687796,2753.56097326718,2746.24233645523,2738.65570586898,2730.81905306941,2722.74769613044,2714.45474035617,2705.95140491715,2697.24728220827,2688.35058072391,2679.26832515542,2670.00652794086,2660.57036287799,2650.96419074809,2600.49985657219,2546.19265921266,2488.27392719662,2427.02833120058,2362.89979309553,2296.53901296811,2228.77854815686,2160.54202087066,2092.72511159561,2026.09340327157,1961.22866386638,1898.52327168057,1838.20610274517,1780.37990400486,1725.0582706006,1672.1956135528,1621.70963919152,1573.49709696613,1527.44420053389,1483.43375269729,1441.34935768689,1401.07792644385,1362.51156758328,1325.54810385542,1290.09152664531,1256.05193365446,1223.34540609339
1.01325,1073.29408085257,1158.92442813646,1859.53843614441,2360.40802079682,2653.15354049889,2776.30609535668,2787.56958081578,2795.88489784536,2801.7406947353,2805.54248939603,2807.62310421991,2808.25423840724,2807.65739996163,2806.01336695688,2803.47008430842,2800.14907512969,2796.15057959068,2791.55764663477,2786.43938452376,2780.85352664444,2774.84856086788,2768.46527130637,2761.73812925617,2754.69634367515,2747.36472731642,2739.76440343469,2731.91339832438,2723.82707686116,2715.51858499842,2706.99917763634,2698.27847860746,2689.36472447251,2680.26496530369,2670.98523682575,2661.53073477874,2651.90584003663,2601.34280032836,2546.93029380866,2488.90271165447,2427.54866323101,2363.31672514812,2296.86225548297,2229.02139501886,2160.71951575365,2092.85200211943,2026.18265155312,1961.29075106209,1898.56617136654,1838.23563040893,1780.40018528231,1725.07218398697,1672.20514890324,1621.71616615553,1573.50155688942,1527.44724076327,1483.43581842832,1441.35075491981,1401.07886682404,1362.51219614367,1325.54852037961,1290.0917998093,1256.05210951729,1223.34551693127
2,1107.00794550042,1184.88198505143,1860.10317436987,2370.73678161607,2686.57463520265,2829.54150091452,2843.23766171132,2853.51213559124,2860.91167464057,2865.90015752001,2868.8640903526,2870.12214329719,2869.93574784196,2868.5190197662,2866.04748632202,2862.6653891597,2858.49163328554,2853.62471159853,2848.14638818823,2842.12493657074,2835.61754553535,2828.67230670861,2821.32980421103,2813.62439795379,2805.58526461315,2797.23724646257,2788.601547365,2779.69630674989,2770.53707580974,2761.13721503238,2751.50822820338,2741.66004490695,2731.60126112398,2721.33936275459,2710.88083462876,2700.23142095602,2644.28190604149,2584.16388360777,2520.30445834454,2453.2274545222,2383.64000850847,2312.43237954973,2240.59803350144,2169.11130638032,2098.81650119083,2030.36298963551,1964.19399146852,1900.57155260354,1839.6166470161,1781.34966902357,1725.72428224942,1672.65253026534,1622.0227060457,1573.7110959496,1527.59009290221,1483.53289965278,1441.41630760992,1401.12289608457,1362.54153026184,1325.56785539215,1290.10432440665,1256.06009590472,1223.35047202282
3,1128.59022442366,1204.32735290258,1860.36236153521,2375.77005506044,2704.56418040456,2860.35721521382,2875.74771190498,2887.40736132496,2895.91329662358,2901.76406184507,2905.38031330365,2907.11188349757,2907.24734050582,2906.02384556664,2903.63623897804,2900.24474231663,2895.98157379038,2890.9560661815,2885.25906006598,2878.96630596095,2872.14122058233,2864.83709844859,2857.09890479658,2848.96466052056,2840.46668812555,2831.63250899197,2822.48563628231,2813.04621746422,2803.33156717315,2793.35661189375,2783.13426346087,2772.67573488012,2761.99080922208,2751.08807018309,2739.97510119424,2728.65865860057,2669.22067059291,2605.45622033096,2537.94245079081,2467.3712146193,2394.61358235513,2320.68495647952,2246.63816526945,2173.43763981241,2101.86680768238,2032.49111887352,1965.66923930863,1901.59053241459,1840.31918222329,1781.83348340651,1726.0571164403,1672.88120913715,1622.17952006492,1573.81834116332,1527.66316665369,1483.58243076699,1441.44968202242,1401.14519763954,1362.55627097047,1325.57745684806,1290.1104521061,1256.0638567552,1223.352690159
4,1144.60442685991,1219.06719292971,1860.51861007367,2378.88866331404,2716.40581221978,2881.68715840126,2898.39847176941,2911.15001492804,2920.53660819501,2927.0801255587,2931.2257877558,2933.34667750512,2933.75213163975,2932.69725080628,2930.39194882776,2927.0091512111,2922.69149285329,2917.5570196131,2911.70376307173,2905.21344299094,2898.15444647292,2890.58422438359,2882.5512222787,2874.09644102408,2865.2547032006,2856.05570103522,2846.52478025618,2836.68373209207,2826.55130777376,2816.14371701148,2805.47503300541,2794.55753475859,2783.40199836262,2772.01794656455,2760.41386405096,2748.59738439608,2686.55567125078,2620.09791421572,2549.924355862,2476.85664354557,2401.88132733034,2326.090074446,2250.5590267811,2176.22805040146,2103.82633180702,2033.85548477528,1966.61451436404,1902.24369909124,1840.76987460363,1782.14414210753,1726.27104198973,1673.02828360538,1622.28040364884,1573.88731468549,1527.71011581838,1483.61419393243,1441.4710156617,1401.15938258051,1362.56557624445,1325.58344838386,1290.11420758231,1256.06616402336,1223.35392513701
5,1157.43838820844,1231.04196319625,1860.626591016,2381.07129741748,2725.05487825354,2897.88092681084,2915.68671723087,2929.35130697759,2939.48008432947,2946.61164452985,2951.21007552569,2953.66698971137,2954.30863249416,2953.40484560432,2951.17825302359,2947.8123319146,2943.45849123961,2938.24213784893,2932.26738385659,2925.62100186537,2918.37559043086,2910.59212529716,2902.32201755397,2893.60877824778,2884.48936963998,2874.99530700463,2865.15356156737,2854.98732199714,2844.51654047854,2833.7585543006,2822.72844510149,2811.43942182098,2799.90313076263,2788.12992099586,2776.12907299859,2763.90899646089,2699.77371118234,2631.16907057145,2558.90057323008,2483.89495316366,2407.22550526544,2330.03381916291,2253.40264859349,2178.24346026658,2105.23818826666,2034.8374410387,1967.29471578067,1902.71388118928,1841.09447648241,1782.36807247632,1726.42531910744,1673.13437915832,1622.35316129238,1573.9370273669,1527.74398003978,1483.6370085359,1441.48628651891,1401.16948342872,1362.57214999048,1325.58762947586,1290.11683936345,1256.06764831529,1223.35470388661
6,1168.19729473613,1241.17923909982,1860.70735696213,2382.71209910277,2731.77251035561,2910.8616426668,2929.60763579399,2944.06270973175,2954.83833200324,2962.48547820417,2967.48328691307,2970.23869917409,2971.09226669034,2970.32644281109,2968.17476680624,2964.82987883701,2960.45097746653,2955.1697712054,2949.09573102603,2942.32005807428,2934.91904548441,2926.95676385802,2918.48723032201,2909.55616409602,2900.20241212625,2890.45911169385,2880.35464316514,2869.91341497153,2859.15653381293,2848.10226701289,2836.76661894951,2825.16363306148,2813.30573898568,2801.20403160835,2788.86851112422,2776.30829071256,2710.41449383395,2640.02025186029,2566.02296665476,2489.4373125342,2411.40432301593,2333.09948666658,2255.6033783338,2179.79864619591,2106.32584513706,2035.59340237109,1967.81835713936,1903.0759667104,1841.34454741382,1782.54068681166,1726.5442810061,1673.21619556229,1622.40925936986,1573.97533142273,1527.76997786383,1483.65452974248,1441.4979770546,1401.17717888096,1362.57712150233,1325.59075513511,1290.11871839287,1256.06869953565,1223.35521525233
7,1177.48809310101,1249.9992690061,1860.77113590563,2384.00534288125,2737.2075778153,2921.64791940574,2941.22109927777,2956.37648511331,2967.72851967817,2975.83750542908,2981.19488230397,2984.22059042147,2985.26752750799,2984.62928357788,2982.54902714445,2979.22752470725,2974.83082618061,2969.49646979804,2963.33858452348,2956.45238055432,2948.91746674128,2940.80069335973,2932.15842003895,2923.03835268366,2913.48103576974,2903.52106952085,2893.18810737949,2882.50767773076,2871.5018646764,2860.18989697347,2848.58853623288,2836.71261151016,2824.57527006217,2812.18829126399,2799.56233665656,2786.70716584114,2719.29317704845,2647.36222768914,2571.89350975956,2493.9768106191,2414.8075100935,2335.58455789959,2257.3811497177,2181.05215977267,2107.20147292781,2036.20172656827,1968.23975133664,1903.36743960245,1841.5459674731,1782.67970849764,1726.64013242734,1673.2821152655,1622.45444174074,1574.00615825891,1527.79087318654,1483.66858211959,1441.50732266451,1401.18330047097,1362.581046302,1325.59319294067,1290.12015382305,1256.06947104942,1223.35561738231
8,1185.68170989267,1257.82490932363,1860.82343115835,2385.05959335631,2741.73534297578,2930.84351610476,2951.15702428171,2966.9430796213,2978.81695445065,2987.34599320283,2993.03185717934,2996.30570494772,2997.53128742453,2997.01220504032,2995.00014209909,2991.7033299401,2987.29403848789,2981.91495098299,2975.68460215056,2968.70177192412,2961.04911085088,2952.79600609485,2944.00095675325,2934.71348470563,2924.97568760544,2914.82350579812,2904.28776057555,2893.39500940467,2882.16825430355,2870.62753200867,2858.79043165425,2846.67241835164,2834.28732940858,2821.64757985361,2808.76444581825,2795.64828766262,2726.89292262596,2653.61426952627,2576.86518113708,2497.80064711851,2417.66049613856,2337.65979853313,2258.86168463316,2182.09427516135,2107.92877357745,2036.70685159394,1968.5896849424,1903.60954874842,1841.71332746486,1782.79527532201,1726.71980385786,1673.33690106536,1622.49197700533,1574.03174662837,1527.8081943733,1483.68020599327,1441.51502816235,1401.18832291783,1362.58424179709,1325.5951531563,1290.12128287709,1256.07005099378,1223.35583796204
9,1193.02220479801,1264.87107776357,1860.86757421248,2385.94100634086,2745.59109843736,2938.83531798959,2959.81997857621,2976.1810183345,2988.53297871203,2997.44845481858,3003.43771365192,3006.94172209534,3008.33394693855,3007.92693090179,3005.98022614031,3002.70881786479,2998.29066289816,2992.87327572904,2986.57916837432,2979.51046378204,2971.7525737631,2963.37724708422,2954.44496016608,2945.00691447952,2935.10664545346,2924.78133526683,2914.06288873225,2902.97881943336,2891.55298354706,2879.80619101027,2867.75671752965,2855.42076016424,2842.8127050907,2829.94558853188,2816.83126260278,2803.48065055764,2733.52341024184,2659.04393880425,2581.16203234571,2501.09009418268,2420.10474468702,2339.43197618163,2260.12311720553,2182.9809198576,2108.54713389074,2037.13622525338,1968.88717669095,1903.81542281453,1841.85567787191,1782.89359233331,1726.78758795589,1673.38350634383,1622.52389471308,1574.0534889246,1527.82289410149,1483.69004536382,1441.52152963845,1401.19253968946,1362.58690393453,1325.59676531078,1290.12218982769,1256.07049323396,1223.35597730437
