p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_4_6,of_4_7,of_4_8,of_4_9,of_5,of_5_1,of_5_2,of_5_3,of_5_4,of_5_5,of_5_6,of_5_7,of_5_8,of_5_9,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1.27104728136487,1.33639036984787,1.27979443987796,1.24735369061184,1.22899393425023,1.21911126327751,1.21777247772008,1.21658094267726,1.21551606098216,1.21456065577614,1.21370049005559,1.21292376748076,1.21222070730056,1.21158315875141,1.21100429508707,1.21047836425772,1.21000048932369,1.20956650930581,1.20917285230559,1.2088164312582,1.20849457373871,1.20820494018523,1.20794548125258,1.20771439194758,1.20751007607553,1.20733111688891,1.20717625473622,1.20704436090024,1.20693442279312,1.20684553656656,1.20677688619303,1.20672773555534,1.20669741925043,1.2066853345885,1.20669093593118,1.20671372297042,1.20707087302053,1.2078032862061,1.20887914354274,1.21027134265778,1.21195127963727,1.21388500813606,1.21603240290659,1.21834936597702,1.22079186282527,1.22331993952471,1.2259002756175,1.22850693821877,1.23112082830078,1.23372848192936,1.23632076665925,1.23889173379988,1.24143771390721,1.24395664519018,1.24644759885354,1.2489104333739,1.25134556252451,1.25375380721271,1.25613625317572,1.25849419203782,1.26082907702239,1.2631424498473,1.26543596231582
1.01325,1.27094690943626,1.33631960863662,1.27979374634352,1.24734425722306,1.22896839528891,1.21907363670509,1.21773340799866,1.21654071322285,1.21547490896741,1.21451878570189,1.21365807486974,1.21288095303745,1.21217761687703,1.21153989691212,1.21096095102906,1.21043501458507,1.20995720032099,1.20952333878855,1.20912985112184,1.20877364448351,1.20845204173213,1.20816269932979,1.20790356463398,1.20767282989178,1.20746889659026,1.20729034602683,1.20713591691294,1.20700447911219,1.20689501878741,1.20680663108179,1.20673849906167,1.20668988581264,1.20666012522064,1.20664861395146,1.20665480578016,1.20667819981927,1.20703861381481,1.20777461830569,1.20885429812814,1.21025041461589,1.21193418940087,1.21387148793206,1.21602202521905,1.21834160704819,1.22078618177506,1.22331584197188,1.22589734874884,1.22850485898524,1.23111935492357,1.23372743856697,1.23632002758154,1.23889120990094,1.24143734226063,1.24395638137831,1.24644741147477,1.24891030019924,1.25134546782576,1.25375373974272,1.25613620499731,1.25849415745881,1.26082905210477,1.26314243178189,1.26543594907571
2,1.26551480111374,1.33148404559045,1.27976296297579,1.24691250861595,1.22772964456687,1.21717503223752,1.21575282527189,1.21449341541022,1.21337428951344,1.21237636532955,1.21148365231253,1.21068283035252,1.20996282417129,1.20931440304513,1.20872984789352,1.20820267266446,1.20772739460089,1.20729936494436,1.20691459616129,1.20656966977636,1.20626162881011,1.20598790416178,1.20574625279499,1.20553470739936,1.20535153516167,1.20519520379295,1.205064353358,1.20495777276553,1.20487438001837,1.20481320551085,1.20477337780653,1.20475411144342,1.20475469640314,1.20477449062748,1.20481290512647,1.20486940744238,1.20540737742437,1.20633734587714,1.20762118144116,1.20922335724841,1.21110525502478,1.21322305989322,1.21552915414048,1.21797590572452,1.22051979381117,1.22312424679012,1.22576061295773,1.2284076696451,1.23105037860154,1.23367848691624,1.23628526260014,1.23886649605752,1.24141975436867,1.24394385495285,1.24643847977267,1.24890391866259,1.25134090857076,1.25375046983486,1.25613385069433,1.25849245699869,1.26082781105009,1.26314152020456,1.26543527104695
3,1.26203432847746,1.32790128479556,1.27974839648969,1.24670257955434,1.22706875136284,1.21609082623151,1.21461221628036,1.21330627070166,1.21214950533745,1.21112173616003,1.21020589578613,1.20938768657299,1.20865517114921,1.20799838981506,1.20740901876897,1.20688006535069,1.20640563659566,1.20598073619126,1.20560109843557,1.2052630681384,1.20496349418693,1.20469964584728,1.2044691470371,1.2042699125155,1.20410011590385,1.2039581434332,1.20384256544597,1.20375211070067,1.20368564480854,1.20364215201458,1.20362071969707,1.2036205250863,1.20364082380226,1.20368093988985,1.20374025709175,1.20381821114945,1.20447062182598,1.20552396760479,1.20693511797499,1.20866248221464,1.21066105700133,1.21288163664399,1.21527342599209,1.21778821787704,1.22038401434775,1.22302690850863,1.22569117322713,1.22835822742124,1.23101518091226,1.23365340692987,1.23626736957486,1.23885371189064,1.24141060702861,1.24393729937276,1.2464337728494,1.24890053216345,1.25133846272164,1.25374869528712,1.25613255507541,1.2584915030495,1.26082710098067,1.26314098462081,1.26543486041844
4,1.25944948034332,1.32518744473224,1.27973927929477,1.2465726102082,1.22663593719293,1.21534665424671,1.21382441960939,1.21248210584162,1.21129566707293,1.21024418591403,1.20930982500212,1.20847755596526,1.20773479463957,1.20707102579206,1.206477443778,1.20594666749951,1.20547247405465,1.20504959317104,1.20467353787085,1.20434046738408,1.20404707645326,1.20379050584097,1.20356826975536,1.20337819680568,1.20321838159551,1.20308714690091,1.20298300282721,1.20290463153781,1.20285085590602,1.20282062223305,1.20281298373058,1.20282708637712,1.20286215671955,1.20291749127596,1.2029924472627,1.20308643442303,1.20382400473018,1.20496820795859,1.20647173730079,1.20828825698248,1.21036817677161,1.21265886302159,1.21510793511485,1.21766744106788,1.22029691460323,1.22296453189517,1.22564664821893,1.22832647135008,1.23099251765986,1.2336372111392,1.23625577524745,1.23884539695665,1.2414046323237,1.24393299693068,1.24643066634045,1.24889828202844,1.25133682454482,1.25374749517582,1.25613166859704,1.25849084125921,1.26082659996506,1.26314059647135,1.26543455966667
5,1.25737636025948,1.32298359961741,1.27973271093114,1.24648166996852,1.22632090624986,1.21478509638482,1.2132269214345,1.21185438814928,1.21064311661995,1.20957166762743,1.20862161654849,1.20777735860472,1.20702578368656,1.20635591171476,1.20575855520045,1.20522600256435,1.20475174742351,1.20433029689375,1.20395697541083,1.20362778576102,1.2033392925848,1.20308852805941,1.20287291536116,1.20269020632931,1.20253843045867,1.202415852938,1.20232093992704,1.20225233147129,1.20220880975775,1.20218929025152,1.20219279636982,1.20221844666186,1.20226544199373,1.2023330544247,1.20242061748362,1.20252751762181,1.20333341561699,1.20454987926481,1.20612600727662,1.20801157005908,1.21015347572497,1.2124967347222,1.21498815031282,1.21758032678401,1.22023419854467,1.22291962965723,1.2256145709018,1.22830355757453,1.23097612985889,1.23362547185091,1.23624734841051,1.2388393349093,1.24140026149983,1.24392983672596,1.24642836826815,1.24889661185133,1.25133560028599,1.25374659094054,1.2561309941718,1.25849033207012,1.26082620532388,1.26314029321632,1.26543431875095
6,1.25563732821269,1.32111843394807,1.27972756506484,1.24641329405163,1.2260768581369,1.21433707453205,1.21274816997105,1.21134960409013,1.21011680892554,1.20902796151606,1.20806417164196,1.20720936032744,1.20644997736415,1.20577464643355,1.20517384538715,1.20463957353446,1.20416509940019,1.20374471827769,1.20337359493447,1.20304759550007,1.20276317083974,1.20251725807014,1.20230720057484,1.20213068283458,1.20198567709756,1.20187039951365,1.20178327384641,1.20172290126858,1.20168803692164,1.20167756090969,1.20169047200847,1.20172586403664,1.20178291460337,1.20186087353115,1.20195905274714,1.20207681740034,1.20294000795781,1.20421660651346,1.20585253423354,1.20779428312481,1.2099859792356,1.21237093915816,1.21489557477079,1.21751316151391,1.22018589366008,1.22288504291422,1.22558984145553,1.22828586757692,1.2309634561839,1.2336163733636,1.23624080165164,1.23883461262159,1.24139684592856,1.24392735819714,1.24642656306368,1.24889528942457,1.25133462492207,1.25374586521541,1.25613044819356,1.25848991575351,1.26082588325929,1.26314003944873,1.26543411465968
7,1.25413480649377,1.3194959681918,1.27972330095621,1.24635938632191,1.22587980282194,1.21396622991202,1.21235038618889,1.21092885567776,1.20967696746681,1.20857261478487,1.2075965290378,1.20673223112026,1.20596578780412,1.20528548455282,1.20468150249213,1.20414558451644,1.20367078548025,1.20325123674698,1.20288194304992,1.20255865292714,1.20227771540573,1.20203598243206,1.20183072582491,1.20165956958009,1.20152043446567,1.20141149245251,1.20133112902478,1.2012779118189,1.20125056436094,1.20124794577388,1.20126902438154,1.20131287339728,1.20137864902153,1.20146558055142,1.20157295993561,1.20170013260947,1.20261278385197,1.20394094353881,1.20562769256492,1.20761669862489,1.20984981858506,1.21226911430837,1.21482086607292,1.2174590524877,1.22014700293874,1.22285719013438,1.22556990957485,1.22827159090875,1.23095321128293,1.23360900381537,1.23623548832902,1.23883077071199,1.24139405930609,1.24392532938305,1.24642507954059,1.24889419755509,1.25133381510076,1.2537452586831,1.2561299883938,1.25848956211722,1.26082560705916,1.26313981962466,1.26543393140613
8,1.25280915640841,1.31805666550877,1.27971963093776,1.24631541926715,1.225715910562,1.21365109940564,1.21201122570972,1.21056908436963,1.20929997738792,1.20818158325967,1.20719432073736,1.20632136689613,1.20554845207763,1.20486356436861,1.20425661045378,1.20371911233821,1.20324393323575,1.20282503874208,1.20245730831973,1.20213637298652,1.20185849142928,1.2016204380272,1.20141941936135,1.20125300423106,1.20111906636499,1.20101573730254,1.2009413674292,1.20089449356318,1.20087381182082,1.20087815475149,1.20090647373096,1.200957815011,1.20103131688739,1.20112618950675,1.2012417061538,1.20137719383856,1.20233343608641,1.20370675986667,1.20543767437929,1.20746737761202,1.20973583892419,1.21218417656949,1.21475869425171,1.21741408162821,1.22011469228886,1.22283404213199,1.22555333050191,1.22825970143172,1.23094466682741,1.23360284771305,1.23623104070476,1.23882754758136,1.24139171542522,1.24392361768232,1.24642382330204,1.24889326895741,1.25133312283128,1.25374473707108,1.25612959024145,1.25848925353876,1.26082536402634,1.26313962451766,1.26543377185475
9,1.25162111666517,1.3167609280447,1.27971637405977,1.24627863773919,1.22557653185039,1.21337798728904,1.21171639030592,1.21025551195222,1.20897068629669,1.20783942278088,1.20684188171807,1.20596094106143,1.20518203387627,1.2044928747164,1.20388312904032,1.20334411167044,1.20286850882414,1.20245014301986,1.20208376936736,1.20176491863057,1.20148975998063,1.20125499846674,1.20105778047678,1.20089562383217,1.2007663587675,1.20066807938629,1.20059910352243,1.20055793935755,1.20054325748427,1.20055386737416,1.20058869742384,1.20064677962854,1.20072722790429,1.20082923632896,1.20095206061862,1.20109501043749,1.20209027005452,1.20350379253348,1.20527373589598,1.20733911769928,1.20963830773574,1.21211170853902,1.2147057521285,1.21737582478893,1.22008721121382,1.22281434646349,1.22553921220817,1.22824956525737,1.23093737238813,1.23359758387089,1.23622723079585,1.23882478079056,1.24138969844808,1.24392214042171,1.24642273532712,1.24889246166267,1.25133251811987,1.25374427890756,1.25612923832237,1.25848897890486,1.26082514611689,1.26313944825076,1.26543362662095
