p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_6_6,of_6_7,of_6_8,of_6_9,of_7,of_7_1,of_7_2,of_7_3,of_7_4,of_7_5,of_7_6,of_7_7,of_7_8,of_7_9,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,419.220188183053,411.823425657619,406.320729253419,402.507814992753,400.011438117185,379.183817109734,363.290991320414,351.200585637719,341.893466823448,334.595116466165,328.721029335258,327.679657216757,326.676666036634,325.709858469068,324.777211341627,323.876859055062,323.007078577903,322.166275933749,321.352974073042,320.565802009882,319.803485102352,319.064836359009,318.348751365999,317.654193285275,316.980191439559,316.32584245158,315.690295899557,315.072752878807,314.472461921569,313.888715312787,313.320845757596,310.698767226042,308.392178562687,306.349138526923,304.528813925846,302.898569288449,301.431938154222,300.107194106496,298.906310450382,297.814188897409,296.818077611039,295.907125376514,295.072035437601,294.304793495472,293.598451687407,292.946955364891,292.345004445177,291.787933091506,291.271625247701,290.79243056787,290.34710150685,289.932740394504,289.546749248685,289.186798591593,288.850789670446
1.01325,419.204446809549,411.821412828138,406.319558048292,402.505559600488,400.006094584686,379.170201412149,363.269163955931,351.172306361174,341.860722575517,334.559805600504,328.684518768906,327.6430208798,326.639933384185,325.673055924605,324.740362596856,323.839985346882,322.970198941487,322.129407431993,321.316132003459,320.529000090221,319.766735636746,319.028150386328,318.312138822199,317.617663066023,316.943751486755,316.289499929231,315.654057238091,315.036623849238,314.436447701608,313.85282054581,313.28507460532,310.663662725683,308.357794579414,306.315503555571,304.495940578412,302.866460192766,301.400589540845,300.076598102324,298.876456554439,297.785064941802,296.789670392082,295.879421071383,295.045019879955,294.278452357459,293.572770599208,292.921919992468,292.320600549287,291.764146530134,291.248442025517,290.769836836863,290.325083572821,289.911284724753,289.525842461231,289.166427470603,288.830941162689
2,418.099765806166,411.674770718149,406.251024103414,402.398071521507,399.755361336922,378.525514610533,362.20224435413,349.759682424374,340.199773755354,332.750892274384,326.803411474914,325.753928720446,324.744534278299,323.772858287183,322.836721409643,321.934117207887,321.063195964656,320.222249954683,319.409700116376,318.624084040689,317.864045176713,317.128323147224,316.41574506764,315.725217766115,315.055718878342,314.406298157156,313.776060742318,313.164169367077,312.569838037254,311.992327934714,311.430943718942,308.844228527906,306.576287607716,304.573706857438,302.794723173804,301.206108718537,299.781014447847,298.497466486973,297.337270611921,296.285223603209,295.3285036018,294.456214162785,293.659029934539,292.928919256956,292.258924434399,291.642986177216,291.075801783056,290.55270980044,290.069595454008,289.62281391505,289.209119828618,288.825621709157,288.469730374004,288.139122891688,287.831705878971
3,417.094535300489,411.52976797366,406.196595749525,402.338092558971,399.624337050873,378.194839625286,361.625764896412,348.967931188989,339.243817197951,331.691401328044,325.690225173227,324.63440615135,323.619837740473,322.644033648544,321.704708144892,320.799764269265,319.927267403868,319.085433242268,318.272613787622,317.487284664407,316.72803367066,315.993548651937,315.282615311641,314.594098584744,313.92694187915,313.280158753575,312.652826909536,312.044082792131,311.453116732697,310.879168573465,310.321523721031,307.75560584494,305.51089497978,303.532936153184,301.779332028028,300.216427091606,298.817098897209,297.559192292709,296.424393952598,295.397415965176,294.465374364128,293.617334267035,292.843941828413,292.137145263517,291.489972714122,290.896354911024,290.350982283777,289.849188824595,289.386857011495,288.960339359404,288.566393296696,288.202127966122,287.864953520141,287.552550217344,287.262831137153
4,416.179917049162,411.387046897348,406.14722055196,402.29451210436,399.536586908931,377.983535850733,361.245091182661,348.432036856712,338.584576687342,330.951316120371,324.906587284109,323.845444473349,322.826450802709,321.847037648648,320.904843633476,319.997696570741,319.123599444673,318.280705437141,317.467310517195,316.681845173643,315.922851992792,315.188985164467,314.478990255468,313.791702335434,313.126036497558,312.480980837018,311.855590147276,311.248980237065,310.660322851141,310.088841067133,309.53380515897,306.982635000252,304.754649155116,302.794588880158,301.059531984282,299.515502131359,298.135154167828,296.896179935064,295.780161967834,294.771741726751,293.857990286725,293.027930076705,292.272182798044,291.582676970776,290.952426135785,290.375350034485,289.846130974054,289.360097009179,288.913126438138,288.501569072789,288.12218090799,287.772069567477,287.44864963858,287.14959918074,286.872834270192
5,415.338799190615,411.24624670321,406.10029409368,402.258740098015,399.470194543584,377.832390236739,360.966294883315,348.032164458865,338.085420723251,330.385116240409,324.303236874977,323.237444452482,322.214548090428,321.23191000043,320.287104780097,319.377901445442,318.502246357693,317.658247266539,316.844156966069,316.058368887894,315.2993868837,314.565826711353,313.856409354251,313.169943637932,312.505321040902,311.861508406179,311.237541384067,310.632518550202,310.04559610329,309.475983096673,308.92293713959,306.383169543459,304.168287168534,302.222351033503,300.502005284853,298.97298950967,297.607774295159,296.383919673063,295.282928304967,294.289365312712,293.390260123071,292.574607668903,291.83299864093,291.157344986565,290.540645906795,289.976810259755,289.460512001844,288.987072927099,288.552366782423,288.152740280739,287.784947585931,287.446095622234,287.133598143948,286.845138021477,286.578629848368
6,414.558721549196,411.107190615924,406.05481145161,402.227410304107,399.41634485672,377.716839175736,360.749239086763,347.716133832324,337.686132774701,329.928199521607,323.813663929846,322.743711163078,321.717296654318,320.731724484866,319.784515116249,318.873387606318,317.996242533946,317.151145915006,316.336312532928,315.550098876672,314.79098093039,314.057551856441,313.348501430102,312.66261309837,311.998760901587,311.355893276973,310.733029295666,310.129252585304,309.54370586263,308.975586011215,308.424139645836,305.89364964528,303.689551046119,301.755310024293,300.047198734568,298.530702667549,297.178126580944,295.966923356407,294.878504060907,293.897394750577,293.01056696496,292.20698870374,291.47723311747,290.813188410413,290.207842132248,289.655092516012,289.14960533,288.686696154889,288.262234174141,287.872562954393,287.514434757922,287.184955724998,286.881539836589,286.601870034857,286.343866189754
7,413.830291679868,410.96977652737,406.010280728321,402.198899124266,399.370688429087,377.624507097247,360.573247805435,347.456655427766,337.354895878253,329.546239702576,323.402408645099,322.328670921245,321.299037308768,320.310761747804,319.361317737351,318.44838079879,317.569811466165,316.723637551778,315.908045182149,315.121356032136,314.362020239023,313.628603423923,312.919776170288,312.234307264731,311.571043935432,310.928923892518,310.306946091199,309.704183681014,309.119767399377,308.552883312041,308.00276825696,305.480085992163,303.285155717939,301.360914833725,299.663297460125,298.157566628547,296.815877839265,295.615578879527,294.538014493104,293.567646909207,292.691424274638,291.898277744588,291.178754326446,290.524733505507,289.929184077442,289.385995997918,288.889827118243,288.435986991943,288.020340369135,287.639227761694,287.289399595453,286.96796126296,286.672326985671,286.400180844719,286.149444702458
8,413.146231205484,410.83393188973,405.966434452484,402.172313060394,399.330779710017,377.548352136113,360.426348841994,347.237729123258,337.072890216147,329.218819689428,323.048325607299,321.971102361842,320.938490577792,319.947700136925,318.996163047861,318.081516200997,317.201584472824,316.354362910571,315.538007938434,314.750814066501,313.991206863986,313.257729731034,312.549033180695,311.863865142863,311.20106221411,310.559544386054,309.938297296033,309.336384712224,308.752921239215,308.18708590891,307.638106715805,305.122155095207,302.93520215637,301.019705681891,299.331292561018,297.835023065256,296.502916218862,295.312225162606,294.244225667239,293.283337246754,292.416463919814,291.632516195209,290.922020789569,290.276836011563,289.689920471126,289.155154491177,288.667188318633,288.221325718826,287.813427195625,287.439830354436,287.097283900037,286.782892566283,286.494070875507,286.228504079343,285.984116027854
9,412.50077097139,410.699599237264,405.923124097416,402.147114140314,399.295116811798,377.484043270293,360.30102685027,347.049196933911,336.828079017266,328.932821275784,322.737789959353,321.657329609491,320.621938996703,319.628791342173,318.675281493297,317.759011595747,316.877772871815,316.029535143555,315.212423474988,314.424709169482,313.66479544062,312.9312054431,312.222571384936,311.537624662394,310.875186946998,310.23416214902,309.613531840786,309.012337879349,308.429695816946,307.864767485259,307.316775622806,304.806731675985,302.626841019274,300.719120944865,299.038913487469,297.551098466811,296.227562131431,295.045471945665,293.986041164645,293.033643927848,292.175150167639,291.399445121636,290.697033085658,290.059762688159,289.48057859673,288.953348682296,288.472717839408,288.03398429985,287.633004527966,287.266113392709,286.93005801575,286.621942580898,286.339181991207,286.079462719117,285.840709542958
