p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_6_6,of_6_7,of_6_8,of_6_9,of_7,of_7_1,of_7_2,of_7_3,of_7_4,of_7_5,of_7_6,of_7_7,of_7_8,of_7_9,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1324.68240590471,1647.11620131473,1896.68950494191,2087.09884314754,2272.85815532764,2555.34509059189,2747.50448123012,2871.89910263762,2944.29934487921,2981.9923057813,2999.22606278065,3001.06907137146,3002.50314364793,3003.57024952799,3004.30762064805,3004.7483140618,3004.92171343962,3004.85397174188,3004.56840038346,3004.08581028016,3003.42481012699,3002.60206697765,3001.63255211477,3000.52967229275,2999.30552920687,2997.97103531001,2996.5360393675,2995.00944953628,2993.3993355753,2991.71301868078,2989.95715056636,2980.32860501175,2969.67614103683,2958.38064737232,2946.69421641283,2934.78732303861,2922.7771946876,2910.74551094209,2898.74972460443,2886.83048774257,2875.01662814308,2863.32854730647,2851.78057901941,2840.38265009182,2829.1414644238,2818.06135640524,2807.14494232001,2796.39345089659,2785.80724999357,2775.38596611368,2765.12870329696,2755.03422450687,2745.10088117093,2735.32695873521,2725.7105518925
1.01325,1324.77657208431,1647.12971649322,1896.70904899531,2087.15417693227,2273.01680816,2555.78820087435,2748.24423241784,2872.89677926333,2945.48860224721,2983.29832851054,3000.59320703493,3002.44377170487,3003.88419223244,3004.95656072048,3005.69821861358,3006.14232138196,3006.31834074537,3006.2525083552,3005.96820591963,3005.48630714401,3004.82547682789,3004.00243218558,3003.03218962046,3001.92819569691,3000.70258820247,2999.36631204293,2997.92924506213,2996.40032158589,2994.78763495478,2993.09852764375,2991.33967059292,2981.69375745057,2971.02099064869,2959.70331099165,2947.9934915585,2936.06246006031,2924.02775234482,2911.97126270437,2899.95059646219,2888.00651608466,2876.16793070956,2864.45530282957,2852.88301273744,2841.46102329184,2830.19606678363,2819.09250030113,2808.15295880731,2797.37868553888,2786.77006116276,2776.32672260486,2766.04778262327,2755.93201178653,2745.97776689317,2736.18333870635,2726.5468258928
2,1331.36426070621,1648.06918366984,1897.66641732017,2089.64689084286,2280.21128715156,2576.76332061532,2784.42698298588,2922.83026969705,3006.00746967674,3050.45975642069,3071.30946605473,3073.60677405407,3075.42513320265,3076.8134985979,3077.81540757824,3078.46958886765,3078.81051467666,3078.86889579524,3078.67212215609,3078.2446527134,3077.60835912987,3076.78282794711,3075.78562581079,3074.63253205289,3073.33771865043,3071.91402361877,3070.37296746746,3068.72498330859,3066.97951494446,3065.14512324905,3063.22957986682,3052.66103758783,3040.89652661358,3028.37820443503,3015.39776629223,3002.1520451838,2988.77626089404,2975.3646776172,2961.98369417535,2948.6805173105,2935.48883372361,2922.43272384075,2909.52935815981,2896.79088789274,2884.22579434703,2871.83984840671,2859.63681475468,2847.61896294057,2835.7874440488,2824.14260731248,2812.68405234584,2801.41102049877,2790.32234886656,2779.41664849728,2768.69216199179
3,1337.32530564722,1648.9618587596,1898.23857341188,2090.85749251798,2283.6632571431,2587.51299296089,2803.99460290497,2950.90151735481,3041.0195338684,3090.04352565551,3113.42848176559,3116.05224064654,3118.14945943635,3119.77371771073,3120.97272506192,3121.78904039383,3122.26057252843,3122.42112402013,3122.30086108699,3121.92673275233,3121.3228424475,3120.51074948529,3119.50986770685,3118.33755795432,3117.0094590609,3115.5396582182,3113.94086388327,3112.22455776342,3110.40112849882,3108.47998935103,3106.46968191949,3095.3292414247,3082.8735839955,3069.58677578917,3055.78779810516,3041.69156477683,3027.44572074101,3013.15326667231,2998.88691522677,2984.69850085565,2970.62515576538,2956.69365013956,2942.92324581302,2929.32776199671,2915.9170274174,2902.69792149742,2889.67512757172,2876.85168363871,2864.22938494861,2851.80908308076,2839.59090725072,2827.57447055957,2815.75882554906,2804.14281413999,2792.72501747799
4,1342.72268876752,1649.82836765776,1898.67924766458,2091.62863051471,2285.78738110641,2594.37492845005,2816.92092588364,2969.93573385168,3065.24508727684,3117.80951327928,3143.20818114564,3146.09536926845,3148.41892890344,3150.23594650431,3151.59738740846,3152.54872508757,3153.13053841056,3153.37903526169,3153.3265112607,3153.0018837517,3152.43097112724,3151.63699171025,3150.64068199775,3149.46069258169,3148.11379678409,3146.61510124332,3144.97823097701,3143.21549358849,3141.33802137668,3139.3558987568,3137.27827361035,3125.72372324715,3112.75942997338,3098.9026256333,3084.49361114327,3069.76171586109,3054.86436360793,3039.91151187082,3024.98085944685,3010.12796123963,2995.39281911686,2980.8043242444,2966.38347899268,2952.14548404724,2938.10129004626,2924.25870728439,2910.62319007583,2897.19842100232,2883.98673482092,2870.98943220324,2858.20701262341,2845.63934809369,2833.28585802135,2821.14542524563,2809.21674948741
5,1347.66512004943,1650.6774317904,1899.0575894113,2092.19137357374,2287.26905618572,2599.27730075836,2826.38946175642,2984.15663009376,3083.63302456184,3139.11892107364,3166.21295970376,3169.32459023381,3171.84181601808,3173.82457571329,3175.32646821163,3176.39537882434,3177.07407235578,3177.40074322955,3177.40948467307,3177.13089890189,3176.5922232128,3175.81792494668,3174.82995847573,3173.64803086719,3172.28986484636,3170.77142055523,3169.10709154274,3167.30987647911,3165.39153133342,3163.36270313778,3161.2330480726,3149.35315026999,3135.98394557768,3121.67042433145,3106.77086294693,3091.52659402788,3076.1034077956,3060.61701420137,3045.14946302028,3029.75939295446,3014.48922840528,2999.3697961305,2984.42351944467,2969.66681942277,2955.11162934609,2940.76656542072,2926.63775569516,2912.72944343839,2899.04442968875,2885.58439993654,2872.35016673117,2859.34185091547,2846.55901785326,2834.00082677702,2821.66592067841
6,1352.23138799994,1651.51260397375,1899.400567574,2092.63591197303,2288.38180185678,2603.02040719087,2833.76137085244,2995.40642514434,3098.37082915083,3156.35911219773,3184.93014770423,3188.23920336179,3190.92734730132,3193.05692504848,3194.6837713948,3195.85782924701,3196.62374355219,3197.02141766491,3197.0864875875,3196.85093689523,3196.34329640999,3195.58918942827,3194.61153706413,3193.43096443452,3192.06603133601,3190.53343926876,3188.84824880949,3187.024059762,3185.0731700382,3183.00671582198,3180.83479528926,3168.68673458324,3154.97995445662,3140.28356335131,3124.97159265583,3109.29575661936,3093.42907617102,3077.49248994837,3061.57164324144,3045.72809569159,3030.00629976155,3014.43876000456,2999.04928859124,2983.85530569082,2968.86964404869,2954.10164260116,2939.55802922972,2925.24354522749,2911.16140315327,2897.31362486922,2883.70129286544,2870.32473805023,2857.1836816799,2844.27734309546,2831.60456913137
7,1356.48064217246,1652.33569824144,1899.72093885821,2093.00576218632,2289.25930986329,2606.00719820673,2839.73825692603,3004.64983760984,3110.61653433768,3170.80206150973,3200.68914260085,3204.17555840007,3207.01766840065,3209.27990164234,3211.02003954283,3212.28982456652,3213.13555202159,3213.5985906097,3213.71605492493,3213.52105437184,3213.04326983562,3212.30930301561,3211.34302047583,3210.16588692632,3208.79712515807,3207.254138721,3205.55255373928,3203.70651922536,3201.72881557293,3199.63101454151,3197.42360795772,3185.0473926853,3171.05047185132,3156.02347752485,3140.35441061802,3124.30433238942,3108.0527302394,3091.7250993807,3075.41054419053,3059.17298715896,3043.05893741688,3027.10232871711,3011.32815247247,2995.75488197254,2980.39607241175,2965.26174414545,2950.35916823715,2935.69353496348,2921.26842534462,2907.08615940661,2893.1480552976,2879.45462357747,2866.00571416864,2852.80062863444,2839.83825741564
8,1360.45855029775,1653.14780812909,1900.02586031246,2093.32484524802,2289.97585403704,2608.4668184386,2844.72653661673,3012.45338688993,3121.05641445312,3183.2056185978,3214.28432904948,3217.93248734284,3220.91533199567,3223.29912872832,3225.14338437037,3226.50144336288,3227.42107527266,3227.94499258512,3228.11154307204,3227.95494364385,3227.50587936518,3226.79185795228,3225.83756247263,3224.6651655761,3223.29460851485,3221.74387641003,3220.02910302539,3218.16495204296,3216.16461029887,3214.04005949718,3211.80214805219,3199.22737852343,3184.97562821536,3169.65704185749,3153.67229157732,3137.29092416892,3120.69830384457,3104.02410585695,3087.36045640455,3070.77368159198,3054.31191343499,3038.01057127931,3021.89570745955,3005.98667796899,2990.29777904784,2974.83963617363,2959.62001785007,2944.64452356596,2929.91706778613,2915.44023761561,2901.21555924034,2887.24369813876,2873.52461101517,2860.05766243613,2846.84176949084
9,1364.20118822554,1653.94967454009,1900.31946866283,2093.60754824879,2290.57648310923,2610.54073403769,2848.98141321505,3019.17682904707,3130.13006434255,3194.05764923424,3226.22833590541,3230.02570235434,3233.13860200064,3235.63498382319,3237.57590464725,3239.01615400492,3240.00479324736,3240.58588218892,3240.79876212371,3240.67870163443,3240.25730194112,3239.56289832604,3238.62092035204,3237.45421350451,3236.08332529423,3234.52675896666,3232.80122790929,3230.92173410362,3228.90194323538,3226.75415005294,3224.48954701027,3211.73902900449,3197.25980768529,3181.6799426068,3165.41170540159,3148.73256274259,3131.83316731691,3114.8470863346,3097.86926799233,3080.96816291788,3064.19352739358,3047.58206911854,3031.16084455215,3014.95006055228,2998.96472565352,2983.21595815428,2967.7120141838,2952.45886934167,2937.4607423721,2922.72046153197,2908.2397379936,2894.01937168968,2880.059408062,2866.35925895609,2852.91779728115
