p_bar,of_1,of_1_5,of_2,of_2_5,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_1,of_6_2,of_6_3,of_6_4,of_6_5,of_6_6,of_6_7,of_6_8,of_6_9,of_7,of_7_1,of_7_2,of_7_3,of_7_4,of_7_5,of_7_6,of_7_7,of_7_8,of_7_9,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1.22355645066403,1.25322612277979,1.27307118063667,1.28792861634207,1.29939283241478,1.2857486425575,1.27629555511834,1.26996018321145,1.26583241378993,1.26317213452778,1.26142294125613,1.26114930602214,1.26089609076564,1.26066160032407,1.26044431557202,1.26024287304728,1.26005604686645,1.25988273275941,1.25972193402601,1.25957274921281,1.25943436131347,1.25930602830983,1.25918707811335,1.25907689158134,1.25897490243974,1.25888059890666,1.25879350821989,1.25871319584553,1.25863926165542,1.25857133654854,1.25850907945938,1.25827252303253,1.25813871354353,1.258084851806,1.25809429295992,1.25815457596485,1.25825615546266,1.25839158340538,1.25855495397834,1.25874151842832,1.2589474114197,1.25916945255961,1.25940499979344,1.25965183935205,1.25990810194203,1.26017219809661,1.26044276944499,1.26071864185553,1.26099880473069,1.26128237802801,1.26156859364269,1.26185677945058,1.26214634211821,1.26243676109625,1.26272757539997
1.01325,1.22354287631215,1.25322399505259,1.27306970801061,1.28792563239549,1.29938554433575,1.28573111577938,1.27626806032606,1.26992442712618,1.26579046557072,1.26312623265841,1.26137478302135,1.26110084218285,1.26084735965752,1.26061263666259,1.26039515080497,1.26019353568112,1.26000656276464,1.25983312541289,1.25967222479691,1.25952295755293,1.2593845049597,1.25925612345846,1.25913713961124,1.2590269329964,1.25892493616827,1.25883063637489,1.25874355993744,1.25866327149249,1.25858937016005,1.25852148615665,1.25845927779643,1.25822306122105,1.25808971536042,1.25803640503614,1.25804646108233,1.25810740565636,1.25820968135352,1.25834583128212,1.25850994297293,1.25869726254904,1.25890392064382,1.25912673362817,1.25936305679985,1.25961067418556,1.25986771462777,1.26013258706078,1.26040393173603,1.26068057328148,1.26096150003442,1.2612458309929,1.26153279719367,1.26182172574349,1.26211202261349,1.26240316663449,1.26269469626408
2,1.22259235869836,1.25306963985415,1.27298476380763,1.28778374027839,1.29904570342246,1.28490325821116,1.27492833919525,1.26814450589476,1.26366992821147,1.26078260123492,1.25890173096796,1.25861010059665,1.25834109931125,1.25809282633988,1.2578635760942,1.25765181663172,1.25745617022001,1.25727539595062,1.2571083742842,1.25695409337288,1.2568116369918,1.25668017391087,1.25655894854465,1.25644727272977,1.25634451413604,1.25625010697909,1.25616352131829,1.25608427450682,1.25601192281283,1.25594605756138,1.25588630171773,1.25566783578663,1.25555926174926,1.25553571229044,1.25557914094151,1.25567611272665,1.25581638543256,1.2559920010292,1.25619666213872,1.25642532438159,1.25667388672718,1.25693897874672,1.25721780219725,1.25750801274127,1.25780763003532,1.25811496910624,1.25842858665054,1.25874723902124,1.25906984887982,1.25939548004871,1.25972330964527,1.26005262040934,1.26038277958391,1.26071322938378,1.26104347496939
3,1.22173084571813,1.25291756467935,1.27291853323573,1.28770490303756,1.29887051379952,1.28448016490494,1.27420785061711,1.26715206621155,1.26245566600495,1.25941666672754,1.25744533072382,1.25714115874269,1.25686110667819,1.25660313574685,1.25636541389604,1.25614630093372,1.25594431759393,1.25575813116744,1.25558653926876,1.25542845537003,1.25528289599996,1.25514896506965,1.2550258603608,1.25491284069019,1.25480923366004,1.25471442500239,1.25462785251751,1.25454900072332,1.25447739612784,1.25441260304694,1.25435421989957,1.25414640013017,1.25405335485935,1.25404878008443,1.25411369073009,1.2542339763665,1.25439892028855,1.2546002154734,1.25483130466566,1.25508693725367,1.25536284391894,1.25565552431483,1.25596207049318,1.25628004572684,1.25660739089356,1.25694235277818,1.25728342851796,1.25762932203039,1.25797890961798,1.25833121243728,1.25868537435899,1.25904064532106,1.25939636112435,1.25975193985035,1.26010686624326
4,1.22094968215621,1.25276809823314,1.27285896096377,1.28764779957607,1.29875454582829,1.28421036024359,1.27373336328265,1.26648238482065,1.26162080055958,1.25846526085152,1.25642298092517,1.25610887341177,1.25582003371633,1.25555432532189,1.25530982613034,1.2550848065753,1.25487771265646,1.25468713709918,1.25451181041543,1.25435059150144,1.25420244012279,1.25406642547755,1.25394169081977,1.2538274602774,1.25372302671222,1.25362774446485,1.25354102297686,1.25346232099308,1.2533911417379,1.25332702836926,1.25326956007603,1.25306928023577,1.25298758094097,1.25299705499049,1.25307795710608,1.25321567242228,1.25339910979924,1.25361968212084,1.25387062162426,1.25414651599785,1.25444297358482,1.25475638075178,1.25508374465661,1.25542255452632,1.2557706879944,1.25612633686642,1.25648795039573,1.25685419042173,1.25722389613008,1.25759605592547,1.2579697848092,1.2583443060313,1.25871893733596,1.25909307344099,1.25946618378696
5,1.22023345561081,1.25262076789683,1.27280260982411,1.28760103471422,1.29866768200384,1.28401764416729,1.27338650169326,1.2659837407388,1.26098998086896,1.25773883209825,1.25563737117198,1.25531490948943,1.25501866635856,1.25474642353988,1.25449618301237,1.25426614526853,1.25405468897518,1.25386035223449,1.2536818116568,1.25351788521921,1.25336748658517,1.25322963462408,1.25310344433713,1.25298810782294,1.25288288899524,1.25278711603126,1.25270017462242,1.25262150212667,1.25255058228361,1.25248694058506,1.25243014016125,1.2522356737293,1.2521629638434,1.25218367618607,1.25227744114245,1.25242920824665,1.25262757927965,1.25286373338351,1.25313073817215,1.25342302894242,1.25373610919749,1.25406628340698,1.25441047671612,1.25476611827932,1.25513103176546,1.25550336247994,1.25588151897123,1.25626412744099,1.25664999577956,1.25703808492359,1.257427485838,1.25781740085611,1.2582071284243,1.25859605165644,1.2589836231966
6,1.21957098272107,1.25247535324157,1.27274814723399,1.28756014857709,1.29859783680671,1.28387047188934,1.27311682872531,1.26559027964099,1.2604861645752,1.25715348613192,1.25500084178934,1.25467110620635,1.25436840464172,1.25409045031205,1.25383518109824,1.25360073813522,1.25338544552342,1.25318779147584,1.25300640684041,1.25284006572566,1.25268764777706,1.2525481440422,1.25242063211426,1.25230427341578,1.25219831018908,1.25210204794443,1.25201485188713,1.25193614077853,1.25186538149947,1.25180208423262,1.25174579818966,1.25155604642113,1.25149080100469,1.25152092105682,1.251625503797,1.25178911476028,1.25200008578456,1.25224940330102,1.25252996877093,1.25283611941789,1.25316324378768,1.25350757272444,1.25386597342077,1.25423581241873,1.25461486871873,1.25500124672587,1.25539331937494,1.25578968174696,1.25618911451721,1.25659055486859,1.25699307312603,1.25739585382933,1.25779818024306,1.25819942444432,1.25859902340585
7,1.21895385991871,1.25233172936661,1.27269492942212,1.28752299062662,1.29853905791213,1.28375297705586,1.27289841574251,1.26526764060313,1.2600687381566,1.25666474312786,1.25446675861056,1.25413054238319,1.25382207733641,1.25353901767615,1.25327924575682,1.25304085103937,1.25282210993295,1.25262146296425,1.25243751258058,1.25226898525643,1.25211473134162,1.25197370877521,1.25184497159722,1.25172766282844,1.25162099270972,1.25152425298306,1.25143678459244,1.25135799294675,1.25128732996028,1.25122429222166,1.25116841658105,1.25098261878285,1.25092376748091,1.25096200722099,1.2510759548679,1.25124984104071,1.25147175735731,1.25173250967679,1.25202487049378,1.25234305731207,1.25268239085158,1.25303902272821,1.25340975621642,1.25379191856992,1.25418323934263,1.25458178873783,1.25498590785032,1.25539416402328,1.25580531377807,1.25621827333312,1.25663209493245,1.25704594766023,1.25745910174681,1.25787091561213,1.25828082609905
8,1.2183755936441,1.25218980993068,1.27264260153352,1.28748837795075,1.29848800899784,1.28365614067669,1.2727162731374,1.26499571177932,1.25971372098997,1.25624619360743,1.25400736021484,1.2536652750394,1.25335158306355,1.25306388673478,1.25280001941485,1.2525580247558,1.25233613672856,1.25213275664206,1.25194645154232,1.25177591516806,1.25161996824324,1.25147754181815,1.25134766555699,1.2512294572891,1.25112211371184,1.25102490509408,1.2509371558764,1.25085825953732,1.2507876485081,1.25072481018374,1.25066927024409,1.25048686885014,1.25043361732294,1.25047901411473,1.25060124168273,1.25078422759351,1.25101584605561,1.25128674136591,1.25158956052277,1.25191843076668,1.25226858598538,1.25263612104995,1.25301778727362,1.25341086031497,1.25381303401807,1.2542223454892,1.2546371069364,1.2550558606174,1.25547734130201,1.25590044643305,1.25632421217159,1.25674779397916,1.25717045072562,1.25759153155694,1.25801046598735
9,1.21783105022511,1.25204952807136,1.27259096574888,1.28745559862578,1.29844264576305,1.28357442219854,1.27256100367573,1.26476174555494,1.25940579817306,1.25588089303548,1.25360478429191,1.25325732180746,1.25293883201484,1.25264687428015,1.25237923814078,1.25213392608716,1.2519091300469,1.25170322709075,1.25151474097872,1.25134233943432,1.25118481622813,1.25104107791476,1.25091013193101,1.25079107595148,1.25068308840106,1.25058542002854,1.25049738945024,1.25041836411504,1.25034777633554,1.25028509300367,1.25022983277148,1.25005040179398,1.25000213624916,1.25005394279389,1.25018360329291,1.25037477540009,1.25061512611857,1.25089515409123,1.25120739297804,1.25154588118144,1.25190578077989,1.25228312830517,1.25267462273479,1.25307750508975,1.2534894314063,1.25390840427909,1.25433271183473,1.25476087339444,1.25519160392328,1.25562378386301,1.25605643491159,1.25648870038722,1.25691982914716,1.25734916228631,1.25777612202471
