p_bar,of_1,of_1_5,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,456.925131912853,456.372451788341,407.670371147735,399.112315839255,391.397313544841,384.422391489536,378.102324179706,372.363220467459,367.137323166365,362.361531181233,357.978369783581,353.937223015478,350.194752913,346.714453415891,343.465763483811,340.423103263871,337.564947427523,334.873056300454,332.331849420407,329.92790555143,327.649580142062,325.486685458918,323.43024381167,321.472307695648,319.605794704697,317.824351809722,316.122270393242,314.494388452405,307.31775682484,301.440444416775,296.55742010396,292.455917660809,288.981966760322,286.020933484274,283.485468827865,281.307679655619,279.433867794011,277.820859641954,276.433396166594,275.242225446493,274.22269682653,273.353699807039,272.616872460072,271.996010163959,271.476639856927,271.045720172599,270.691439877346,270.403105714407,270.171067769543,269.986681698923,269.842278476227,269.731134822399,269.647422217557,269.586151962078,269.543102164236,269.514737473688,269.498125278057,269.490852918816,269.490949484464
1.01325,456.917781631791,456.370997422384,407.654664491879,399.091802108572,391.37230614005,384.39333225171,378.069708414093,372.327567661991,367.099155094916,362.321344878055,357.936612958973,353.894280205373,350.150943466626,346.670033806302,343.420948005164,340.378054991095,337.519798622793,334.827912306689,332.28679427912,329.883006437141,327.604890916595,325.442249388132,323.38609563042,321.428475389759,319.562300838729,317.781214461326,316.079504104598,314.452004856458,307.27739159429,301.402167074206,296.521231485683,292.421794386854,288.949878809829,285.990850957398,283.45736391905,281.281526311929,279.409640292565,277.798530464921,276.412933720893,275.223591392637,274.205843820245,273.33856944413,272.603393859623,271.98409940392,271.466200427821,271.036644529016,270.683611957849,270.396404251163,270.165369947872,269.98186679448,269.838231088808,269.727747425276,269.64459691256,269.583801416079,269.541149837311,269.513117291129,269.49678091643,269.489736863031,269.490021983676
2,456.384625507997,456.279442380168,406.908692687961,398.100330444956,390.145848816054,382.950845253246,376.434362881983,370.524944079214,365.155945579841,360.263777569749,355.78889338817,351.677593710648,347.883108496805,344.365658121545,341.091827031478,338.033636076932,335.167625676155,332.474004700629,329.935966994922,327.53912037558,325.271036663326,323.12091611953,321.079296082247,319.137832892319,317.289124844541,315.526569501498,313.844250226308,312.236831066109,305.169023742468,299.405225605766,294.636352909366,290.648130662206,287.286098402718,284.435523185644,282.009075831889,279.938869036648,278.171115990889,276.662442905238,275.377254519117,274.285828179404,273.362923671901,272.586751324237,271.938225022173,271.400427123618,270.958243487419,270.598120929357,270.307917882423,270.07680573577,269.895211238017,269.754752931136,269.648177409865,269.569283943694,269.512829238075,269.474429771408,269.450455811114,269.437927475827,269.434416381776,269.437955908879,269.446961729997
3,455.870363062552,456.200240850927,406.524213434982,397.574534424,389.479424048683,382.150904761982,375.511861886512,369.493377808459,364.030505216962,359.06027205084,354.522581968182,350.362276291956,346.530670126894,342.98600168877,339.693033570676,336.622233166527,333.748850606028,331.052053576365,328.514202424144,326.120242357823,323.857225469937,321.713929997762,319.680558880975,317.748503043509,315.91013949258,314.1586943786,312.488107099124,310.892931639942,303.891206128353,298.197350037487,293.499420637812,289.582000983911,286.290193876961,283.509092831199,281.151266378043,279.1487218994,277.44751413481,276.004024698712,274.782337377126,273.7523358151,272.888325972488,272.168043049004,271.571938146921,271.082685652099,270.68485628746,270.364703923108,270.110030031064,269.910089490552,269.755506020564,269.638193233029,269.551258652122,269.488889712863,269.446240950078,269.419311324942,269.404825246219,269.400120704388,269.403047755018,269.411879037158,269.425232742173
4,455.379333927693,456.125752722861,406.277840041457,397.231519680874,389.037700987153,381.613380619218,374.884671886696,368.784964038467,363.25100032579,358.220728666273,353.63404970944,349.435012030801,345.573673899871,342.006870459972,338.698024211823,335.616423842595,332.736335826687,330.036126169939,327.497510171772,325.104910830524,322.844973025025,320.706147473945,318.678375362626,316.752835066561,314.921740133307,313.178179830956,311.515976920146,309.929597990582,302.975861047711,297.333312819558,292.687727064892,288.822744816297,285.58306183214,282.853579326467,280.546744724984,278.594419373622,276.942480976477,275.54707997123,274.372005210144,273.386804794959,272.565422225129,271.885232336,271.326359561062,270.871216423248,270.504201208924,270.211499592466,269.980951140756,269.80194535009,269.665317891881,269.563248579913,269.489140476684,269.437484955414,269.403731680984,269.384154340121,269.375724797682,269.375998271635,269.383011693158,269.395195942026,269.411301566122
5,454.909143434084,456.053653128749,406.101289157051,396.982538987117,388.713285438611,381.214500988655,374.415048856768,368.250363405372,362.658784616892,357.57926577002,352.951955695166,348.720467290483,344.833971691807,341.248235959673,337.925623804637,334.83447390097,331.948247137631,329.244647018376,326.704850655466,324.312859024109,322.054974061104,319.919367515923,317.895765372162,315.975170755936,314.149656062128,312.412193692335,310.756519396921,309.177023750748,302.261144839995,296.65940446418,292.055626968249,288.232639883765,285.034767951457,282.346719201191,280.080793361052,278.168714489965,276.556172107934,275.199096959711,274.061014537536,273.111181167482,272.323239437672,271.67427909706,271.144181673678,270.71518258779,270.371584922451,270.099567655541,269.887048051468,269.723563870408,269.60015587361,269.509235888805,269.444456288498,269.400554796199,269.37321378703,269.358918897199,269.35482958566,269.358663427441,269.36859542569,269.383172288554,269.401240717566
6,454.457791721746,455.983040591207,405.966143419414,396.790056262209,388.460148345335,380.900660913397,374.042831216929,367.823918963266,362.183732565447,357.062240556635,352.399987196117,348.140357639632,344.231874481974,340.629450587531,337.294580976517,334.194806531096,331.302903501221,328.596008155051,326.054837259065,323.663021996718,321.406565809279,319.273412789509,317.253090556675,315.336453632226,313.515452049766,311.782959217431,310.132630457932,308.558788089781,301.674263563084,296.106539233245,291.537739002134,287.749957597634,284.587175901056,281.933910175499,279.702314429784,277.823961199894,276.24437082741,274.919257142523,273.811908692022,272.891324937334,272.130892945635,271.507470453454,271.00075262107,270.592852256255,270.268023936558,270.01247385942,269.814214959499,269.662935363536,269.549863788911,269.467620096839,269.410069529959,269.372155776864,269.349752043044,269.339515103953,269.338754013608,269.345314514248,269.357479715266,269.373886412539,269.393455704624
7,454.023576415568,455.913462172014,405.85805062524,396.634884398138,388.254522128602,380.64395270818,373.736483698693,367.471010605902,361.788704137974,356.630527894871,351.937490484323,347.652891984199,343.724763609839,340.107333707405,336.761350961907,333.653671546075,330.756474798312,328.046398985058,325.503754924497,323.111846786646,320.856416013416,318.725194278499,316.707550036375,314.794193793568,312.976970102041,311.248664402303,309.602860522401,308.033822426697,301.176100787216,295.637623973936,291.098987709657,287.34161900072,284.20917372555,281.585985797194,279.384061782989,277.534822307913,275.983619338502,274.685968776659,273.604939978339,272.709303821202,271.972226585472,271.370373478306,270.883293791834,270.493015106892,270.18377373159,269.941822992341,269.755279434901,269.61397758341,269.509319758053,269.434111607608,269.382403935656,269.349316672197,269.330883941191,269.323905150694,269.325812850751,269.334557780364,269.348511061667,269.366382472416,269.38715312257
8,453.605031725238,455.844709530212,405.768856471436,396.505994908165,388.082614313505,380.428064157091,373.477466798949,367.171197159132,361.45168619178,356.26085954331,351.540231970353,347.233114395111,343.287167499251,339.656039558464,336.299847484041,333.184847306877,330.282678452977,327.569538463209,325.02537382679,322.633194440563,320.378505572588,318.248849726131,316.233440954766,314.32287651118,312.508893763975,310.784201736325,309.142319597728,307.577458519396,300.743175013529,295.230403382227,290.718346210124,286.987811861654,283.882157596278,281.285528740967,279.109788861009,277.286212178276,275.759984094585,274.486441120057,273.428443391987,272.554558351157,271.837759591516,271.254549991717,270.784363280365,270.409168645058,270.113204622222,269.882783747064,269.706129025939,269.57321546544,269.475605780429,269.406272954818,269.359431812057,269.330355807986,269.315217630396,269.310938359789,269.3150551078,269.325606968639,269.341038762704,269.36012113482,269.381885093948
9,453.20088424637,455.77662050561,405.693499658906,396.396496488686,387.935759233022,380.242676514886,373.253993255397,366.911426002397,361.158574568469,355.938288758278,351.192611860542,346.864933910546,342.902634143878,339.258873118752,335.893210946253,332.771363056441,329.864499469234,327.148406674247,324.602702613736,322.210128902624,319.955975138353,317.827610890914,315.81411149464,313.905959998857,312.09481212041,310.373295454953,308.734872915889,307.173707295916,300.360268727815,294.870461802584,290.382203994725,286.675728702491,283.59410373218,281.021296704557,278.869028290101,277.068429325318,275.564526830027,274.312480367134,273.274965699524,272.42036050131,271.721469210118,271.154656713075,270.699264418436,270.337223028702,270.052787657872,269.832337455045,269.664202010796,269.538490294725,269.446913595076,269.382596796818,269.339901372927,269.314236419633,269.301895891614,269.299906543756,269.30589573779,269.317978449489,269.334662537821,269.35477054237,269.377375905939
