p_bar,of_1,of_1_5,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1475.11945580299,1861.94233037546,2542.56112813406,2640.59932312209,2723.51099876655,2792.77560845414,2849.70635492016,2895.647952771,2932.07004768949,2960.50388831899,2982.40977376401,2999.07290865705,3011.56103548376,3020.72994459986,3027.25240129455,3031.65303733475,3034.34057446791,3035.63451068944,3035.78605888044,3034.99413026082,3033.41750597767,3031.18383951024,3028.39655080193,3025.14009236619,3021.48387159051,3017.48528966127,3013.19213532922,3008.64440047067,2983.10039400729,2954.57360274004,2924.36839273398,2893.12998199113,2861.18641699903,2828.70291016248,2795.75784090815,2762.38297161479,2728.58653988373,2694.36719429988,2659.72330823567,2624.65936052295,2589.19093363095,2553.34802177055,2517.17735075337,2480.74311203886,2444.12677760341,2407.42495858208,2370.74597531358,2334.20572885004,2297.92251669161,2262.01202583499,2226.58284073652,2191.73241379918,2157.54511253183,2124.09044779958,2091.42292001979,2059.58260625838,2028.59635322825,1998.47933129802,1969.23674365422
1.01325,1475.16603232378,1861.96235589175,2543.02198424526,2641.21068869416,2724.26859939377,2793.67049966067,2850.72643614531,2896.77858269404,2933.29499658959,2961.80676584795,2983.77534953485,3000.48789268749,3013.01430562279,3022.21240524797,3028.75675998504,3033.17340253473,3035.87222670752,3037.17364645473,3037.32959655085,3036.53955728311,3034.96276066962,3032.72721835617,3029.93663642203,3026.67569811154,3023.01399759815,3019.00908802254,3014.70888292348,3010.1534769834,2984.56434748341,2955.98524288598,2925.72354795353,2894.42591249306,2862.42110877855,2829.87474760761,2796.86546052528,2763.42521072911,2729.56244297631,2695.27605613597,2660.56473232861,2625.43334782303,2589.89796074149,2553.98912036788,2517.75416830975,2481.25794261132,2444.58255494921,2407.82520443454,2371.09470332905,2334.50731497536,2298.18154611524,2262.2331349739,2226.77056984683,2191.89108454924,2157.67873485284,2124.20266141957,2091.51696641397,2059.66132603284,2028.66220238907,1998.53440996565,1969.2828316916
2,1478.53321348016,1863.01207279947,2564.91040205455,2670.77072986186,2761.453300686,2838.14759104471,2901.96164263035,2954.07052833848,2995.82367406851,3028.71138757773,3054.23305227781,3073.76612531372,3088.49158014237,3099.37677729042,3107.19314232792,3112.54756050223,3115.91528470773,3117.66872303404,3118.1009971718,3117.44408644898,3115.88289935405,3113.56592152279,3110.61324399593,3107.12269252867,3103.17450136638,3098.8349030141,3094.15892060312,3089.19246274385,3061.1633965226,3029.73532312654,2996.38720064125,2961.84761034725,2926.48764279035,2890.49708886278,2853.9708413362,2816.95473786526,2779.47160483654,2741.53748264813,2703.17199317308,2664.40526870462,2625.28296145855,2585.8687196341,2546.24508407265,2506.51213639206,2466.7849536397,2427.18891440808,2387.85437923755,2348.91068505905,2310.4809464053,2272.67720295474,2235.59714688603,2199.32190494356,2163.91575492607,2129.4262497426,2095.8855251648,2063.31202065168,2031.7124388839,2001.0837430888,1971.41505443572
3,1481.76761231174,1863.72207529083,2576.18896098638,2686.45346182153,2781.68033884208,2862.85733123957,2930.93934246721,2986.96850730101,3032.18755190771,3068.02730509547,3095.98351732189,3117.47331148197,3133.7399304449,3145.81834723999,3154.5428943182,3160.57455168968,3164.43305063725,3166.52666645047,3167.17695687147,3166.63851112954,3165.11417233098,3162.76667694778,3159.72751274723,3156.10367402931,3151.98278090424,3147.43709746403,3142.52655722521,3137.30115732525,3107.71113960559,3074.43893111903,3039.08236695296,3002.42744814738,2964.87590758324,2926.63604468965,2887.81622323755,2848.47442288289,2808.64650888345,2768.36335353858,2727.66208770918,2686.59312389752,2645.22425959312,2603.64266765033,2561.95416019657,2520.28024479365,2478.75399712305,2437.51399997953,2396.69815463237,2356.43771589708,2316.85201831124,2278.04512907985,2240.10305561564,2203.09367966401,2167.06676331563,2132.05542688564,2098.07804565792,2065.14040428597,2033.23788596037,2002.35754469268,1972.47997128351
4,1484.84693482732,1864.3146231781,2583.41251101231,2696.68475722224,2795.09392177493,2879.47780689759,2950.67101649704,3009.60799850892,3057.43908253151,3095.53491971205,3125.37336196201,3148.39002376917,3165.86826831896,3178.890849705,3188.33858573336,3194.91338759767,3199.16929477139,3201.54232302704,3202.37630107927,3201.9434761002,3200.46076702184,3198.10210423278,3195.00792457992,3191.29240405545,3187.04899184051,3182.35467641665,3177.273230275,3171.85783817138,3141.10967523845,3106.45792579854,3069.59366140893,3031.34827692147,2992.1481869371,2952.21718585183,2911.6754468148,2870.59181570534,2829.01376194017,2786.98542677332,2744.55886111694,2701.80122078837,2658.79807802564,2615.65451944356,2572.49318242221,2529.45004023325,2486.6691945427,2444.29604737759,2402.47084863763,2361.32296192709,2320.96619596856,2281.49637429119,2242.98950997132,2205.50259880992,2169.07441258901,2133.72752215298,2099.47055769144,2066.30056220375,2034.20525343278,2003.16508111096,1973.1550231273
5,1487.78820954475,1864.85081306526,2588.58552328636,2704.11018144781,2804.94779574256,2891.81914438859,2965.46105809126,3026.71784059251,3076.65918893983,3116.59825588693,3147.9889615051,3172.27437564228,3190.76555586126,3204.58153981936,3214.63994253592,3221.67583885083,3226.27137001613,3228.88554611164,3229.88067703848,3229.54380108307,3228.10358195848,3225.74327600032,3222.61082513207,3218.82642065416,3214.48837161676,3209.67760414156,3204.46114090189,3198.89482070104,3167.2182999804,3131.45371893339,3093.36998011533,3053.83679321405,3013.30166021617,2972.0019916245,2930.06852202289,2887.58013579402,2844.59485769255,2801.16869597275,2757.366907812,2713.27096858478,2668.98121432086,2624.61707032898,2580.31403376001,2536.21846294496,2492.48162227583,2449.25243728444,2406.67106051591,2364.86348067344,2323.93776761205,2283.98191071456,2245.06332081648,2207.22999447791,2170.51191468605,2134.92342641,2100.46570976122,2067.12922882727,2034.8960044067,2003.74162719288,1973.63697868208
6,1490.60523956105,1865.35437262352,2592.54239164475,2709.84923388154,2812.63742836555,2901.53338116788,2977.19235942991,3040.38157244294,3092.09925725867,3133.60451969194,3166.32483145918,3191.70407474867,3211.0731161455,3225.57966888312,3236.17171440002,3243.6122511765,3248.50737749102,3251.33585371947,3252.47595207807,3252.22748139021,3250.82927024055,3248.4727506365,3245.31230517842,3241.47336728555,3237.05846406504,3232.1519483073,3226.82364260146,3221.13167472991,3188.67664685465,3151.97389069191,3112.85996066065,3072.23796379695,3030.57407550621,2988.11796045049,2945.01009844983,2901.33860924315,2857.1713621532,2812.57511345383,2767.62695918687,2722.42091600582,2677.06990283905,2631.70517639468,2586.47240719229,2541.52568214415,2497.02103227836,2453.10899017259,2409.92832781333,2367.60112478601,2326.22965209696,2285.89488086278,2246.65666353716,2208.55537454854,2171.61372053526,2135.83935511249,2101.22748178699,2067.76334512613,2035.42448613891,2004.18270233709,1974.00569390805
7,1493.30961586843,1865.83659421806,2595.70440483697,2714.47413153575,2818.88386176096,2909.48167609559,2986.85342793814,3051.69924550776,3104.95354321434,3147.82480599446,3181.71290658767,3208.05836794934,3228.20636856817,3243.32809267304,3254.39712159355,3262.20061385752,3267.36561097665,3270.38826060523,3271.66094908519,3271.49480748986,3270.13770593259,3267.78827691339,3264.60673944513,3260.72310942544,3256.24368695262,3251.25587183441,3245.83197609409,3240.0321730963,3206.90454462453,3169.38760752995,3129.37809727256,3087.80898262317,3045.16328901305,3001.70196951835,2957.57457074183,2912.87783134128,2867.68876951766,2822.08408692342,2776.15160709457,2729.99648027504,2683.7425598723,2637.53107091133,2591.51592236122,2545.85708201446,2500.71375260273,2456.23687543593,2412.56312680576,2369.8104649538,2328.07560942125,2287.43313475437,2247.93621609899,2209.61864439519,2172.49694705949,2136.57316959892,2101.83755912329,2068.27106771301,2035.84757693233,2004.53580130634,1974.30086942529
8,1495.91124609691,1866.30389797695,2598.31137818065,2718.31443257195,2824.10556927645,2916.16746518713,2995.0256744185,3061.32123678009,3115.93097463329,3160.01596511682,3194.94820791764,3222.16204211422,3243.01304316981,3258.69176203876,3270.19397572522,3278.32820046684,3283.73993455114,3286.94097440758,3288.33640374694,3288.24756549527,3286.93049724779,3284.59035844873,3281.39257525063,3277.47142655025,3272.93654218714,3267.87810116713,3262.37066732881,3256.4762641925,3222.75514491443,3184.51696267113,3143.71293426791,3101.3031485609,3057.78619678508,3013.43339345699,2968.4028345836,2922.7994174302,2876.70870650939,2830.21670585103,2783.42098738408,2736.43675254372,2689.3974556423,2642.45286882143,2595.76368124957,2549.49439593883,2503.8062728278,2458.84987603476,2414.75937764486,2371.64858093067,2329.60894839892,2288.70920768974,2248.99657249631,2210.49905742356,2173.22783950879,2137.18015945807,2102.34205236824,2068.69084685468,2036.19735178109,2004.82770447127,1974.54488968106
9,1498.41869730973,1866.75990070464,2600.51183548482,2721.5756211592,2828.56592989446,2921.90946643176,3002.07913142245,3069.6632680776,3125.48632584085,3170.66491166128,3206.54332060215,3234.54774985258,3256.04120685995,3272.23055057204,3284.13097551556,3292.56993341291,3298.20980629494,3301.57644794111,3303.08654283126,3303.0707628651,3301.79261822638,3299.46324528735,3296.25285879637,3292.29956757867,3287.71617523391,3282.59532099367,3277.01365503824,3271.03489600166,3236.78176683577,3197.89479124146,3156.37514724711,3113.20791437278,3068.90604940094,3023.75065933086,2977.90790194081,2931.49040945379,2884.59182941176,2837.3067599952,2789.74195441947,2742.02157808269,2694.28768174722,2646.69743086508,2599.41717005713,2552.61492369138,2506.45320211821,2461.08165988713,2416.63173341426,2373.21312701525,2330.91234442276,2289.79274526427,2249.89617107558,2211.24550378977,2173.84721699078,2137.69436306063,2102.76933062965,2069.04632825496,2036.49353045644,2005.07487266744,1974.75151303692
