p_bar,of_1,of_1_5,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1.26520191027068,1.30403762408986,1.27287015342007,1.26757155539637,1.26304383523465,1.25917003666667,1.2558593526225,1.25303428699269,1.25062313562036,1.24855891507355,1.24678149575224,1.24523951845957,1.24389082581009,1.2427016384976,1.24164518892324,1.24070032982083,1.2398502821306,1.23908163855602,1.23838358766854,1.23774731926048,1.23716559584089,1.236632394583,1.2361426564269,1.23569210561826,1.23527709098025,1.23489446094583,1.23454149149608,1.2342158019476,1.23293116501824,1.23209591051579,1.23159596537633,1.23135800566645,1.23133211481274,1.23148288629165,1.23178440111287,1.2322171695388,1.2327661713037,1.23341950633613,1.23416744001149,1.23500169121282,1.2359148931578,1.23690017357537,1.23795084045713,1.23906016064917,1.24022122770753,1.24142691786744,1.24266992161096,1.2439428511229,1.24523838335667,1.24654943004833,1.24786930057073,1.24919185254628,1.25051157853699,1.25182367664193,1.25312406426309,1.25440935956839,1.25567683652254,1.25692436289923,1.25815032961999
1.01325,1.26519429336335,1.30403572790102,1.27285152464132,1.26754767341232,1.26301506140594,1.25913681288916,1.25582215122149,1.25299360662443,1.25057949139718,1.24851281070365,1.24673339306207,1.2451898184988,1.24383986423261,1.24264968721279,1.24159247620269,1.24064703244899,1.23979654546556,1.23902758074947,1.23832930538314,1.23769289212433,1.23711109005201,1.23657786556332,1.23608815087141,1.23563766325399,1.23522274586836,1.23484024239674,1.23448742500575,1.23416190981427,1.23287839927582,1.23204456444106,1.23154623266706,1.23131003103622,1.23128601706486,1.231438769424,1.23174235946794,1.2321772896014,1.23272853152155,1.23338417541503,1.2341344745402,1.23497113199766,1.23588676182782,1.23687446896842,1.23792753561902,1.2390392009048,1.24020253022049,1.24141037302067,1.24265539622468,1.24393019331071,1.24522742848379,1.24654000715501,1.24786123858266,1.24918498566562,1.25050575052158,1.25181874374458,1.25311989691886,1.25440584299986,1.25567387050711,1.25692186095187,1.25814821781867
2,1.26464254911843,1.3039186351167,1.27196913477615,1.26639708492527,1.2616089944184,1.25749415168719,1.25396479694568,1.25094591840114,1.24836766789612,1.24616332883636,1.2442711555696,1.2426368748181,1.24121490681472,1.23996815094053,1.23886693170497,1.23788766185843,1.23701160072944,1.2362237700704,1.23551212440512,1.23486687342212,1.2342799832393,1.23374481041538,1.23325579984348,1.23280826680522,1.23239822691825,1.2320222643974,1.23167743175739,1.23136115806824,1.23013822346898,1.22938147576568,1.22897111712147,1.2288309812661,1.22890962675655,1.22917074408407,1.22958779492073,1.23014076171078,1.23081405614119,1.23159510969824,1.23247335671939,1.23343949489153,1.23448494041977,1.23560142993834,1.23678075674384,1.23801462764616,1.23929462655849,1.24061227401433,1.24195915693119,1.24332709706772,1.24470833730582,1.24609570334521,1.24748273121546,1.24886375319664,1.25023391880809,1.2515891903688,1.25292629511454,1.25424265711166,1.25553631692525,1.25680584731903,1.25805027098382
3,1.26411158992774,1.3038194842713,1.27151615725645,1.26578980867787,1.26084912249881,1.25658865694819,1.25292378317362,1.24978200091288,1.24709557374524,1.24479889440326,1.24283000035211,1.24113330897295,1.2396613583105,1.23837504795747,1.23724285135917,1.23623960227321,1.23534524954205,1.2345437668129,1.2338222611741,1.23317027408301,1.23257924498279,1.23204210129651,1.23155294571829,1.23110681959046,1.2306995081708,1.23032741460175,1.22998743732455,1.22967688545995,1.22849238788199,1.22778534190233,1.22743206919907,1.22735445452859,1.22749999541822,1.22783171966109,1.22832258781747,1.22895213175106,1.22970427891728,1.23056588240157,1.23152569271075,1.23257360404477,1.23370012109153,1.23489599741872,1.23615202215407,1.23745894213537,1.23880749252076,1.24018851681473,1.24159313780445,1.24301294652623,1.24444017474702,1.24586783121215,1.24728979526167,1.24870083269441,1.25009659354369,1.25147355759722,1.25282895907532,1.25416069821976,1.25546724887041,1.25674756857479,1.25800101540218
4,1.26360566280963,1.30372704500076,1.27122654826435,1.26539471838367,1.26034705109889,1.25598235210481,1.25221872897457,1.24898593733068,1.24621821339054,1.24385123470651,1.24182330502204,1.24007818386231,1.23856719283363,1.23724982380217,1.23609319196649,1.23507093281224,1.23416200267719,1.23334955915304,1.23262005858113,1.23196251439469,1.2313679531988,1.23082896917513,1.23033939714949,1.22989405937463,1.22948857063618,1.22911918992692,1.22878269160642,1.22847628978245,1.22732016976561,1.2266502184707,1.22633973030513,1.22630906402252,1.2265048572764,1.22688958751971,1.22743579842254,1.22812260999054,1.22893351531334,1.22985486585549,1.23087481952054,1.23198260144297,1.23316798400869,1.23442096119129,1.23573158220371,1.23708992574323,1.2384861782327,1.23991079045731,1.24135466660078,1.24280935160586,1.24426718465932,1.24572140469652,1.24716620690672,1.24859672425986,1.25000899343838,1.25139987658574,1.25276696924856,1.25410850176681,1.25542324188549,1.25671040370563,1.25796956585877
5,1.26312213535137,1.30363798129914,1.27101933892766,1.2651084743911,1.25997911675864,1.25553353790006,1.25169222145194,1.24838691230824,1.24555364991931,1.24312940780286,1.24105296620145,1.2392677717114,1.23772430216299,1.23638098380019,1.23520386126269,1.23416560647763,1.23324435969896,1.23242260786043,1.23168626311135,1.2310239116875,1.23042623253381,1.22988553609221,1.22939543684711,1.22895057639172,1.22854642265157,1.22817911185952,1.22784532526993,1.2275421948796,1.2264087395492,1.22576867291085,1.22549275215909,1.22550006282459,1.22573651441811,1.22616410720417,1.22675499635501,1.22748794668551,1.22834604460038,1.22931519042167,1.23038302255947,1.23153818911328,1.23276984954756,1.23406738256864,1.23542026109025,1.23681806843892,1.23825061107896,1.23970809755657,1.24118133325096,1.24266189752661,1.24414227710377,1.24561593958407,1.24707736281886,1.24852198842513,1.24994616525202,1.25134705525636,1.25272253109909,1.25407107195228,1.25539166410973,1.25668371038906,1.25794695026842
6,1.26265881872315,1.30355099786297,1.27086091357304,1.26488749583654,1.25969249487092,1.25518106838673,1.25127577402127,1.24791012531937,1.24502179075819,1.24254899944453,1.24043112501153,1.23861149987705,1.2370399976283,1.2356741972778,1.2344792670795,1.23342707067787,1.23249505509075,1.23166513308796,1.23092275118999,1.23025612137864,1.22965561995034,1.22911332538407,1.22862264947994,1.22817808054415,1.22777495928274,1.22740931791968,1.2270777521757,1.22677732066716,1.22566282628172,1.22504792512337,1.22480118721968,1.22484058519331,1.22511138887486,1.22557516908095,1.22620373195692,1.22697550170476,1.22787320545167,1.2288823209089,1.22999002314376,1.23118445255046,1.23245424230909,1.23378825747419,1.23517550618159,1.23660518992934,1.23806684151897,1.23955051714722,1.24104698984506,1.24254791304517,1.24404593198748,1.2455347318284,1.24700904151024,1.24846456669715,1.24989791619358,1.25130649666558,1.25268840348939,1.25404231341239,1.25536738459933,1.25666316712909,1.25792952528718
7,1.26221385487804,1.30346545667333,1.27073432322817,1.26470955429652,1.25945997387559,1.25489319220691,1.25093358748616,1.2475162531046,1.24458034762529,1.24206529967393,1.23991112323937,1.23806117093716,1.23646486950136,1.23507912285477,1.23386834847505,1.23280371692721,1.23186207111112,1.2310248197714,1.23027699878765,1.22960648912261,1.22900340131948,1.22845959769143,1.22796832688628,1.22752392918124,1.22712163551591,1.22675738577529,1.2264276997473,1.22612957324654,1.22503142258079,1.22443834327677,1.22421696101244,1.22428425616918,1.22458492035168,1.22508013683874,1.22574138733198,1.2265467760686,1.22747869080361,1.2285222262425,1.22966413376574,1.23089210085936,1.2321943001363,1.23355915877016,1.23497530092364,1.23643162598787,1.23791746498324,1.23942277965127,1.24093835040656,1.24245592471446,1.24396830747957,1.24546938661909,1.24695411550672,1.24841842940343,1.24985915873612,1.25127391572013,1.25266098063928,1.25401919278913,1.25534785071407,1.25664662411552,1.25791547810109
8,1.26178564720147,1.30338103777651,1.27062995076879,1.26456188777757,1.25926579323395,1.25465139084666,1.2506446644136,1.24718213191186,1.24420431654642,1.24165178634206,1.23946521966887,1.23758807844466,1.23596946294025,1.23456570865189,1.23334059702418,1.23226469682428,1.23131430001264,1.23047037090048,1.22971757680907,1.22904350078117,1.22843801376454,1.2278927854803,1.22740090666266,1.22695660060126,1.22655498731867,1.22619192636957,1.22586386895113,1.22556775415201,1.2244839990277,1.22391023831735,1.22371134062606,1.22380338424373,1.22413054025797,1.22465362256521,1.22534381141197,1.22617891329569,1.2271409930179,1.22821479707951,1.22938668019884,1.2306439228365,1.23197429009807,1.23336582941855,1.23480684221266,1.23628598437908,1.23779243622285,1.23931610428213,1.24084780125629,1.24237937866608,1.24390379752489,1.24541513392632,1.2469085432754,1.24838016324648,1.24982701669548,1.25124689221695,1.25263822734482,1.25399999861039,1.25533162240147,1.25663286836699,1.25790378559671
9,1.26137281094638,1.30329752109552,1.27054183297851,1.26443653707848,1.25910006326821,1.25444396943768,1.25039567905651,1.24689299942138,1.24387770950402,1.24129145738007,1.23907559389823,1.23717375260176,1.23553479575025,1.23411458410538,1.23287634135768,1.2317900905959,1.23083164881753,1.22998156461495,1.22922417290686,1.2285467850981,1.22793905331218,1.22739247119352,1.22689998752853,1.22645570807749,1.22605466772101,1.22569264112908,1.22536601968397,1.22507169056508,1.22400081998596,1.22344442817144,1.22326577497129,1.22338011179727,1.22373112262004,1.22427928134051,1.22499548171176,1.22585724819088,1.22684634301432,1.22794717905663,1.22914575386992,1.23042897182468,1.23178423360496,1.23319925409597,1.23466205952368,1.23616110688489,1.23768546338683,1.23922500797839,1.24077060171038,1.24231420471935,1.24384892855756,1.24536902400232,1.24686982964133,1.24834766365325,1.24979971840588,1.25122393641261,1.25261889140749,1.25398367809396,1.25531781386135,1.25662115370555,1.25789381822095
