p_bar,of_1,of_1_1,of_1_2,of_1_3,of_1_4,of_1_5,of_1_6,of_1_7,of_1_8,of_1_9,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,491.427466897287,491.662112707087,470.325529972282,452.118382169851,436.684582578773,423.468886699831,412.027284488828,402.043485450826,393.264546273566,385.472645104312,378.486928075707,372.165057632904,366.397774651814,361.101199988141,356.210039151637,351.672511359246,347.446741037088,343.498285554763,339.798361320338,336.322592922646,333.050102539342,319.177529690361,308.423927188284,299.861703363126,292.910005228082,287.182350083421,282.41026633806,278.400999769533,275.012456713667,272.137546313381,269.69398778173,267.617425571844,265.856615171776,264.369960370858,263.122929599236,262.08610047116,261.233666253124,260.542327153743,259.990551815774,259.558165977623,259.226266207127,258.9773526578,258.795584927809,258.667029612683,258.579806240482,258.524089730229,258.491980817418,258.477274096382,258.47520175184,258.482154816328,258.495438143449,258.513059865991,258.533561523777,258.555878636443,258.579245603948
1.01325,491.425549814443,491.660415677393,470.318532132177,452.102365242088,436.658954440004,423.434876474246,411.9865072034,401.997511388934,393.214812066014,385.420367323256,378.433052787731,372.110278817659,366.34258619148,361.045949237915,356.154969592333,351.617793630577,347.392494391383,343.444593007692,339.745280009664,336.270161385178,332.998345872128,319.129259498886,308.379033396649,299.819963008781,292.871203482099,287.146306965779,282.376838773194,278.370076832423,274.983953611392,272.111398209045,269.670143750454,267.595842501107,265.837251380077,264.352768812971,263.107851173072,262.073056931166,261.222554930502,260.53301770099,259.982886596237,259.55196462915,259.221334114971,258.973491784994,258.792604823071,258.664756466441,258.578088685418,258.522801157772,258.491018848853,258.476558103516,258.474669608604,258.48175939112,258.495144087512,258.512840874433,258.533398126281,258.555756439001,258.579153994479
2,491.303391639452,491.581891714155,469.999553331215,451.344468084347,435.408133140093,421.738379780424,409.921167127107,399.643059921928,390.647194920285,382.705908546842,375.624467410214,369.246732785846,363.452159707421,358.148473894734,353.264382640336,348.743868157045,344.542095189154,340.622514907358,336.954845251015,333.513634688772,330.277227380339,316.592671374901,306.022462877688,297.632229785062,290.841296793465,285.264941953132,280.636595542659,276.765165757321,273.509892764813,270.764676838088,268.447881446095,266.495441383248,264.856038550551,263.48761631786,262.354809857125,261.427027329866,260.67705455845,260.080115636565,259.613336337616,259.255570267195,258.987466360827,258.791678988481,258.653065091342,258.558786495256,258.498269974701,258.463036263456,258.446442336772,258.443383792297,258.450000199002,258.463408692015,258.481478130383,258.502646114837,258.525777378948,258.550045909325,258.574865128412
3,491.196428314853,491.539685815078,469.84541155747,450.956240268588,434.734024954313,420.789825442659,408.735834477928,398.265792962292,389.124027885429,381.079361009193,373.929644315954,367.510344347174,361.693600943934,356.381541853616,351.498806655833,346.986510942084,342.797790733643,338.894657059763,335.245809656619,331.82506407224,328.610232108819,315.039869930418,304.582473974914,296.298785083254,289.60795241395,284.126175666185,279.587942304261,275.803094563951,272.63159562439,269.967842318915,267.730471952725,265.855452917891,264.2912574354,262.995379139046,261.931787914551,261.069068276605,260.379119991108,259.836346415564,259.417259681601,259.100407291379,258.866499694002,258.698593139241,258.582204151769,258.505299455328,258.458147210124,258.433063917868,258.424106430411,258.426754772889,258.437617828764,258.454178962571,258.474586937175,258.497490147145,258.521908553945,258.547136555837,258.572670265446
4,491.095384393002,491.508620631261,469.750274020333,450.708445702345,434.289662419714,420.148881080459,407.920246496606,397.305233120834,388.050908601127,379.924918178379,372.720458548504,366.267007573457,360.431238704566,355.110965831949,350.227676259016,345.720231563121,341.540179775847,337.648416131439,334.012831023071,330.606669515006,327.407328849351,313.919885124798,303.545158165131,295.339923585072,288.723048126992,283.311320143428,278.839942613176,275.119383955416,272.010084663284,269.406753240944,267.228151633034,265.410199938892,263.901137192204,262.658052625169,261.644372174005,260.828054584033,260.180377455789,259.675225574602,259.288788655457,258.999546409483,258.788403850716,258.638831502516,258.536904117944,258.471207530359,258.432619526921,258.414009414018,258.409906120117,258.416175283192,258.429730577373,258.44829053849,258.470182267349,258.494187772567,258.519426317685,258.54526573544,258.571256300152
5,490.997410136721,491.481859971762,469.6838082707,450.531411792274,433.964660462358,419.671241748241,407.30386506902,396.571528181057,387.22456914984,379.030644249507,371.779796900623,365.296916552497,359.444280343153,354.116166542062,349.231452867048,344.727124677558,340.553398302485,336.670230057956,333.04484778022,329.650016338733,326.462781784177,313.040746624929,302.73170195961,294.589042377317,288.031301801363,282.675682460873,278.257915599922,274.588932778556,271.529517762658,268.974582714922,266.842956561954,265.070465751615,263.605119796578,262.403646581051,261.429014932645,260.648686882333,260.03347724143,259.55692165676,259.19503821923,258.92634708549,258.731986781853,258.595816450079,258.504385453902,258.446777871152,258.414344423528,258.400372212733,258.39974022934,258.408596118519,258.424074235485,258.444062192288,258.467014691496,258.49180904984,258.517635239315,258.543913341876,258.570232167072
6,490.901385200415,491.456772743137,469.633875694583,450.396220377962,433.711914710387,419.294151774191,406.811596833491,395.980353170562,386.554216329213,378.301489974977,371.01003042625,364.501046055974,358.633141363684,353.297582413015,348.410990313311,343.908737151032,339.739887748349,335.863577943001,332.246459202281,328.860878482573,325.683589077246,312.315705295892,302.061374754233,293.971000037806,287.462771184886,282.154193560079,277.781409637784,274.15571145012,271.138143143297,268.623760508682,266.531413210551,264.796822852582,263.367776097036,262.20067621717,261.258100440148,260.50710447083,259.918146658007,259.464519998935,259.122159521089,258.869676245946,258.688457292258,258.562714313877,258.479407390554,258.428034959147,258.400331231947,258.389915858197,258.391942727992,258.402778777033,258.41972875737,258.440810189783,258.464575495956,258.489974831021,258.516252145485,258.542867392331,258.569438791272
7,490.80679407623,491.432135860452,469.594509223585,450.288329058472,433.507182478536,418.984822297852,406.40380661892,395.486889367824,385.991347985264,377.68652685782,370.358728642567,363.826140469379,357.944210920117,352.601571444716,347.712854560663,343.211992898897,339.047034140823,335.176394064931,331.566200473882,328.188434418342,325.019580189621,311.697981651264,301.490666566596,293.44533730429,286.979836588908,281.711899798147,277.378000743193,273.789721955736,270.808311870895,268.328928859666,266.270418076279,264.568388220509,263.170413871662,262.032604707037,261.117197225582,260.39090790146,259.823913963853,259.389337516751,259.063085883236,258.823889941141,258.653380188636,258.536092893049,258.459347035676,258.412994426554,258.389089874418,258.381527237643,258.385684772058,258.398107065855,258.4162361824,258.438193942841,258.462611034952,258.488495866634,258.515135525859,258.542021822629,258.568796480142
8,490.713327079235,491.407315164283,469.562387431189,450.199460892512,433.336431648636,418.724040535864,406.057067948085,395.064486095732,385.507003860242,377.155246592119,369.794426442863,363.240202882254,357.345251022926,351.995862964599,347.104876974682,342.604937190764,338.443169098097,334.577326351589,330.973082256488,327.602074345094,324.4405490915,311.159411576631,300.993387997445,292.987722255268,286.559894162561,281.327821859095,277.028252945738,273.473009855764,270.523505128769,268.074970692204,266.046228188463,264.372777391022,263.00198450266,261.889694372101,260.997843484248,260.292860740656,259.744698069324,259.326357442412,259.013754956551,258.785756211395,258.6242275327,258.514002497776,258.442718550567,258.400534339047,258.379778959913,258.374578259167,258.380498777349,258.394233311513,258.41333800105,258.436021069842,258.460977920718,258.487265039641,258.514205200589,258.541316470738,258.568259978991
9,490.620802490453,491.38196340965,469.535491313524,450.124505468141,433.190873104343,418.499621141739,405.756409527995,394.696020224096,385.082503754931,376.687934223329,369.296763697353,362.722494780488,356.815350291326,351.459501926708,346.566168685296,342.066810969253,337.907701104402,334.046005136667,330.446957445184,327.08190181932,323.926854508803,310.681690956919,300.552541458337,292.582361441644,286.188283754533,280.988366421398,276.719587531704,273.193970853196,270.273062890131,267.852148497075,265.850016494707,264.202050178077,262.855424099867,261.765740542454,260.894667412738,260.208387573837,259.676670407458,259.272434962692,258.971630402315,258.753265400106,258.599432202053,258.495237794482,258.428605196093,258.389963511016,258.371880626162,258.368682528331,258.376097136043,258.390943618397,258.410875103959,258.434173091021,258.459587783175,258.486216410785,258.513411791651,258.540714273018,258.567801400546
