p_bar,of_1,of_1_1,of_1_2,of_1_3,of_1_4,of_1_5,of_1_6,of_1_7,of_1_8,of_1_9,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1869.39534142519,1997.88443427967,2273.80190483526,2496.43959687785,2669.75388161126,2802.92777429484,2903.42406575423,2977.00961059036,3029.24973357994,3065.50728739739,3090.26560182165,3106.86193249379,3117.63748379258,3124.20396699357,3127.67435960342,3128.82740549157,3128.21740109563,3126.24603396069,3123.20945828859,3119.32955424549,3114.7750112927,3085.56430631037,3050.74529236397,3013.51203843817,2975.08673718997,2935.94822229094,2896.25694036343,2856.02467816487,2815.19038037557,2773.65734303629,2731.31395062866,2688.04738794033,2643.75468657882,2598.35388556385,2551.79554773055,2504.0748071081,2455.24330617766,2405.41769185503,2354.78307346682,2303.5878657211,2252.12998928895,2200.7349730069,2149.73050557176,2099.42223873096,2050.07521890516,2001.903169198,1955.06550267195,1909.67027237401,1865.78084316751,1823.42402687647,1782.5982930524,1743.28113870781,1705.43528417388,1669.01343894372,1633.9622694408
1.01325,1869.41915421598,1997.92669977394,2273.98537831279,2496.86597674082,2670.44936495113,2803.87085466115,2904.57966986663,2978.33850276084,3030.71177388251,3067.06638365779,3091.89293496934,3108.53606756502,3119.34294828726,3125.92965186043,3129.41223300051,3130.57158746664,3129.9635248227,3127.99080927728,3124.95037166391,3121.06466049599,3116.50278709823,3087.24140850975,3052.35995170874,3015.0591995461,2976.56366608963,2937.35300372552,2897.58789636295,2857.28013411604,2816.36858877027,2774.75649104826,2732.3322279423,2688.983107667,2644.60645733647,2599.12084016718,2552.47759236584,2504.67292548146,2455.75980285576,2405.85636855006,2355.14925568945,2303.8882360047,2252.37223104015,2200.92727780525,2149.88104263499,2099.53868857759,2050.16444240599,2001.97103523788,1955.11685550871,1909.70899816083,1865.80999063667,1823.44594845247,1782.61478191333,1743.29355025919,1705.44463752073,1669.02049727099,1633.9676039294
2,1870.68315471484,1999.80763395629,2282.34371094649,2517.04018717332,2704.40258751991,2850.9472190346,2963.18284381138,3046.51371329858,3106.3534240248,3148.21113204524,3176.93583938262,3196.26752596486,3208.88419369849,3216.64829077377,3220.85086975216,3222.3956395735,3221.92483903869,3219.90266199243,3216.67029382135,3212.48251589136,3207.5323860023,3175.53702785387,3137.2553624031,3096.26673713526,3053.92711495563,3010.76352779705,2966.95168904256,2922.50580254017,2877.36321883249,2831.42684420795,2784.58931369813,2736.74978992087,2687.82807927136,2637.77796368331,2586.6006924559,2534.35659143785,2481.1740217699,2427.25163519193,2372.85225781577,2318.28774191719,2263.89578246095,2210.01387158173,2156.95452756185,2104.98676746037,2054.32563426811,2005.12966457855,1957.50423610107,1911.5086817357,1867.16483564649,1824.46556894857,1783.38243045468,1743.87202196454,1705.88106924397,1669.35025026643,1634.21715631283
3,1871.55571387287,2000.70012762607,2286.37753116804,2527.37190295504,2722.70732176895,2877.29589849607,2996.8779993585,3086.49966987302,3151.37275230258,3197.01120948925,3228.44864410508,3249.66865141229,3263.56749591928,3272.17540094563,3276.90439510927,3278.74361466295,3278.39550825367,3276.36703892876,3273.03014706568,3268.66202598241,3263.47228959382,3229.73446804406,3189.2520804315,3145.86357787224,3101.01561111979,3055.26904137035,3008.81179865442,2961.66215292713,2913.75947265175,2865.01011112074,2815.31409679629,2764.58393905686,2712.76046848431,2659.82725823238,2605.8242308821,2550.85766423022,2495.1055972085,2438.81463899532,2382.28767836257,2325.86284039524,2269.88734953767,2214.69143699004,2160.56662445901,2107.75201228364,2056.42884911476,2006.72205592138,1958.70637199328,1912.41478635751,1867.847450758,1824.97994396837,1783.7703338618,1744.16488104035,1706.10245656415,1669.5178520036,1634.34418971185
4,1872.29165807178,2001.26322586606,2288.86344868887,2533.9640576529,2734.77477486993,2895.10950308094,3020.08722722561,3114.4319888277,3183.15480834327,3231.72619258809,3265.28860134827,3287.99783561715,3302.91392323408,3312.19613127269,3317.35084330347,3319.43411761571,3319.19568503011,3317.17609806753,3313.77141357564,3309.27638245026,3303.91356926221,3268.88648735699,3226.75788173668,3181.56759249157,3134.83318282732,3087.14259605046,3038.69434072821,2989.51115977858,2939.53570943311,2888.67898532145,2836.84907278141,2783.97145489921,2730.00592388271,2674.96146159086,2618.90932337764,2561.99113121472,2504.42088757226,2446.47740312562,2388.48755684298,2330.80199775659,2273.76793588134,2217.70437652222,2162.88341885822,2109.52025620867,2057.77111771638,2007.73725826632,1959.47253888964,1912.99242956807,1868.28290790813,1825.30838443066,1784.01829276744,1744.35230675505,1706.24431786731,1669.62537488563,1634.42579644899
5,1872.96178361413,2001.67652271108,2290.59710045764,2538.67222327818,2743.60080685283,2908.38881507526,3037.6402159284,3135.79168082234,3207.66367566065,3258.6621542323,3293.99725509609,3317.95573437765,3333.72903276346,3343.58251418145,3349.10090553983,3351.39617813827,3351.25758043747,3349.25377182682,3345.8009848378,3341.20863592725,3335.71008949526,3299.65189151918,3256.19526834784,3209.54745391941,3161.28515669258,3112.0193585581,3061.95805884211,3011.12861486602,2959.47742897168,2906.92063542521,2853.37450580422,2798.77677402724,2743.10444276098,2686.38866321494,2628.72703848903,2570.28968264361,2511.31822377143,2452.11462605848,2393.02117321403,2334.39445825066,2276.57769559008,2219.87802257727,2164.55030935367,2110.79009887072,2058.73396191387,2008.46511063381,1960.02182248088,1913.40668761794,1868.59537474912,1825.54423286908,1784.19649517371,1744.48712110598,1706.34644505234,1669.70284472796,1634.48463829224
6,1873.59350497424,2002.00987129968,2291.89687061278,2542.26594570171,2750.46423232634,2918.8749292027,3051.66614155962,3153.01677457249,3227.56864940988,3280.65306087897,3317.522285508,3342.56704614137,3359.08858268985,3369.44282695136,3375.28205535694,3377.76666029362,3377.72021010197,3375.73575321956,3372.24703093253,3367.57617440605,3361.96592082658,3325.04465997241,3280.46847106532,3232.5891280984,3183.03465490579,3132.43629319406,3081.01074239121,3028.78997091832,2975.72437027916,2921.73540397157,2866.74735769192,2810.7095756263,2753.61478731407,2695.51382422243,2636.52696728277,2576.84803770055,2516.74067521282,2456.52420003908,2396.55121074917,2337.18034935134,2278.74937806252,2221.55364715642,2165.83281906566,2111.76587155945,2059.47329222225,2009.02384243488,1960.4435034369,1913.7248106073,1868.83544574575,1825.72554503082,1784.33358006751,1744.59089802098,1706.42511120561,1669.7625544041,1634.53001575433
7,1874.19996147552,2002.29668429468,2292.91929128203,2545.13287479133,2756.02325046416,2927.47800208326,3063.28976680993,3167.40467412279,3244.29741934202,3299.21983070864,3337.44919708413,3363.46111750456,3380.65103950946,3391.45417753612,3397.58249854399,3400.23935351429,3400.27884609703,3398.3157096295,3394.79925090498,3390.0629075491,3384.35772930991,3346.69208682716,3301.14429166636,3252.19416118635,3201.51533384979,3149.75728071743,3097.14478837582,3043.71438387541,2989.42055756206,2934.19014397146,2877.95523374118,2820.6761474413,2762.360107311,2703.07564143965,2642.96289853558,2582.23585046901,2521.17613253156,2460.11643838546,2399.41631234855,2339.43431102659,2280.50178746815,2222.90304753395,2166.86415725999,2112.54981557916,2060.06697982988,2009.47243888729,1960.78210071801,1913.98032983977,1869.02835459289,1825.87131095321,1784.44384832869,1744.67441895664,1706.48845555539,1669.81065763698,1634.56658853612
8,1874.78835863098,2002.55510103332,2293.75147796078,2547.49325704837,2760.65894510511,2934.73155375882,3073.17633428975,3179.72758674692,3258.70348664725,3315.2743593006,3354.73045507784,3381.61801726196,3399.41484442571,3410.6268282908,3417.019571781,3419.83524349481,3419.95554151417,3418.01482055699,3414.47648779602,3409.68419318494,3403.89650612806,3365.57501999062,3319.16649634661,3269.26627817495,3217.58920469789,3164.80142978821,3111.1353362513,3056.63193576309,3001.2498564517,2944.921274419,2887.58582952407,2829.21431013402,2769.82731410656,2709.50946579311,2648.41855096439,2586.78594620645,2524.90827679934,2463.12873615877,2401.81149616566,2341.31366818662,2281.95986585124,2224.02400653197,2167.7199313259,2113.1998493921,2060.55908041578,2009.84424553306,1961.06277374927,1914.19219561477,1869.18836611666,1825.99227073545,1784.53539262441,1744.74379869495,1706.54110010122,1669.8506540848,1634.5970113512
9,1875.36303658399,2002.79582795601,2294.44638310551,2549.48317332567,2764.6101289186,2940.97406725845,3081.75122037691,3190.48204856589,3271.33778974935,3329.40691013668,3369.98366744392,3397.673951357,3416.02861885984,3427.61736747758,3434.25470650439,3437.218276865,3437.41501811873,3435.49732839218,3431.9414834719,3427.10052144723,3421.23988287116,3382.33130325437,3335.14852135267,3284.39241742166,3231.81563196515,3178.0997328074,3123.48429342634,3068.01471945232,3011.65377613551,2954.33892536586,2896.0171318953,2836.6690738644,2776.32781947623,2715.09289543426,2653.13772186167,2590.70895921643,2528.11589589429,2465.71007470825,2403.85868400841,2342.91644753237,2283.20118425131,2224.97706863128,2168.44686825724,2113.7517154939,2060.97675569037,2010.15981035836,1961.30102110616,1914.37208286821,1869.32427139452,1826.09504632193,1784.61320541894,1744.80277628375,1706.5858631421,1669.88466887358,1634.62288650329
10,1875.92678819361,2003.02556078856,2295.03832464013,2551.19203773502,2768.03593023229,2946.43314889213,3089.30247603465,3200.00599143119,3282.57667776264,3342.02156039807,3383.63228607364,3412.0656022364,3430.9378797808,3442.87705345479,3449.74262533998,3452.84496435696,3453.11443687778,3451.22006163397,3447.65007272527,3442.76617119194,3436.84017538207,3397.39951797344,3349.51191655652,3297.97568669698,3244.57850680374,3190.01628276998,3134.5354421078,3078.18570369418,3020.93394426705,2962.72282637026,2903.50641355314,2843.27479563995,2782.07278623084,2720.01348616692,2657.28461324781,2594.14627740453,2530.91858572497,2467.95977712511,2405.63883566804,2344.30753296493,2284.27694301211,2225.80210312154,2169.07567938658,2114.22887254632,2061.33781560545,2010.43259879562,1961.50700524266,1914.52764611932,1869.44183419835,1826.18397948422,1784.68056012844,1744.85385204181,1706.62464252731,1669.91414678337,1634.64531775288
11,1876.48150739158,2003.24866108205,2295.55066575093,2552.68144607629,2771.04723003147,2951.26884249736,3096.03394079461,3208.53962617425,3292.68852157917,3353.40715812857,3395.97945411872,3425.10586672928,3444.46205929806,3456.7295622081,3463.80957103131,3467.04295794771,3467.3818798048,3465.51092017822,3461.92945848165,3457.00725341661,3451.02206747194,3411.09442248224,3362.55909278604,3310.30513218792,3256.15286396418,3200.81171224448,3144.53464781633,3087.37561473662,3029.30556282257,2970.272264387,2910.23665535264,2849.19779114596,2787.21160969731,2724.40371691737,2660.97487627679,2597.19717601631,2533.40004800163,2469.94712719143,2407.20828851072,2345.53196203173,2285.22260841689,2226.52668375837,2169.62758169046,2114.64751918776,2061.65455490502,2010.67190665682,1961.68773110507,1914.6641641455,1869.54503224786,1826.26206941282,1784.73972061337,1744.89872734676,1706.65872366006,1669.94005983653,1634.66504062113
12,1877.02853360433,2003.46805126622,2295.99995979361,2553.99545380103,2773.72415887636,2955.59774691181,3102.0949894076,3216.25980147815,3301.87143182364,3363.77735288935,3407.24969922224,3437.02673244387,3456.8381258151,3469.41507439656,3476.69771068009,3480.05547649018,3480.46098750104,3478.6134058187,3475.02261591955,3470.06592365178,3464.02667607964,3423.64969634598,3374.51447596105,3321.59510703742,3266.74257293897,3210.67907483759,3153.66386615077,3095.75503173855,3036.92754751301,2977.13420009886,2916.34258620206,2854.56035950532,2791.85389923996,2728.36051986145,2664.29291236946,2599.93390584879,2535.62102695897,2471.72226596832,2408.60769742934,2346.62211635072,2286.06365489832,2227.17058081348,2170.11776568816,2115.01923653912,2061.93575673346,2010.88437133852,1961.84820666971,1914.78541025827,1869.6367084796,1826.33145931773,1784.79230418227,1744.93862415605,1706.68903102763,1669.96310840415,1634.68258636056
13,1877.56884743195,2003.68572604715,2296.39826473551,2555.16654865732,2776.1263618274,2959.50729624255,3107.59823914021,3223.30030704176,3310.27574662404,3373.29462557453,3417.61399268255,3448.00497380863,3468.24675424578,3481.11680964494,3488.59182095959,3492.06813980101,3492.53768239673,3490.71338374968,3487.11499784049,3482.12702804877,3476.03803993535,3435.24367935109,3385.54927802111,3332.00907531869,3276.50299715279,3219.76538898586,3162.06155235049,3103.45363179256,3043.92057739976,2983.42009323243,2921.92623631422,2859.4549034678,2796.08236474848,2731.95688079535,2667.30212167936,2602.4106032437,2537.62692013597,2473.32257233087,2409.86729855313,2347.60213252946,2286.81895674481,2227.74842141514,2170.55745904084,2115.35258127497,2062.18790818792,2011.07489447181,1961.99212858522,1914.89417021657,1869.7189623725,1826.39373252305,1784.83950616863,1744.97444605953,1706.71624864609,1669.9838110298,1634.6983486234
