p_bar,of_1,of_1_1,of_1_2,of_1_3,of_1_4,of_1_5,of_1_6,of_1_7,of_1_8,of_1_9,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1.29691760856378,1.30660804623249,1.29037279891741,1.27800526184778,1.26853290640832,1.26114451242464,1.25531148062071,1.25068644907983,1.24699529124381,1.24400676871281,1.24153871327509,1.23945808279856,1.23767126271959,1.23611273684953,1.23473606269416,1.23350761867232,1.23240247153637,1.23140171256231,1.23049067420157,1.22965775111547,1.22889359674512,1.225876416231,1.22382144498006,1.22242362226513,1.22150916079905,1.22096901835279,1.22073064588702,1.22074393406626,1.220973460581,1.22139381907119,1.22198661832678,1.22273841101391,1.22363914915025,1.22468094112419,1.22585696035565,1.22716045662624,1.22858385370554,1.23011799714773,1.23175166538814,1.23347142280113,1.23526191036197,1.23710651892283,1.23898831765642,1.24089102759532,1.24279984442069,1.24470198696297,1.24658694537335,1.24844646004664,1.25027435095642,1.25206622861362,1.25381918997292,1.25553152487308,1.2572024581701,1.25883192847158,1.26042042033666
1.01325,1.2969153501335,1.30660579204731,1.29036437908274,1.27798724061503,1.26850521237385,1.26110858701228,1.25526886335216,1.25063853567154,1.24694336127504,1.24395192308866,1.24148181617506,1.23939977264029,1.23761199912732,1.23605284979229,1.23467579113025,1.2334471380614,1.23234191253919,1.23134117405138,1.23043023204695,1.22959746431713,1.22883351177502,1.2258177733572,1.22376461867766,1.22236878697392,1.22145642438701,1.22091846809694,1.22068236645064,1.22069801478712,1.2209299976007,1.22135291500923,1.22194837984707,1.22270294444194,1.22360655398461,1.22465130121564,1.22583033363967,1.22713686240512,1.228563261265,1.2301003163484,1.23173674268374,1.23345904471478,1.23525181507662,1.2370984142941,1.23898190207329,1.24088600950606,1.24279595728361,1.24469899818832,1.24658465961403,1.24844471806161,1.2502730260504,1.2520652217384,1.25381842470254,1.2555309427762,1.25720201485255,1.25883159031031,1.26042016193279
2,1.29677459674562,1.30650245074612,1.2899811758996,1.27713683778819,1.26715868659175,1.25932471047135,1.25312130849018,1.248198157242,1.24427771051205,1.24112095324607,1.23853363939404,1.23637038274519,1.23452748074798,1.23293198946128,1.23153219798044,1.23029078625106,1.22918023612112,1.22817978711817,1.22727343737523,1.22644860292009,1.22569521394816,1.22275677275406,1.22080206597205,1.21951454454038,1.218716573089,1.21829789817997,1.21818576530033,1.21833025147255,1.21869623978482,1.2192585802738,1.21999896707973,1.22090375124958,1.22196227962131,1.22316553155671,1.22450494162184,1.22597137948118,1.22755432060542,1.2292413132887,1.23101781988576,1.23286750960314,1.23477292854423,1.23671642740922,1.23868112361389,1.24065171045402,1.24261499138425,1.24456011014443,1.24647853248025,1.24836384930832,1.25021149131613,1.25201841575289,1.25378280695409,1.25550381199002,1.25718132171803,1.25881578065534,1.26040806262858
3,1.29665425969985,1.30644831411073,1.28979643354614,1.27670299013487,1.26643711071493,1.25833415107882,1.25189833261813,1.24678254721241,1.2427102691008,1.23944001274664,1.23677117474991,1.23455088690163,1.2326689180878,1.23104736588988,1.22963094406898,1.22837982474962,1.22726471345438,1.22626358011223,1.22535951426468,1.22453926685077,1.22379226928153,1.2209026027239,1.21901118216759,1.21779370416429,1.21706992513866,1.21672872568978,1.21669714736857,1.21692532116555,1.21737822697917,1.21803075167553,1.21886448747366,1.21986545555491,1.22102237423278,1.22232523706746,1.22376411004851,1.22532814563766,1.22700486621913,1.22877982509321,1.23063670171092,1.23255782275713,1.23452501056798,1.2365205468284,1.23852805525415,1.24053314679722,1.24252376397855,1.24449024687197,1.2464251925772,1.24832319254923,1.25018051989714,1.25199481674563,1.25376481035933,1.25549007055026,1.25717081059831,1.25880772835972,1.26040188186806
4,1.2965416920786,1.30640949899749,1.28968256952961,1.27642670705138,1.2659630133648,1.25766755175721,1.25106079037945,1.24580031799525,1.24161198162266,1.23825375358877,1.23552110951365,1.2332558637114,1.23134291780636,1.22970054555603,1.22827069167337,1.22701155387037,1.22589244559259,1.22489035282975,1.22398764146954,1.22317054359866,1.22242810421964,1.2195743019132,1.21773002944524,1.21656494594807,1.21589676449537,1.21561366828622,1.21564250594793,1.21593339812529,1.2164513462936,1.21717120383486,1.2180743905877,1.21914657774067,1.22037589310911,1.2217514703177,1.22326224854395,1.22489603966661,1.22663892635102,1.22847508678071,1.23038707103943,1.23235647100657,1.23436484318881,1.23639465350773,1.23843006592234,1.24045745555297,1.24246562255774,1.24444575539339,1.24639122441635,1.24829728682307,1.25016076597642,1.25197974560542,1.25375329997369,1.25548126751504,1.2571640673343,1.25880255393455,1.2603979040777
5,1.29643309914443,1.3063768066071,1.28960310510063,1.2762296219691,1.26561704187747,1.25717220877882,1.25042992102752,1.24505281998647,1.24076958790806,1.23733862419304,1.23455279888374,1.23224987236851,1.23031083445727,1.22865083138164,1.22720951263562,1.22594343248847,1.22482073726495,1.22381758301317,1.22291574378886,1.22210101472017,1.22136211338499,1.21853686917173,1.21673051965031,1.21560771481493,1.21498445233722,1.2147483197018,1.2148259826063,1.21516752414279,1.2157379267778,1.2165119657553,1.21747087754853,1.21859997578117,1.21988684295436,1.22131985178238,1.22288698318014,1.22457495524297,1.22636872672652,1.22825145982081,1.23020493203668,1.23221030565067,1.23424907186402,1.23630396432639,1.23835965369974,1.24040315595342,1.24242395101569,1.24441387661324,1.2463668810258,1.24827871086247,1.25014658933352,1.25196891849296,1.25374502138128,1.25547492835062,1.25715920526271,1.25879881820871,1.26039502851484
6,1.29632699674407,1.30634669120422,1.28954346237834,1.27607929446752,1.26534844255875,1.25678198992061,1.2499273696466,1.24445224790253,1.24008830605782,1.23659487330063,1.23376306234458,1.23142739350233,1.22946559423394,1.22779014762688,1.22633872129831,1.22506645621967,1.22394048525973,1.22293624196059,1.22203498432603,1.22122212701939,1.22048611535255,1.21768469234657,1.21591024692498,1.21482309534743,1.2142377510746,1.21404127315986,1.21416015252815,1.21454441872876,1.21515901183559,1.21597861021176,1.21698425100484,1.21816090637836,1.21949565066417,1.22097617417701,1.22258962554991,1.22432180324753,1.22615675659205,1.22807686442323,1.2300633510123,1.2320971206171,1.23415970514284,1.23623412953484,1.23830552735428,1.24036146128282,1.24239197040178,1.24438941363577,1.24634819556826,1.24826444476368,1.25013569395769,1.251960590244,1.25373864745317,1.25547004277937,1.25715545422808,1.25879593311642,1.26039280536143
7,1.29622269285541,1.3063174955083,1.28949647927823,1.27595943253616,1.26513116064018,1.25646244503225,1.24951192059766,1.24395210152716,1.23951769297884,1.2359692569784,1.23309670181653,1.23073190051458,1.22874978204574,1.22706050135293,1.22559997889112,1.22432209408032,1.22319308855728,1.22218775741188,1.22128689108904,1.22047557113874,1.2197419923407,1.21696105873677,1.21521425611457,1.21415805805966,1.21360565821507,1.21344363872555,1.21359832343409,1.21401967809937,1.21467258573324,1.21553161581022,1.2165776030325,1.21779519041883,1.21917097880682,1.22069203994332,1.22234478766321,1.22411423118794,1.22598366501054,1.22793484607024,1.22994859142452,1.23200565431541,1.23408766323175,1.23617793747091,1.23826203072224,1.24032798082844,1.24236629894426,1.24436977644498,1.24633319183993,1.24825298396812,1.25012693547015,1.2519538904543,1.25373351572768,1.25546610602627,1.25715242904407,1.2587936042393,1.26039100917846
8,1.2961197837721,1.30628835253123,1.28945817242413,1.27586077951021,1.26495014164665,1.25619343877425,1.24915927774343,1.24352481060367,1.23902772044154,1.23542998174346,1.2325206999633,1.2301295433331,1.22812898537634,1.22642711577903,1.22495827887504,1.22367522525995,1.22254338683622,1.22153697315423,1.22063636811687,1.21982634078446,1.21909486462375,1.21633194013612,1.21460958604324,1.21358082185864,1.21305763596608,1.21292617588282,1.21311260410205,1.21356681601339,1.21425362780789,1.21514749393803,1.21622904390545,1.21748261199681,1.21889434837899,1.22045076173437,1.22213760910217,1.22393921175151,1.22583822583466,1.22781590403478,1.2298527584667,1.23192946112251,1.23402776900631,1.23613128886862,1.23822595722396,1.24030022990248,1.2423450251709,1.24435350203471,1.24632075378397,1.24824347866199,1.25011966724091,1.25194832701946,1.25372925140489,1.25546283194724,1.25714991109311,1.25879166424333,1.26038951162739
9,1.29601803004472,1.30625878021836,1.2894261216941,1.27577762521938,1.2647959752421,1.25596222486823,1.24885395047412,1.24315270411433,1.2385990692158,1.23495655299153,1.23201374425479,1.22959843823965,1.22758094077469,1.22586747116252,1.2243909517857,1.22310309600161,1.22196858625357,1.22096111313283,1.22006066720082,1.2192517504437,1.21852212236564,1.21577528600361,1.21407490137572,1.21307082275497,1.21257394019964,1.21246999560601,1.21268499489349,1.21316876080713,1.2138860361891,1.21481115425725,1.21592454464812,1.2172102386408,1.21865396956258,1.22024172487481,1.22195866944267,1.22378851731427,1.22571337704515,1.22771408594848,1.22977092391218,1.23186453175951,1.23397681209778,1.23609164829932,1.23819532704739,1.24027667648922,1.24232697150634,1.24433968949177,1.24631019428018,1.24823540553751,1.25011349091931,1.25194359661519,1.25372562331347,1.25546004514941,1.25714776659099,1.25879001099143,1.26038823468919
