p_bar,of_1,of_1_1,of_1_2,of_1_3,of_1_4,of_1_5,of_1_6,of_1_7,of_1_8,of_1_9,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,491.552068300853,491.886024821671,471.030748490334,453.435102430466,438.551778289634,425.784442049891,414.707437299975,405.019637071175,396.476257460191,388.869014854973,382.028356308506,375.822155750098,370.148987062667,364.930554179046,360.105452165747,355.624614188199,351.448085204254,347.542808804164,343.881022937407,340.439121158798,337.196814022958,323.433304752244,312.739120757493,304.201389426558,297.246765379634,291.493011811423,286.674137138245,282.598805287904,279.125652321234,276.147886943241,273.583276663274,271.367428311002,269.449145020298,267.787138269699,266.347641847728,265.102656973656,264.028623563021,263.105411890048,262.315549305001,261.643627550817,261.075854206191,260.599737078477,260.203855856627,259.877736163539,259.611775704557,259.397221633124,259.226169869832,259.091568669932,258.987212608201,258.907718773757,258.848485113657,258.805622001731,258.775891227181,258.756619466401,258.74562123334
1.01325,491.54986461674,491.883030193808,471.020501383752,453.414754870999,438.521778709393,425.746440862215,414.663155235432,404.970646971867,396.42393987533,388.814496567524,381.972492540429,375.765566413099,370.092111426855,364.873700923461,360.048837650727,355.56838991576,351.392356721009,347.487649129116,343.826481760338,340.385231341276,337.143596214401,323.383516842786,312.692610012818,304.157904210124,297.20606598377,291.454894189926,286.638433975504,282.565381092598,279.094397692948,276.118713240869,273.556111318491,271.342210737284,269.425822954537,267.765664413397,266.32797069478,265.084741825615,264.012413624816,263.090850032476,262.302569540192,261.632153829064,261.065799701901,260.591004572807,260.196339132329,259.871322408144,259.606348596853,259.392664836896,259.22237035971,259.088419727227,258.984616059948,258.905586426053,258.846739407102,258.804195912907,258.774727780228,258.755670837215,258.744847702635
2,491.424977357688,491.746959870482,470.546608146295,452.437904574404,437.041068017385,423.835130688876,412.406485874122,402.450217624511,393.713780457265,385.976593982961,379.054739730996,372.803032335664,367.109794961494,361.889232933462,357.074605121323,352.613070546414,348.462031439865,344.586541178661,340.957487806228,337.55029188608,334.343961383982,320.765458189805,310.249195283195,301.87633281067,295.073939766783,289.46160341659,284.775241876991,280.825187847354,277.471438985937,274.608278706401,272.154294467459,270.045684629614,268.231638701461,266.671065377821,265.330217921284,264.180952574985,263.199414178162,262.365050967841,261.659873959747,261.067906662287,260.574794977418,260.167537949246,259.83433074613,259.564465683118,259.348296578768,259.177212867543,259.043621645519,258.940916482971,258.863427812993,258.8063546703,258.765681857986,258.738088670662,258.720855475733,258.711773429675,258.709061061113
3,491.330133711304,491.679224660385,470.312479354278,451.925622701797,436.22787228877,422.751280551368,411.0975904012,400.964133789293,392.096588271248,384.268702582519,377.288342005902,371.002153890728,365.291741358921,360.066276438271,355.255394499038,350.803703078697,346.666793000293,342.808426222606,339.19857493222,335.811997952048,332.627220458432,319.161121067007,308.754200173744,300.483312670676,293.775525673902,288.251408432094,283.647964992138,279.776483060987,276.497745602666,273.706629565371,271.322168007252,269.280856823364,267.532050979766,266.034701879113,264.754997807675,263.664624256608,262.73947631703,261.95869086364,261.303936622022,260.758898673137,260.308924983774,259.94079684244,259.64258777906,259.403593910727,259.214283254686,259.066267145103,258.952253712574,258.865989481234,258.802181645061,258.756405563366,258.725003563853,258.704981622949,258.693909566611,258.68982884969,258.691170300462
4,491.246020497737,491.63446114109,470.16619492678,451.593840707742,435.685047157205,422.011734817681,410.190235027048,399.921776071502,390.952375854667,383.052723128405,376.025160323395,369.710367900662,363.984865259445,358.753936770754,353.944403209778,349.498863025674,345.371489898921,341.52504456134,337.928778909733,334.556928912372,331.387647432992,318.003172597293,307.676319511752,299.480442165498,292.842464607456,287.383602881589,282.841608217044,279.028431443778,275.805388602046,273.067773767679,270.734906310284,268.743461197679,267.042879343419,265.592105260244,264.357239417433,263.309810515884,262.425504240234,261.683216363204,261.064368697962,260.552421016265,260.132545581394,259.791418637922,259.517097430216,259.298944829663,259.12757963549,258.994827980922,258.893656796888,258.818094089237,258.76313209167,258.724619795388,258.699151558512,258.683958040812,258.676804256866,258.675897787668,258.679808588246
5,491.167126783578,491.600098296512,470.06319011769,451.354290332016,435.284266359964,421.456449150697,409.500469767485,399.121989148777,390.068290534574,382.108409919767,375.040667072164,368.7010629743,362.961993284101,357.725538568031,352.916186998741,348.4748651793,344.354557142967,340.517186067385,336.931400706545,333.571012425795,330.413853029062,317.093767175824,306.830494370444,298.694390313568,292.112177953112,286.705537632725,282.212782225815,278.446364692198,275.26800543664,272.57330212964,270.281783462026,268.330245685663,266.668173035419,265.25448116429,264.055179140851,263.041653481886,262.18941250302,261.477158644198,260.88612653899,260.399618206258,260.002697404366,259.681996164008,259.425598357011,259.22296191449,259.06485913148,258.943313089409,258.851512975137,258.783718692715,258.735149793953,258.701868147691,258.680660372847,258.66892585683,258.664574355023,258.665935398239,258.671680250137
6,491.091301800133,491.571241244015,469.985373697606,451.1698832006,434.970227965439,421.015345868617,408.946906772649,398.475124425722,389.349028574851,381.33681495251,374.233766409769,367.872046739992,362.12057557859,356.87869337589,352.068866968313,347.63058216546,343.515804585994,339.685713020382,336.108442058366,332.757426105587,329.610233273902,316.343453185609,306.133114119104,298.046919864429,291.511362168065,286.148473656212,281.697012230485,277.969831369698,274.828972636717,272.170271405336,269.913412663458,267.995285724732,266.365386856973,264.982594908607,263.812829252575,262.827347957464,262.001506475254,261.313849626698,260.745464952904,260.279540825869,259.901074337451,259.596687955471,259.354515539496,259.164119517872,259.016420594392,258.903620168099,258.819101431207,258.757320161536,258.713683888002,258.684427461959,258.666491567081,258.657409291992,258.655204059659,258.658300483553,258.665448365384
7,491.01749598832,491.545525013924,469.923779875398,451.021752143475,434.71424433384,420.651606956908,408.486419801282,397.93340061078,388.743577564723,380.684841303252,373.550104781277,367.168310181576,361.405367286692,356.158204423759,351.347507898148,346.911481855116,342.801175935374,338.977133941401,335.407016341973,332.063928302522,328.925194587401,315.70397473936,305.539097033281,297.495878718292,291.000557881653,285.675446545091,281.259667778234,277.566405747874,274.457966068175,271.830376875479,269.603447852052,267.714128304091,266.111925932577,264.755668302073,263.611190983113,262.649635729995,261.846225350795,261.179371887022,260.630046848636,260.181355130468,259.818254868496,259.527380595157,259.296928453454,259.116566957081,258.977360313004,258.871669236774,258.79304873556,258.736123761274,258.696461409324,258.670441435967,258.655132220562,258.648176728858,258.647691160391,258.652177313255,258.660448467956
8,490.945160733805,491.521659633743,469.873376823635,450.899077816872,434.499609536893,420.343556579946,408.093432916043,397.468336930502,388.221422884059,380.120654504237,372.957045077596,366.556791135834,360.783128596841,355.530846303299,350.71902357575,346.284705871508,342.178119981446,338.359225766734,334.79526784747,331.459043979742,328.327664547654,315.146269199085,305.02130608123,297.01590180882,290.556039584417,285.264250115893,280.879965631263,277.216650003906,274.136831402992,271.536698236476,269.336160661859,267.472213374934,265.894360000507,264.561380503476,263.439028677098,262.498340611349,261.714422606372,261.065574218026,260.532673483512,260.098764078313,259.748784461513,259.469394770884,259.248859927491,259.076956891124,258.944879912122,258.845138362045,258.77143975599,258.718557461033,258.682196739947,258.658861453181,258.64572848412,258.640533512159,258.641470596944,258.647106031714,258.656305958332
9,490.873942410524,491.49888230574,469.831087432154,450.795132558575,434.315776247707,420.07739019312,407.751552383952,397.061592018088,387.76286414999,379.623644596838,372.433436105073,366.016031797453,360.232288054493,354.975044520408,350.161921266892,345.728906901418,341.625476094457,337.811046980319,334.252480618672,330.922308951171,327.797433325136,314.651443207962,304.562108546452,296.59052297434,290.162410876651,284.900485255313,280.544441164028,276.907983848263,273.853832502707,271.278311315655,269.101412885049,267.260165250206,265.704061520364,264.391832975312,263.289155623376,262.366970930412,261.600280013991,260.967286889312,260.44879363742,260.027799449085,259.689236974499,259.419801366464,259.207830393134,259.04320457648,258.917242799343,258.822590016777,258.753091161409,258.703651509197,258.670097773661,258.649042071646,258.637755174782,258.634052577712,258.636195070438,258.642804026627,258.652790607203
