p_bar,of_1,of_1_1,of_1_2,of_1_3,of_1_4,of_1_5,of_1_6,of_1_7,of_1_8,of_1_9,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_5,of_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
1,1960.05914857477,2093.55658052192,2361.00020607466,2571.29886835399,2732.9553218948,2856.23966786155,2948.44130690218,3015.34912620007,3062.59243558788,3095.34724592776,3117.75381907066,3132.81890161862,3142.63214777632,3148.63114100723,3151.8121515527,3152.87594513848,3152.32419814202,3150.52252947639,3147.74193595109,3144.18644277368,3140.01184795463,3113.27592401572,3081.57119914508,3047.92755102513,3013.53066024654,2978.86849480554,2944.13147520505,2909.37302107911,2874.58071777604,2839.71064131594,2804.70487620804,2769.50130507512,2734.03958255407,2698.26531648697,2662.13326438715,2625.6105027069,2588.67908033187,2551.33871697315,2513.60885507269,2475.53054284169,2437.16671095518,2398.60161111376,2359.93823753202,2321.29468466971,2282.79877826527,2244.58212343377,2206.77397043187,2169.4956363973,2132.85600645814,2096.94844826795,2061.84920748274,2027.61710532854,1994.29435001871,1961.90801645107,1930.47197041881
1.01325,1960.09595702262,2093.63255350002,2361.2681981982,2571.83971207094,2733.76867871973,2857.29252332383,2949.69455311343,3016.76215715905,3064.12601619674,3096.96775028673,3119.4351592134,3134.54191279177,3144.383032407,3150.39997179913,3153.5917232603,3154.66096115469,3154.11071072389,3152.30755629068,3149.52319515527,3145.96216804096,3141.78065751569,3114.9975436057,3083.235371764,3049.53032970576,3015.07033566709,2980.34419340594,2945.54261354798,2910.71908042388,2875.86115470486,2840.92486350981,2805.85225295582,2770.58120065549,2735.05140675461,2699.20858992424,2663.00769562434,2626.41607718993,2589.41615857679,2552.00811461943,2514.21194795993,2476.06931920441,2437.64380678354,2399.02030133189,2360.30237726212,2321.60860545295,2283.0671453769,2244.80976717937,2206.96572156278,2169.65616808,2132.98970927134,2097.05934082215,2061.9408847315,2027.69272026385,1994.3566223958,1961.95925994247,1930.51413108934
2,1961.87043660353,2097.02548086952,2373.65697851489,2597.8041009331,2773.92770253322,2910.28996733486,3013.64696629385,3089.59128810021,3143.73965416607,3181.51885049148,3207.46360970361,3224.96401841977,3236.41483394246,3243.47659721076,3247.30316955951,3248.70611676359,3248.26544664579,3246.40276683002,3243.42964564508,3239.57991638972,3235.0315821517,3205.70142861967,3170.81114691055,3133.75216487681,3095.83874120566,3057.60753901395,3019.2666603332,2980.87446224757,2942.41858952574,2903.85386153549,2865.12204127237,2826.16284320449,2786.92092662364,2747.35090040944,2707.42110897719,2667.11732949372,2626.44546512916,2585.43390246731,2544.13463984395,2502.62357693138,2460.9987361835,2419.37687209253,2377.88873065807,2336.67260997863,2295.86796532051,2255.60871303731,2216.01768064489,2177.20239633106,2139.25249305441,2102.23868466573,2066.21307446905,2031.2104527607,1997.25022171593,1964.3386275974,1932.47105191605
3,1962.8916493751,2098.62314160745,2379.77225828152,2611.418609158,2795.99289774346,2940.37876326173,3050.81409728337,3132.65112916393,3191.40338888945,3232.5865941058,3260.9545070403,3280.13639933356,3292.72739455305,3300.53789038635,3304.82900033202,3306.48801011186,3306.14849403035,3304.27030936443,3301.19268495914,3297.16972455381,3292.39447995938,3261.44031137471,3224.52569952878,3185.28471162838,3145.11833279738,3104.59683888836,3063.941407821,3023.21513888019,2982.40732105738,2941.47376051509,2900.3580772574,2859.00355124213,2817.36078354718,2775.39313468013,2733.08102904741,2690.42525910163,2647.44991032465,2604.20384470683,2560.76084908179,2517.21852186924,2473.69483552617,2430.32324400239,2387.24624049582,2344.60855294101,2302.54992955605,2261.19935500745,2220.67019964676,2181.0572984267,2142.43566401211,2104.86065400202,2068.36923685187,2032.98197030374,1998.70534364277,1965.53420891342,1933.45410948697
4,1963.65462195058,2099.60408501592,2383.58939371377,2620.23424534563,2810.72458744073,2960.92248054317,3076.60941628141,3162.90449860421,3225.19647461711,3269.02820743259,3299.29678073972,3319.80534169753,3333.30088486368,3341.70973675947,3346.37675431388,3348.24854232219,3348.00071570543,3346.1231402456,3342.97671679825,3338.83140223668,3333.89201007526,3301.73604615278,3263.30745740639,3222.42862626017,3180.56809262207,3138.32275154449,3095.9246032603,3053.44120099927,3010.86392857999,2968.15046483588,2925.24687904317,2882.10042989154,2838.66763178025,2794.91998026164,2750.84840305095,2706.46644667229,2661.812870399,2616.95242438001,2571.97502845698,2526.99351185138,2482.13889706822,2437.55440187271,2393.38836364754,2349.78683954959,2306.88685584417,2264.81111614296,2223.66403657423,2183.52981147924,2144.47205066677,2106.53471317479,2069.74393623126,2034.11037357603,1999.63172375269,1966.29521516378,1934.07989837233
5,1964.29464221475,2100.29430303828,2386.2742530876,2626.59737652714,2821.60200810379,2976.35397073443,3096.2345654266,3186.14526455401,3251.34562400422,3297.37484549197,3329.23097620695,3350.8529010849,3365.11078653046,3374.02662034529,3379.01491656526,3381.07186391125,3380.90819403904,3379.0388716226,3375.8429007062,3371.60348036852,3366.53521893108,3333.41807016941,3293.76840759028,3251.56488983295,3208.33232360298,3164.6900301068,3120.87942395872,3076.97225575037,3032.96223976685,2988.80916157721,2944.46188046031,2899.87169908526,2855.00080645967,2809.82819854677,2764.3541684981,2718.60329606936,2672.62665428244,2626.50189460291,2580.33156917987,2534.23984340433,2488.3668664296,2442.86198733244,2397.87625635243,2353.55498384185,2310.03133215623,2267.42165433221,2225.82232978089,2185.30854457694,2145.93465472064,2107.73564063871,2070.7292987437,2034.91878912156,2000.2952506503,1966.8402850765,1934.52819235946
6,1964.86478786747,2100.82159583495,2388.30012691907,2631.49431072971,2830.12532083362,2988.6157453547,3111.99387345353,3204.95946839681,3272.64439006027,3320.56667796161,3353.79834214725,3376.38884876753,3391.3122611076,3400.67255332364,3405.94439587296,3408.16691631505,3408.08137448621,3406.22446679859,3402.99091342415,3398.67537964584,3393.50097036966,3359.57932077063,3318.90043545618,3275.57781407948,3231.18494666069,3186.36074915344,3141.35506840717,3096.24363272366,3051.02256727706,3005.65391869762,2960.08941933425,2914.28442381906,2868.20647735332,2821.84153866142,2775.19835787249,2728.31124214386,2681.24190794362,2634.07863180626,2586.9343397028,2539.94193312202,2493.24818325207,2447.00635747999,2401.36849797451,2356.47808897795,2312.46404855214,2269.43669125359,2227.48515948763,2186.67690898849,2147.05855331769,2108.65771393919,2071.48545868645,2035.53897725385,2000.80423336578,1967.25842411445,1934.87215336982
7,1965.39036510652,2101.24796605348,2389.90155621424,2635.42685594217,2837.07274288531,2998.72896028766,3125.10948525713,3220.72716640675,3290.58987929153,3340.18382602776,3374.63639813955,3398.08968264832,3413.60771072408,3423.36647480396,3428.89389625076,3431.26723227876,3431.25484559761,3429.41280172023,3426.14976649464,3421.77059521356,3416.50592294677,3381.89044731842,3340.3185042298,3296.02299287159,3250.62055525603,3204.76764884681,3158.72181819527,3112.56258108354,3066.28849731895,3019.8639460032,2973.24357198002,2926.38662944412,2879.26585874311,2831.87363145186,2784.22643027514,2736.36725880756,2688.36709820768,2640.32343545582,2592.35764990812,2544.60962775277,2497.23105898115,2450.37767468667,2404.20148510748,2358.84351490144,2314.42853011471,2271.06099636099,2228.82362766189,2187.7771165384,2147.96144762786,2109.39803804395,2072.09235019907,2036.03664659304,2001.21265174981,1967.59397590495,1935.14822701813
8,1965.88522719685,2101.6074031353,2391.21016356232,2638.68253356044,2842.89760375064,3007.29506793415,3136.30671792437,3234.27176311816,3306.07860111818,3357.17488812683,3392.72978582385,3416.96457516066,3433.02259715281,3443.14431941681,3448.90559293364,3451.41810010205,3451.47471890348,3449.64904628865,3446.36234763693,3441.92868895793,3436.58551367027,3401.35878945426,3358.9958621137,3313.83718508846,3267.53844584393,3220.77199953738,3173.80252936918,3126.71317776627,3079.5049346553,3032.14453896225,2984.58953475896,2936.80298448211,2888.76253353202,2840.46659339282,2791.93874756676,2743.22985690961,2694.41911411968,2645.61199006049,2596.93698426525,2548.53963188987,2500.57532227167,2453.20128949992,2406.56876620793,2360.81619467178,2316.06398431259,2272.41132176462,2229.93505791585,2188.68989679298,2148.71004354001,2110.0115771207,2072.59517617571,2036.44893153655,2001.55099967917,1967.8719859036,1935.37699749194
9,1966.35775858525,2101.92035666928,2392.30643581218,2641.44022585236,2847.88597046668,3014.6972504109,3146.05076604522,3246.12383633771,3319.6902133319,3372.15445992853,3408.71740311158,3433.66895050156,3450.22341800939,3460.67967631949,3466.65730734198,3469.29950745834,3469.42161417091,3467.61324396425,3464.30723060405,3459.82608335296,3454.41346319605,3418.63961759385,3375.56527085473,3329.62911998793,3282.52254590366,3234.9325859852,3187.13057204228,3139.2031319288,3091.15366465013,3042.95127111506,2994.55636095014,2945.93569291991,2897.07159263706,2847.96815427704,2798.65546709803,2749.19173555183,2699.66332653353,2650.18277299816,2600.8846517528,2551.91912646126,2503.44438169129,2455.61843924505,2408.59137063364,2362.49877313881,2317.45692517218,2273.56005525621,2230.87967404785,2189.46512389314,2149.34550460366,2110.53221429619,2073.02178085219,2036.79869364344,2001.83804362972,1968.10786421284,1935.57112875212
