geometry,N,x1,h,x2,Isp_load,Isp_med,OF_med,sigma,drift,drift_full,Gtilde,lambda,Phi0,of0,of_end,b_end,mdot_ox,Gox0,R_c,L,m_load,I_tot,run_id,rank,grid_divisions,oxidizer,Gox_lo,Gox_hi,of_lo,of_hi,thrust_mode
cylinder,0,0.284327362209891,0,0.284327362209891,337.215030511274,339.643997735161,2.04258882710742,0.0214454887365177,1.86626508329737,Inf,3.55513568907284,6.55806586071517,0.200254758301403,1.3132838938622,2.45093587557183,0.705797871438752,10.0777381657384,422.098097074004,0.306612789089678,6.05631611021951,4535.90196483176,15000000,2026-08-18T20:13:11,1,700,O2(L),400,700,1.1,19.5,mean
star,18,0.266279907226562,0.0142857142857143,0.284673418294033,336.280475068235,339.259539188998,2.05175679271491,0.0263230805195109,1.97107943553302,Inf,3.73045988186392,6.63422342367024,0.189232266217747,1.25540913305598,2.47451112534698,0.705450420084225,10.1039972856093,443.375454943383,0.307767312495969,6.00195681725533,4548.50766806049,15000000,2026-08-18T20:13:11,2,700,O2(L),400,700,1.1,19.5,mean
star,17,0.268538208007812,0.0142857142857143,0.287475497499688,336.227713449157,339.331477520654,2.05188766968492,0.0274001347397237,1.95126581402856,Inf,3.65184054640954,6.63149085889302,0.191092027316299,1.26722503235537,2.47269288431626,0.702650274352105,10.1020663763503,433.998150029857,0.308028542652204,6.00669068060968,4549.22143025009,15000000,2026-08-18T20:13:11,3,700,O2(L),400,700,1.1,19.5,mean
star,16,0.270704956054687,0.0142857142857143,0.290294093962245,336.220555930368,339.38944893527,2.0509643460386,0.0279513494951502,1.9326323544252,Inf,3.57684198620872,6.625946405228,0.192880960879593,1.27801890937706,2.46994069382931,0.699832469915853,10.0988511313156,425.030922625543,0.30822483818061,6.01315361881032,4549.31827482812,15000000,2026-08-18T20:13:11,4,700,O2(L),400,700,1.1,19.5,mean
star,15,0.271177978515625,0.0142857142857143,0.291521970155674,336.169403650528,339.429837601572,2.05090608459895,0.0287394340522378,1.92103116967317,Inf,3.54519421623252,6.62515010725218,0.193988114174864,1.28520037543125,2.4689099804791,0.698603942715789,10.0975554530799,421.24864387311,0.308384913114244,6.01524483984841,4550.01050915684,15000000,2026-08-18T20:13:11,5,700,O2(L),400,700,1.1,19.5,mean
star,14,0.268965454101562,0.0142857142857143,0.290168116195447,336.147041669972,339.421562144657,2.05126561699491,0.0288652816062206,1.91980307591596,Inf,3.58361546451276,6.63037504368,0.194057720593649,1.28667546765755,2.47016352051459,0.699952852880926,10.0983817911797,425.827888854063,0.308370299901668,6.01048519667305,4550.31319587998,15000000,2026-08-18T20:13:11,6,700,O2(L),400,700,1.1,19.5,mean
star,13,0.268904418945312,0.0142857142857143,0.291237859222857,335.978094084501,339.471940702696,2.05196496945606,0.0307608997024554,1.90983517165046,Inf,3.55523191894096,6.63060520041235,0.194972167674993,1.29278346892148,2.46900333827452,0.698879047247773,10.0980110927255,422.448973001762,0.308636490279202,6.01281490900631,4552.60133442566,15000000,2026-08-18T20:13:11,7,700,O2(L),400,700,1.1,19.5,mean
star,12,0.266463012695312,0.0142857142857143,0.290148524289481,335.886445587051,339.466754146941,2.05239567214917,0.0315109380502097,1.90884873667504,Inf,3.5876582373734,6.63477749092459,0.195005343872124,1.29381706613278,2.46970107217616,0.699961317550212,10.0988597752143,426.316347953281,0.308691505161755,6.00969553996282,4553.84353719173,15000000,2026-08-18T20:13:11,8,700,O2(L),400,700,1.1,19.5,mean
star,11,0.26547119140625,0.0142857142857143,0.290964333834324,335.692919770014,339.497872376029,2.05309103454122,0.0334480742442739,1.90201432182822,Inf,3.56898113599501,6.63530823797964,0.195651203525089,1.29820604252065,2.46920648555821,0.699139889315219,10.0990546983911,424.100248709395,0.308946698977368,6.01172722477816,4556.46881237416,15000000,2026-08-18T20:13:11,9,700,O2(L),400,700,1.1,19.5,mean
star,10,0.263655395507812,0.0142857142857143,0.291509402878779,335.565434118017,339.508525585299,2.05428233597303,0.0346458558772489,1.89732454894501,Inf,3.56140718118704,6.63997066197483,0.196080323947864,1.30196759840434,2.47025508638352,0.698591842717152,10.1006563486172,423.227084979119,0.309140166385358,6.00962489116358,4558.19987385514,15000000,2026-08-18T20:13:11,10,700,O2(L),400,700,1.1,19.5,mean
cylinder,0,0.284327362209891,0,0.284327362209891,337.215030511274,339.643997735161,2.04258882710742,0.0214454887365177,1.86626508329737,Inf,3.55513568907284,6.55806586071517,0.200254758301403,1.3132838938622,2.45093587557183,0.705797871438752,10.0777381657384,422.098097074004,0.306612789089678,6.05631611021951,4535.90196483176,15000000,2026-08-20T14:54:29,1,700,O2(L),400,700,1.1,19.5,mean
star,18,0.276123657226563,0.00714285714285714,0.287526166861926,336.587386085693,339.556969010211,2.04721892247485,0.0261802448364804,1.88820808236435,Inf,3.56185810358607,6.59433026498031,0.19756476476235,1.30280730756608,2.45997128790962,0.70259339014155,10.0878196895636,423.065414650101,0.307615886174782,6.03436286386827,4544.36019499991,15000000,2026-08-20T14:54:29,2,700,O2(L),400,700,1.1,19.5,mean
star,17,0.276663208007812,0.00714285714285714,0.288598380286654,336.527505244958,339.571099995623,2.05529577910162,0.026889296550464,1.88274026446751,Inf,3.53428514936118,6.61853642837502,0.198107901484729,1.31118436272561,2.46861959384368,0.701525328632173,10.100425683035,420.000146391472,0.307861740780104,6.01657347460065,4545.16880679193,15000000,2026-08-20T14:54:29,3,700,O2(L),400,700,1.1,19.5,mean
star,16,0.270704956054687,0.00714285714285714,0.283151236819388,336.460101971503,339.505708938008,2.04843788408766,0.0268531230493551,1.9002278588914,Inf,3.68229139058328,6.60508050404177,0.196273683830492,1.29640348252524,2.4634620138583,0.706960013190273,10.0913134516602,437.43065594358,0.307518339380209,6.02410770055589,4546.0793434475,15000000,2026-08-20T14:54:29,4,700,O2(L),400,700,1.1,19.5,mean
star,15,0.274615478515625,0.00714285714285714,0.287893408807666,336.4210924446,339.577981717759,2.04808032094639,0.0278070180830888,1.88255891903204,Inf,3.55593965300346,6.5967392947904,0.198091588775702,1.30675856764413,2.46004999654,0.702219865649011,10.0885879305417,422.375306942513,0.30782555897739,6.03432951400115,4546.60648163365,15000000,2026-08-20T14:54:29,5,700,O2(L),400,700,1.1,19.5,mean
star,14,0.274590454101562,0.00714285714285714,0.288794916408498,336.378675586866,339.586851446195,2.05279943906125,0.0282916221373827,1.87859216501155,Inf,3.53491499702955,6.61124822107232,0.198487008233236,1.31224688008795,2.46517670749407,0.701322892411062,10.0959388057938,420.00034160383,0.307997960392249,6.02386933584053,4547.17980204395,15000000,2026-08-20T14:54:29,6,700,O2(L),400,700,1.1,19.5,mean
star,13,0.272654418945312,0.00714285714285714,0.287957231446061,336.279613130993,339.585173348561,2.04883375166675,0.0290973428414345,1.88090842740083,Inf,3.5594746719375,6.59969315881744,0.198223582649196,1.30821482232618,2.46063228416398,0.702157906116549,10.0895915385807,422.812020567619,0.307986888513834,6.03335909600794,4548.51932659702,15000000,2026-08-20T14:54:29,7,700,O2(L),400,700,1.1,19.5,mean
